frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
8,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,14,314.0,417.0,291.0,428.0,295.0,410.0,336.0,406.0,334.0,424.0,True,-1.3837781759699872,0.241273520385335,3.946880808166682,4.189382181874129,1.3575691907157177,-1.715432527169133,1.1273554644792227,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
8,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,2,607.5,339.75,578.0,315.0,632.0,310.0,637.0,364.0,583.0,370.0,True,-0.10020749723547734,-0.06256021903253631,2.8796301676708125,2.882052259426853,3.203833248067976,-0.15605073145282897,0.31042299953060976,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
8,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,1,741.5,306.25,681.0,293.0,770.0,285.0,806.0,319.0,709.0,328.0,True,0.17620996427450245,-0.09500458158932092,1.6173152190296614,1.629657736991895,1.9890663027110995,-0.2349409155213516,0.14705540929192593,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
8,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,5,578.0,144.25,563.0,131.0,590.0,130.0,593.0,157.0,566.0,159.0,True,-0.38241998224492596,-1.3318004301287525,5.737544155843898,5.902486795306688,3.1214507722347546,-0.1734260942708216,0.38627726647600147,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
8,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,7,232.25,108.75,215.0,94.0,246.0,93.0,250.0,123.0,218.0,125.0,True,-2.310640341540579,-1.4238246982165867,5.267644340834613,5.925741511467847,3.2052004989953535,-0.13886691303883172,0.2532964956059474,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
8,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,6,315.0,106.0,298.0,92.0,329.0,91.0,332.0,120.0,301.0,121.0,True,-1.8713489876407916,-1.4628631899682225,5.352859623906748,5.856195172580855,3.0616267248321964,-0.16885360990335313,0.3827547224867941,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
9,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,14,274.25,420.75,250.0,433.0,254.0,414.0,297.0,408.0,296.0,428.0,True,-1.4816161016764566,0.24535730973616104,3.76676638031388,4.055109794574104,1.3324465559120715,-1.7728957657620548,1.1341569147374562,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
9,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,2,583.0,339.75,552.0,314.0,608.0,308.0,614.0,365.0,558.0,372.0,True,-0.16669581658126395,-0.05936675176914923,2.730638632732859,2.7363660663468425,3.1656604052678494,-0.1766160257296318,0.47528004970594706,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
9,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,1,736.75,317.0,670.0,302.0,765.0,292.0,808.0,331.0,704.0,343.0,True,0.15466124366962558,-0.07062458765341383,1.489625485560734,1.4992971753147215,2.003646780401093,-0.27643442727088813,0.17971211184353253,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
9,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,5,544.5,130.0,529.0,117.0,557.0,115.0,560.0,143.0,532.0,145.0,True,-0.5788764069511564,-1.394585589209616,5.635783219725057,5.834553912673217,-3.11923913743514,0.16630942501629342,-0.22341622168056038,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
