frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
39,3,2.8285714285714287,0.0,2.2,0.0,0.18285714285714288,-3.585802670942857,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0039.png,True
40,3,2.7142857142857144,0.0,2.2,0.0,0.17142857142857143,-3.6291402335714285,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0040.png,True
41,3,2.6000000000000005,0.0,2.2,0.0,0.1600000000000001,-3.6724777962,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0041.png,True
42,3,2.4857142857142858,0.0,2.2,0.0,0.14857142857142858,-3.7158153588285714,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0042.png,True
43,3,2.371428571428572,0.0,2.2,0.0,0.13714285714285718,-3.759152921457143,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0043.png,True
44,3,2.2571428571428567,0.0,2.2,0.0,0.1257142857142857,-3.8024904840857143,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0044.png,True
45,3,2.142857142857143,0.0,2.2,0.0,0.1142857142857143,-3.845828046714286,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0045.png,True
46,3,2.028571428571429,0.0,2.2,0.0,0.10285714285714295,-3.889165609342857,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0046.png,True
47,4,1.9749999999999999,0.0,2.2,0.0,0.13499999999999995,-3.88084073465,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0047.png,True
48,4,1.9416666666666667,0.0,2.2,0.0,0.18166666666666667,-3.8552950475166665,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0048.png,True
49,4,1.9083333333333332,0.0,2.2,0.0,0.22833333333333355,-3.829749360383333,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0049.png,True
50,4,1.875,0.0,2.2,0.0,0.275,-3.80420367325,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0050.png,True
51,4,1.8416666666666668,0.0,2.2,0.0,0.3216666666666667,-3.778657986116667,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0051.png,True
52,4,1.8083333333333333,0.0,2.2,0.0,0.3683333333333336,-3.7531122989833334,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0052.png,True
