point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
3523,-0.004214874435621463,0.7317313959072589,0.2502133472201278,142,142,142,0.30375494590174795
11479,1.8662310625329168,-1.5682423852243257,0.6714352872061535,130,130,130,0.7602826738402003
10799,-1.468749792726052,-0.8752358652106687,0.5238148521225519,107,113,130,0.12603542612354163
13156,-5.265723553582866,-0.7813628203732762,0.9503180861710804,0,0,0,1.9030081791129003
8069,-2.6777406024105783,0.2501942272501195,1.017039072624378,81,85,98,1.4442815747611402
11957,4.234335386239621,0.061811813271013816,0.8312739283187257,114,119,137,0.3372613519691603
9659,1.8662341855484224,-1.662912682085534,0.5539476536430179,231,231,231,0.7831355535759544
4572,1.9002402799457316,-0.8217912969681973,0.5448492510931922,78,82,94,1.2421196911221195
12016,6.250567679668803,0.3057768367731898,0.285072439119916,61,65,75,0.5954411669998259
10219,-2.352370176192079,-1.106980413734064,1.2227574175835234,227,227,227,1.4183940942641458
12576,3.8516318115557437,-1.510779146172403,0.7816470920296137,59,62,72,0.33838633399276813
14199,2.665281919789021,-0.8257775862435821,0.8514950013963044,82,86,99,0.608625644211865
4025,1.019763245844001,-0.6968516990938396,1.6571992148382104,8,8,8,0.44316713841447497
12373,4.111899103390423,-1.0612933532660118,1.3902343456250963,8,8,8,0.55935580963769
11264,2.7102448942320496,-0.9283598791360057,1.1350885181729111,130,130,130,0.09826145042374562
9823,2.7084978146053906,-0.9243521031060112,1.1395663108659821,130,130,130,0.6081519791569671
12180,3.7374638110141225,-9.178668060525597,-6.192879745669908,59,62,72,0.47229273196740207
14537,-3.2184919699172676,-1.2263960890240897,1.0220926728839612,77,81,94,0.9750191396736608
9894,3.0628065838228276,-1.34682457221743,1.203177798365049,231,231,231,2.1434719694925395
14608,-2.19829833626964,-3.286970582299565,-0.7960258611085649,0,0,0,1.1664162149225656
9521,1.9789958763480564,-0.07842891002100966,1.0492598347527866,0,0,0,0.025869142965019125
4434,-0.9917883235559142,-0.8745502639572528,0.9895838229258166,80,84,97,0.8317627295268704
11281,6.067670465887454,-0.25113341204822714,0.2038177599332247,25,25,25,0.07805221478740153
12809,-2.268346572416741,-1.0680285943032752,1.2252257131385629,236,236,236,0.46583664442451433
10149,1.9999045856448316,-1.2543011274739593,0.8211395467959639,1,1,1,0.7968997678277723
12506,4.0839673339820655,-1.4730681811917934,0.9959838234593494,128,128,128,1.1068330315362849
11397,3.383108329540838,-0.20679330982729915,0.8487142400311007,116,122,140,0.44076144218110375
11370,2.7522874825136547,-1.1749258854772162,1.2927764093590313,113,119,136,1.0813428897229842
9919,3.853695156664714,-0.4080465084499014,1.1236653077834746,120,118,118,0.9359736591120322
14633,-2.0674436963678957,-0.8974656887740448,1.215640384467677,67,67,67,1.156941869603274
9546,1.896014128645435,-1.479092504262821,0.7155126422142939,25,25,25,0.28306224232484617
4459,-1.3132062394538544,0.5940541941443602,1.3375121614047816,22,87,42,0.5951557731881485
12276,2.782370744440229,-1.1972070357992537,1.33843591810975,0,0,0,1.7883787013295982
11167,2.657205498311738,-1.0735572884366436,1.0416277046849298,130,130,130,0.015322071802602803
10460,-1.8380105379809517,0.5935765432325733,1.6264591761868656,13,24,45,0.23114187732574218
12817,-0.3074695426860019,-1.7494212765892212,0.8769010470563738,8,8,8,0.13900350197522146
9391,1.8273192995354335,-1.0977260212112556,1.528629077529617,102,108,123,0.135455203883589
4304,-1.0195166667965263,-0.8540295254092888,0.8174652080721222,59,62,72,0.6841317316615276
14105,-1.0097837406897228,-1.2787493880643512,0.66366707734555,0,0,0,1.019943099833467
9018,1.978564740612742,0.2437145491767242,0.7957437170438577,116,122,140,0.3920133853533693
9530,2.648217105486193,-1.6682018899192026,0.9058073265064648,59,62,72,0.7339292895234816
11887,0.6452067179773444,0.7061260296555181,1.5446258741852172,141,141,141,0.3741788976812632
9764,1.8592245381532955,-1.6748599391962151,0.5670365309694672,231,231,231,2.029608136710365
4677,-2.903744963135779,0.315877859577094,0.8830319281244907,61,65,75,2.299756295328806
12121,2.9176419633160036,-1.6316113242567771,1.2870375243413896,109,115,132,0.5239507975738874
12662,3.2285067112354326,-1.7794301751061923,0.8662602243405662,231,231,231,0.23964626123100094
11553,2.6622958088739663,-0.9528447976629087,1.0327458271299825,0,0,0,0.3184859049251482
9845,2.3036765124931073,-0.8149151891432754,0.8158683596883066,59,62,72,0.3792245375109957
12202,1.022563836414795,-0.7746957965886487,1.5964003329080594,0,0,0,1.0137953759704472
12743,4.074294789365151,-1.4744792688294135,0.9958700473433811,0,0,0,0.662795086456832
9842,5.126744294796685,0.04871373813005164,0.7748966657168188,61,64,74,0.7389896479860424
12199,5.897843872357563,-1.7681602551094762,0.8693589368385805,8,8,8,1.1588288137457194
10383,-2.2276423986751075,-0.9760458014045696,1.2262965299059387,224,224,224,1.3615539797034366
12740,3.018958539516511,-1.4958336872755984,1.0212327325094632,0,0,0,0.7228430595155965
14031,-1.1202137004258201,-1.270207596458703,0.4812719265497223,82,86,99,0.27853119741250915
3857,-1.0806700453534537,-1.3059092414031839,0.4779065863160201,92,97,112,0.4610863958225442
9456,1.8939740428506295,-1.4541366722777722,0.7101431807656708,0,0,0,0.7046114211141894
4369,-20.9812631076039,-16.840500601666832,-16.60858233690354,8,8,8,1.070074610664872
11813,0.7292499922373157,0.705284711126986,1.5926685973776034,140,140,140,0.3898275577502947
10646,-0.9168592196905538,0.6060025903685506,0.9718886182349283,122,122,122,0.23337527451052673
13003,-5.823923346120218,0.3081773867213331,0.8766362636397845,0,0,0,1.0300309745948901
9537,1.850845167749508,-1.3589705635379108,0.5762710327941987,59,62,72,1.0464357755124256
4450,-1.1985057696446684,-0.8037411289747654,0.5031219079138256,59,62,72,0.9778584237954873
11894,0.9834751451262107,0.7565790472430287,1.9587897902709015,0,0,0,0.051404570375791825
9848,2.9074346946965584,-1.3597802569618753,0.8007141781530429,231,231,231,2.0466050681569756
14562,-3.1532438699654497,-1.4906249508457736,1.0529191917933387,69,73,84,0.34213930315257485
9475,2.0579668467665018,-0.15425759099153402,1.299166614480899,60,63,73,0.5429934674316607
4388,-2.4122470521907626,-0.9313964739476737,-0.04185084166720854,67,67,67,0.47757966393136053
12205,3.914643186495282,-1.6682631281524771,1.4734185271796443,60,64,74,0.13615517238391828
10389,-0.54252266145308,0.576605092405849,1.622909683667336,70,75,79,0.9214579197783918
12746,3.4113305626064454,-1.6474255228058294,0.789271403209818,225,225,225,2.41987377240415
10201,-2.227303040484192,-1.072215211289314,1.2199172833477934,226,226,226,1.4622532160511215
12558,6.030935897737023,-1.8481092641533838,0.8101858203803445,8,8,8,0.26958078912793304
11449,-0.9639211451351541,-1.518484204631077,1.0360798276371441,231,231,231,0.9324172196339376
13099,-5.847802829956113,0.23254922487126806,0.9432212584112482,0,0,0,0.5628219513626582
9633,1.9476617010718,-1.56847219654655,0.8334829052643232,130,130,130,0.5022677173079163
11990,5.257304422643486,-0.6981937432717966,1.184394093545365,231,231,231,1.1109034250472003
