marker_id,corner_idx,status,x_colmap,y_colmap,z_colmap,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,note
4,0,OK,1.378650736284782,0.4244787698346738,-0.6842106934719384,28,28,0.5299660543032179,0.5845338791829147,0.9745668966873158,
4,1,OK,1.2812816624233943,0.49388685022239215,-0.8674355952888687,28,28,0.564266396039387,0.558006641351585,1.0253897727077503,
4,2,OK,1.28237637244479,0.6965773523365114,-0.7912521778009745,28,28,0.505887748274889,0.48958447711136976,1.3074346042043496,
4,3,OK,1.380227974345555,0.6275228507183872,-0.6077846021562171,28,28,0.554778816313183,0.455382848550421,1.1659706866701072,
5,0,OK,-1.80605632618458,1.63958077293538,-0.5530717647445297,33,33,0.4743255627007931,0.44571591621112766,0.9484276464092022,
5,1,OK,-1.995260562663932,1.6052343626299805,-0.4604189598822611,33,33,0.7317369210119578,0.42644994471132314,1.9981336292607117,
5,2,OK,-1.95231608662453,1.7597894313012576,-0.31832899659367625,33,33,0.49749444355622374,0.3694536310286803,1.4819978796714204,
5,3,OK,-1.7632967932418702,1.7944865695873873,-0.41065462478977355,33,33,0.4652348059246543,0.41825767191266217,1.0247943988029393,
6,0,OK,-0.13494709019168363,1.6342455290104085,-1.555438227784804,34,34,0.3659427395421519,0.3815662501981305,0.7808698391593566,
6,1,OK,-0.3298140950709559,1.6068517985924353,-1.4717178092828942,34,34,0.6828934656001413,0.5376843754396881,1.788157016979436,
6,2,OK,-0.2877345149076681,1.7575273086502916,-1.3228749921529936,34,34,1.0470021999802805,0.7052740256833512,2.6223724787164424,
6,3,OK,-0.09456215034183682,1.7864701993449639,-1.4085839107258413,34,34,0.590936023769653,0.4860369949399747,1.5001181599432865,
7,0,OK,0.3673162315371927,1.7199817633784915,-1.789954543905315,31,31,0.42808264103281607,0.38852849466154454,1.2457189725294353,
7,1,OK,0.17547234630661654,1.6910339458173902,-1.7057706927482819,31,31,0.6696934640086318,0.5108670375878259,1.7360740440823728,
7,2,OK,0.2144372989836327,1.8459897897036799,-1.5628337086133426,31,31,1.0897660385947017,0.7735795575942125,2.3853648546329027,
7,3,OK,0.4071857930101666,1.8757432786615837,-1.6476533990564421,31,31,0.6668946011344826,0.5071538691590701,1.4523876415162615,
8,0,OK,-1.7174452513307266,1.6631313890025858,-1.7529649476602427,20,20,0.4054649107705591,0.36649316818441446,1.3025242874994318,
8,1,OK,-1.9024467419618651,1.6223323644166665,-1.6562482636110538,20,20,0.6358020456981733,0.621441574664577,1.6929352370023907,
8,2,OK,-1.863015369493489,1.7804122325481184,-1.515103378714902,20,20,0.4359206791714295,0.35234108885075005,1.1871325813619586,
8,3,OK,-1.6724257255206934,1.8171355424483897,-1.6077735351341969,20,20,0.43175865347535164,0.38127356928612044,0.8031327354210649,
9,0,OK,-0.9313799627355748,1.9449609468125053,-2.5487594887520935,18,18,0.34260405947181377,0.36098115979473905,0.6108744238253094,
9,1,OK,-0.7368619929689774,1.978053303176264,-2.6393054787110954,18,18,0.44776115558294893,0.4122804194866618,0.8052693455745163,
9,2,OK,-0.774966413678315,2.191606172397986,-2.641808230699064,18,18,0.4338700012934418,0.42246761137775624,0.8222991195972353,
9,3,OK,-0.9669405616161358,2.158530261127024,-2.546454266543067,18,18,0.3754785384813744,0.39782707699703823,0.6632738142431808,
