marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
5,side_12,1,2,0.2328626088112618,0.17,0.7300442130569242,yes,4.747800713518402
5,side_23,2,3,2.4090912221467935,0.17,0.07056602856595415,yes,5.4072788980093724
5,side_30,3,0,0.12005588784734073,0.17,1.4160071867209598,yes,4.061837739854367
5,diag_02,0,2,2.5042210997755383,0.2404163056034262,0.09600442453942086,yes,5.381840502035906
5,diag_13,1,3,2.4606455181994256,0.2404163056034262,0.09770456728742892,yes,5.380140359287898
6,side_01,0,1,0.023625530262675463,0.17,7.19560569053439,yes,1.7177607639590633
6,side_12,1,2,0.021754489142657076,0.17,7.814479066146269,yes,2.3366341395709425
6,side_23,2,3,0.02564447345506836,0.17,6.629108618582352,yes,1.1512636920070252
6,side_30,3,0,0.02157936969159976,0.17,7.877894601628527,yes,2.4000496750532
6,diag_02,0,2,0.03871219642335197,0.2404163056034262,6.210350427401797,yes,0.7325055008264698
6,diag_13,1,3,0.02552471698454149,0.2404163056034262,9.418960678350686,yes,3.941115751775359
7,side_01,0,1,0.4536918017157794,0.17,0.3747037071357497,yes,5.1031412194395775
7,side_12,1,2,0.3997828718767878,0.17,0.42523082392682804,yes,5.052614102648499
7,side_23,2,3,0.47250454216039894,0.17,0.3597849011624758,yes,5.118060025412851
7,side_30,3,0,0.40481359203651124,0.17,0.4199463736994959,yes,5.057898552875831
7,diag_02,0,2,0.5977679188321251,0.2404163056034262,0.4021900440444075,yes,5.07565488253092
7,diag_13,1,3,0.6276322957107158,0.2404163056034262,0.38305279579532237,yes,5.094792130780005
8,side_01,0,1,0.021208247728116605,0.17,8.015749447071215,yes,2.5379045204958883
8,side_12,1,2,0.023025473089593226,0.17,7.383127345028778,yes,1.9052824184534511
8,side_23,2,3,0.02551555786438038,0.17,6.662601731209622,yes,1.1847568046342953
8,side_30,3,0,0.019641301596413512,0.17,8.6552308748745,yes,3.1773859482991726
8,diag_02,0,2,0.036860463040068896,0.2404163056034262,6.522335472077044,yes,1.0444905455017173
8,diag_13,1,3,0.025096146452661536,0.2404163056034262,9.57980963559165,yes,4.101964709016323
9,side_01,0,1,0.11566173692434,0.17,1.4698032773898713,yes,4.008041649185456
9,side_12,1,2,0.10252841326383147,0.17,1.658076962164109,yes,3.819767964411218
9,side_23,2,3,0.12307514287902446,0.17,1.3812699788380494,yes,4.0965749477372775
9,side_30,3,0,0.09859586645296417,0.17,1.7242102140367077,yes,3.753634712538619
9,diag_02,0,2,0.1475017276238399,0.2404163056034262,1.6299219641449747,yes,3.847922962430352
9,diag_13,1,3,0.1639816688167861,0.2404163056034262,1.4661169589147138,yes,4.0117279676606135
10,side_01,0,1,0.016534791099260687,0.17,10.28135154411483,yes,4.803506617539504
10,side_12,1,2,0.017065358695784412,0.17,9.961700953991341,yes,4.483856027416015
10,side_23,2,3,0.018024856214573552,0.17,9.43142058811824,yes,3.9535756615429127
10,side_30,3,0,0.01719448889394101,0.17,9.88688881935331,yes,4.409043892777983
10,diag_02,0,2,0.025731734100472064,0.2404163056034262,9.343183194132868,yes,3.865338267557541
10,diag_13,1,3,0.022817910963001484,0.2404163056034262,10.53629782293627,yes,5.058452896360943
12,side_01,0,1,0.14296580212321414,0.17,1.1890955562469872,yes,4.28874937032834
12,side_12,1,2,0.20407105354878433,0.17,0.8330431829684289,yes,4.644801743606898
12,side_23,2,3,0.1478460889274243,0.17,1.149844417483717,yes,4.32800050909161
12,side_30,3,0,0.20354017032185368,0.17,0.8352159661219831,yes,4.642628960453344
12,diag_02,0,2,0.24365351990081263,0.2404163056034262,0.9867138619679935,yes,4.491131064607333
12,diag_13,1,3,0.2568636785621124,0.2404163056034262,0.9359684753766809,yes,4.541876451198646
15,side_01,0,1,0.015746365192280107,0.17,10.796142342954491,yes,5.318297416379164
15,side_12,1,2,0.02328258001877221,0.17,7.301596294866502,yes,1.823751368291175
15,side_23,2,3,0.015761361011333984,0.17,10.78587057791222,yes,5.3080256513368935
15,side_30,3,0,0.025626728688051447,0.17,6.633698825525987,yes,1.1558538989506602
15,diag_02,0,2,0.029043984793404816,0.2404163056034262,8.277662562955856,yes,2.7998176363805287
15,diag_13,1,3,0.029059276537470247,0.2404163056034262,8.273306642490681,yes,2.795461715915354
16,side_01,0,1,0.017013220340305935,0.17,9.992229372193215,yes,4.514384445617888
16,side_12,1,2,0.027944813280309705,0.17,6.083418711542593,yes,0.605573784967266
16,side_23,2,3,0.017227299186181783,0.17,9.868058722539573,yes,4.390213795964246
16,side_30,3,0,0.027422084455555905,0.17,6.199382846899402,yes,0.7215379203240753
16,diag_02,0,2,0.033056979864924764,0.2404163056034262,7.272784948467747,yes,1.7949400218924199
16,diag_13,1,3,0.032029003002612126,0.2404163056034262,7.506206346286178,yes,2.0283614197108513
17,side_01,0,1,0.01701148484240608,0.17,9.993248771337438,yes,4.515403844762111
17,side_12,1,2,0.01827891739607818,0.17,9.30033197898658,yes,3.8224870524112537
17,side_23,2,3,0.017895378237084213,0.17,9.49965950692859,yes,4.021814580353262
17,side_30,3,0,0.01749791288382579,0.17,9.715444414924459,yes,4.237599488349132
17,diag_02,0,2,0.024850921457192074,0.2404163056034262,9.674341694635537,yes,4.19649676806021
17,diag_13,1,3,0.025117801836055834,0.2404163056034262,9.571550375810194,yes,4.093705449234867
18,side_01,0,1,0.13554372099523124,0.17,1.2542078581860758,yes,4.223637068389251
18,side_12,1,2,0.19002745217305733,0.17,0.8946075846198349,yes,4.583237341955492
18,side_23,2,3,0.1403416083052382,0.17,1.21132999723258,yes,4.266514929342747
18,side_30,3,0,0.18883349261253118,0.17,0.9002640243954193,yes,4.577580902179908
18,diag_02,0,2,0.2200353633451217,0.2404163056034262,1.092625757734848,yes,4.385219168840479
18,diag_13,1,3,0.24777029895710462,0.2404163056034262,0.9703193103264101,yes,4.507525616248917
19,side_01,0,1,0.032097965012862106,0.17,5.296285915069028,yes,0.18155901150629905
19,side_12,1,2,0.030038499082224036,0.17,5.659403938081626,yes,0.18155901150629905
19,side_23,2,3,0.0186643052999569,0.17,9.108295072755405,yes,3.6304501461800784
19,side_30,3,0,0.014593594610725272,0.17,11.648946303816189,yes,6.171101377240862
19,diag_02,0,2,0.018890696544686433,0.2404163056034262,12.72670412309653,yes,7.248859196521203
19,diag_13,1,3,0.03501501467238247,0.2404163056034262,6.866091813836956,yes,1.3882468872616291
20,side_01,0,1,0.5428150663891566,0.17,0.3131821692622716,yes,5.164662757313055
20,side_12,1,2,0.19546153171545663,0.17,0.8697363542995137,yes,4.608108572275813
20,side_23,2,3,0.47993594240598775,0.17,0.3542139376929463,yes,5.123630988882381
20,side_30,3,0,0.1697446194422302,0.17,1.0015044986910864,yes,4.4763404278842405
20,diag_02,0,2,0.491841740373984,0.2404163056034262,0.4888082606015092,yes,4.989036665973818
20,diag_13,1,3,0.5882666717307607,0.2404163056034262,0.40868591942509447,yes,5.069159007150232
