output_frame,output_file,source_frame,source_time_s,target_time_s,time_error_ms
152,frame_000152.png,1519,50.660287198,50.666666667,-6.379469
153,frame_000153.png,1529,50.993797976,51.000000000,-6.202024
154,frame_000154.png,1539,51.327308754,51.333333333,-6.024579
155,frame_000155.png,1549,51.660819532,51.666666667,-5.847135
156,frame_000156.png,1559,51.994330310,52.000000000,-5.669690
157,frame_000157.png,1569,52.327841088,52.333333333,-5.492245
158,frame_000158.png,1579,52.661351866,52.666666667,-5.314800
159,frame_000159.png,1589,52.994862645,53.000000000,-5.137355
160,frame_000160.png,1599,53.328373423,53.333333333,-4.959911
161,frame_000161.png,1609,53.661884201,53.666666667,-4.782466
162,frame_000162.png,1619,53.995394979,54.000000000,-4.605021
163,frame_000163.png,1629,54.328905757,54.333333333,-4.427576
164,frame_000164.png,1639,54.662416535,54.666666667,-4.250131
165,frame_000165.png,1649,54.995927313,55.000000000,-4.072687
166,frame_000166.png,1659,55.329438091,55.333333333,-3.895242
167,frame_000167.png,1669,55.662948870,55.666666667,-3.717797
168,frame_000168.png,1679,55.996459648,56.000000000,-3.540352
169,frame_000169.png,1689,56.329970426,56.333333333,-3.362907
170,frame_000170.png,1699,56.663481204,56.666666667,-3.185463
171,frame_000171.png,1709,56.996991982,57.000000000,-3.008018
172,frame_000172.png,1719,57.330502760,57.333333333,-2.830573
173,frame_000173.png,1729,57.664013538,57.666666667,-2.653128
174,frame_000174.png,1739,57.997524317,58.000000000,-2.475683
175,frame_000175.png,1749,58.331035095,58.333333333,-2.298239
176,frame_000176.png,1759,58.664545873,58.666666667,-2.120794
177,frame_000177.png,1769,58.998056651,59.000000000,-1.943349
178,frame_000178.png,1779,59.331567429,59.333333333,-1.765904
179,frame_000179.png,1789,59.665078207,59.666666667,-1.588460
180,frame_000180.png,1799,59.998588985,60.000000000,-1.411015
181,frame_000181.png,1809,60.332099763,60.333333333,-1.233570
182,frame_000182.png,1819,60.665610542,60.666666667,-1.056125
183,frame_000183.png,1829,60.999121320,61.000000000,-0.878680
184,frame_000184.png,1839,61.332632098,61.333333333,-0.701236
185,frame_000185.png,1849,61.666142876,61.666666667,-0.523791
186,frame_000186.png,1859,61.999653654,62.000000000,-0.346346
187,frame_000187.png,1869,62.333164432,62.333333333,-0.168901
188,frame_000188.png,1879,62.666675210,62.666666667,0.008544
189,frame_000189.png,1889,63.000185988,63.000000000,0.185988
190,frame_000190.png,1899,63.333696767,63.333333333,0.363433
191,frame_000191.png,1909,63.667207545,63.666666667,0.540878
192,frame_000192.png,1919,64.000718323,64.000000000,0.718323
193,frame_000193.png,1929,64.334229101,64.333333333,0.895768
194,frame_000194.png,1939,64.667739879,64.666666667,1.073212
195,frame_000195.png,1949,65.001250657,65.000000000,1.250657
196,frame_000196.png,1959,65.334761435,65.333333333,1.428102
197,frame_000197.png,1969,65.668272213,65.666666667,1.605547
198,frame_000198.png,1979,66.001782992,66.000000000,1.782992
199,frame_000199.png,1989,66.335293770,66.333333333,1.960436
200,frame_000200.png,1999,66.668804548,66.666666667,2.137881
201,frame_000201.png,2009,67.002315326,67.000000000,2.315326
202,frame_000202.png,2019,67.335826104,67.333333333,2.492771
203,frame_000203.png,2029,67.669336882,67.666666667,2.670216
204,frame_000204.png,2039,68.002847660,68.000000000,2.847660
205,frame_000205.png,2049,68.336358438,68.333333333,3.025105
206,frame_000206.png,2059,68.669869217,68.666666667,3.202550
207,frame_000207.png,2069,69.003379995,69.000000000,3.379995
208,frame_000208.png,2079,69.336890773,69.333333333,3.557440
209,frame_000209.png,2089,69.670401551,69.666666667,3.734884
210,frame_000210.png,2099,70.003912329,70.000000000,3.912329
211,frame_000211.png,2109,70.337423107,70.333333333,4.089774
212,frame_000212.png,2119,70.670933885,70.666666667,4.267219
213,frame_000213.png,2129,71.004444664,71.000000000,4.444664
214,frame_000214.png,2139,71.337955442,71.333333333,4.622108
215,frame_000215.png,2149,71.671466220,71.666666667,4.799553
216,frame_000216.png,2159,72.004976998,72.000000000,4.976998
217,frame_000217.png,2169,72.338487776,72.333333333,5.154443
218,frame_000218.png,2179,72.671998554,72.666666667,5.331887
219,frame_000219.png,2189,73.005509332,73.000000000,5.509332
220,frame_000220.png,2199,73.339020110,73.333333333,5.686777
221,frame_000221.png,2209,73.672530889,73.666666667,5.864222
222,frame_000222.png,2219,74.006041667,74.000000000,6.041667
223,frame_000223.png,2229,74.339552445,74.333333333,6.219111
224,frame_000224.png,2239,74.673063223,74.666666667,6.396556
225,frame_000225.png,2249,75.006574001,75.000000000,6.574001
226,frame_000226.png,2259,75.340084779,75.333333333,6.751446
227,frame_000227.png,2269,75.673595557,75.666666667,6.928891
228,frame_000228.png,2279,76.007106335,76.000000000,7.106335
229,frame_000229.png,2289,76.340617114,76.333333333,7.283780
230,frame_000230.png,2299,76.674127892,76.666666667,7.461225
231,frame_000231.png,2309,77.007638670,77.000000000,7.638670
232,frame_000232.png,2319,77.341149448,77.333333333,7.816115
233,frame_000233.png,2329,77.674660226,77.666666667,7.993559
234,frame_000234.png,2339,78.008171004,78.000000000,8.171004
235,frame_000235.png,2349,78.341681782,78.333333333,8.348449
236,frame_000236.png,2359,78.675192560,78.666666667,8.525894
237,frame_000237.png,2369,79.008703339,79.000000000,8.703339
238,frame_000238.png,2379,79.342214117,79.333333333,8.880783
239,frame_000239.png,2389,79.675724895,79.666666667,9.058228
240,frame_000240.png,2399,80.009235673,80.000000000,9.235673
241,frame_000241.png,2409,80.342746451,80.333333333,9.413118
242,frame_000242.png,2419,80.676257229,80.666666667,9.590563
243,frame_000243.png,2429,81.009768007,81.000000000,9.768007
244,frame_000244.png,2439,81.343278785,81.333333333,9.945452
245,frame_000245.png,2449,81.676789564,81.666666667,10.122897
246,frame_000246.png,2459,82.010300342,82.000000000,10.300342
247,frame_000247.png,2469,82.343811120,82.333333333,10.477787
248,frame_000248.png,2479,82.677321898,82.666666667,10.655231
249,frame_000249.png,2489,83.010832676,83.000000000,10.832676
250,frame_000250.png,2499,83.344343454,83.333333333,11.010121
251,frame_000251.png,2509,83.677854232,83.666666667,11.187566
252,frame_000252.png,2519,84.011365011,84.000000000,11.365011
253,frame_000253.png,2529,84.344875789,84.333333333,11.542455
