method,marker_id,is_scale_anchor,moving_inlier_frame_count,moving_inlier_frames,max_triangulation_angle_deg,static_validation_cameras,static_validation_camera_count,raw_reconstructed_size_units,anchor_scale_m_per_unit,estimated_marker_size_cm,expected_marker_size_cm,absolute_size_error_cm,relative_size_error_percent,moving_fit_reprojection_rmse_px,moving_to_static_reprojection_rmse_px,moving_to_static_reprojection_median_px,moving_to_static_reprojection_observations
AP02,7,False,4,48;49;50;51,12.397455523249805,cam_edge_5,1,0.1702634720990674,1.007692166811103,17.1573167128291,17.0,0.15731671282909754,0.9253924284064561,0.5200423122938644,1.0381712191270054,1.0059768846369064,4
AP02,9,False,5,37;38;39;40;41,32.94930666802715,cam_edge_5,1,0.16979696052062976,1.007692166811103,17.110306706497273,17.0,0.1103067064972707,0.6488629793957099,0.8117368750353217,1.000742816158807,0.8448711470947254,4
AP02,10,False,5,33;35;36;37;38,48.44121400287022,cam_edge_1;cam_edge_5,2,0.1700835518894735,1.007692166811103,17.13918629424322,17.0,0.13918629424322093,0.8187429073130642,0.5821069853930573,2.234224584007358,1.2222792520920969,8
AP02,12,False,10,35;36;37;38;42;43;44;45;46;47,58.115422677970685,cam_edge_5,1,0.17005533595813924,1.007692166811103,17.13634299694474,17.0,0.13634299694473828,0.8020176290866957,0.5388824611860881,0.740989147300758,0.6194036167065136,4
AP02,15,False,9,26;27;28;29;30;57;59;60;61,72.35629389893991,cam_edge_0;cam_edge_3,2,0.17001130803865988,1.007692166811103,17.131906337986706,17.0,0.13190633798670637,0.7759196352159198,1.6015915181965041,0.6895171355027016,0.567116594446917,8
AP02,16,False,10,26;27;28;29;30;55;56;59;60;61,72.91646729021281,cam_edge_0;cam_edge_3,2,0.16896390918117657,1.007692166811103,17.026360775565422,17.0,0.02636077556542049,0.15506338567894407,1.998133967244522,0.828393942250105,0.6901754866736707,8
AP02,17,False,6,36;37;38;39;40;41,21.292424584195967,cam_edge_5,1,0.16812394775460948,1.007692166811103,16.94171852056791,17.0,0.058281479432090166,0.34283223195347157,0.727528796765372,1.4785047710653307,1.110748033736121,4
AP02,18,False,6,4;17;18;71;73;74,102.59608839944772,,0,0.16890675426847956,1.007692166811103,17.020601319783466,17.0,0.02060131978346702,0.12118423402039423,1.2309839304624115,,,0
AP02,19,False,9,27;28;55;56;57;58;59;60;61,83.1084900010606,cam_edge_0;cam_edge_3,2,0.1701307432766256,1.007692166811103,17.143941733360634,17.0,0.14394173336063354,0.846716078591962,1.1879274477907498,0.3845977179938704,0.32137252938770144,8
AP02,20,False,16,1;2;3;4;5;6;7;21;22;23;24;73;74;75;76;77,35.864188543522005,cam_edge_1,1,0.17013864036340196,1.007692166811103,17.144737516609148,17.0,0.14473751660914747,0.8513971565243968,1.5827672723297672,0.6887761715852102,0.7403838759515171,4
