frame_id,selected,selection_reasons,marker_ids,marker_count,selection_score,score_area,score_reprojection,score_border,score_distance,tie_breaker
moving_frame_000059,True,quality_valid_graph,"0,16,18",3,85.57752362287073,,,,,original input order
moving_frame_000060,True,quality_valid_graph,"0,16,18",3,79.04339191054264,,,,,original input order
moving_frame_000061,True,quality_valid_graph,"0,16,18",3,90.70485550786589,,,,,original input order
moving_frame_000062,True,quality_valid_graph,"0,16,18",3,95.13290368477885,,,,,original input order
moving_frame_000063,True,quality_valid_graph,"0,16",2,56.762111386661836,,,,,original input order
moving_frame_000064,True,quality_valid_graph,"0,16",2,61.289213623467376,,,,,original input order
moving_frame_000065,True,quality_valid_graph,"0,16,19",3,100.89774976739557,,,,,original input order
moving_frame_000066,True,quality_valid_graph,"0,16,19",3,103.57137158123095,,,,,original input order
moving_frame_000067,True,quality_valid_graph,"0,16,19",3,96.32207297116491,,,,,original input order
moving_frame_000068,True,quality_valid_graph,"0,16,19",3,81.63320836895817,,,,,original input order
moving_frame_000069,True,quality_valid_graph,"0,19",2,48.03219086980417,,,,,original input order
moving_frame_000070,True,quality_valid_graph,"0,19",2,59.557937568701064,,,,,original input order
moving_frame_000071,True,quality_valid_graph,"0,19",2,69.77757907708072,,,,,original input order
moving_frame_000072,True,quality_valid_graph,"0,19",2,55.83355696114771,,,,,original input order
moving_frame_000073,True,quality_valid_graph,"0,19",2,67.61293787761251,,,,,original input order
moving_frame_000074,True,quality_valid_graph,"0,19",2,81.79485187128627,,,,,original input order
moving_frame_000075,True,quality_valid_graph,"0,19",2,87.5835275275257,,,,,original input order
moving_frame_000076,True,quality_valid_graph,"0,19",2,89.9639491708284,,,,,original input order
moving_frame_000077,True,quality_valid_graph,0,1,21.7246218385103,,,,,original input order
moving_frame_000078,True,quality_valid_graph,0,1,43.59012794221678,,,,,original input order
moving_frame_000079,True,quality_valid_graph,0,1,30.45746122733007,,,,,original input order
moving_frame_000080,True,quality_valid_graph,0,1,32.1337195923529,,,,,original input order
moving_frame_000081,True,quality_valid_graph,0,1,39.74646398562878,,,,,original input order
moving_frame_000082,True,quality_valid_graph,0,1,39.627445655827145,,,,,original input order
moving_frame_000083,True,quality_valid_graph,0,1,61.667596117384264,,,,,original input order
moving_frame_000084,True,quality_valid_graph,0,1,11.790735185211098,,,,,original input order
moving_frame_000085,True,quality_valid_graph,1,1,45.14235526940218,,,,,original input order
moving_frame_000086,True,quality_valid_graph,1,1,58.09390522607252,,,,,original input order
moving_frame_000087,True,quality_valid_graph,1,1,22.1703676525871,,,,,original input order
moving_frame_000090,True,quality_valid_graph,1,1,50.000798252863525,,,,,original input order
moving_frame_000093,True,quality_valid_graph,1,1,40.08869920542882,,,,,original input order
moving_frame_000094,True,quality_valid_graph,1,1,45.98293082370053,,,,,original input order
moving_frame_000095,True,quality_valid_graph,1,1,47.60288141101207,,,,,original input order
moving_frame_000096,True,quality_valid_graph,1,1,89.09527237881078,,,,,original input order
moving_frame_000097,True,quality_valid_graph,1,1,97.85607948223011,,,,,original input order
moving_frame_000098,True,quality_valid_graph,1,1,98.36857499790393,,,,,original input order
moving_frame_000099,True,quality_valid_graph,1,1,81.25814613963395,,,,,original input order
moving_frame_000100,True,quality_valid_graph,1,1,36.57253439900841,,,,,original input order
moving_frame_000101,True,quality_valid_graph,"1,18",2,34.97829288070217,,,,,original input order
moving_frame_000102,True,quality_valid_graph,"1,18",2,29.91421525277332,,,,,original input order
moving_frame_000103,True,quality_valid_graph,"2,17,18",3,46.24109290638008,,,,,original input order
moving_frame_000104,True,quality_valid_graph,"2,5,17,18",4,66.8671490405772,,,,,original input order
moving_frame_000105,True,quality_valid_graph,"1,2,5,8,17,18,20",7,97.83569565643307,,,,,original input order
moving_frame_000106,True,quality_valid_graph,"1,2,5,8,17,18,20",7,105.37011661866525,,,,,original input order
moving_frame_000107,True,quality_valid_graph,"1,2,5,6,8,14,17,20",8,85.63261189835,,,,,original input order
moving_frame_000108,True,quality_valid_graph,"1,2,5,6,7,8,14,20",8,122.58462855300142,,,,,original input order
moving_frame_000109,True,quality_valid_graph,"1,2,5,6,7,8,14,17,20",9,172.12223898052346,,,,,original input order
moving_frame_000110,True,quality_valid_graph,"2,5,6,7,8,14,20",7,98.98531227842268,,,,,original input order
moving_frame_000111,True,quality_valid_graph,"2,3,4,5,6,7,8,14,17,18,20",11,129.9333558274453,,,,,original input order
moving_frame_000112,True,quality_valid_graph,"2,3,5,6,7,8,14,17,18,20",10,130.0330543493627,,,,,original input order
moving_frame_000113,True,quality_valid_graph,"2,3,5,6,7,8,14,17,18,19",10,167.20139539380367,,,,,original input order
moving_frame_000114,True,quality_valid_graph,"2,3,5,6,7,8,14,19",8,169.1275173732241,,,,,original input order
moving_frame_000115,True,quality_valid_graph,"3,5,6,7,8,14,19",7,119.82065813743074,,,,,original input order
moving_frame_000116,True,quality_valid_graph,"3,6,7,8,14,19",6,100.82974503154534,,,,,original input order
moving_frame_000117,True,quality_valid_graph,"6,7,14,19",4,78.85527342141286,,,,,original input order
moving_frame_000118,True,quality_valid_graph,"3,14,19",3,87.02279361307662,,,,,original input order
moving_frame_000119,True,quality_valid_graph,"3,14,19",3,99.48205901888285,,,,,original input order
moving_frame_000120,True,quality_valid_graph,"3,7,14,19",4,91.85343706647886,,,,,original input order
moving_frame_000121,True,quality_valid_graph,"3,7,19",3,88.13297626168963,,,,,original input order
moving_frame_000122,True,quality_valid_graph,"3,7,19",3,112.77982299482244,,,,,original input order
moving_frame_000123,True,quality_valid_graph,"3,4,7",3,49.446927078876634,,,,,original input order
moving_frame_000124,True,quality_valid_graph,"3,4,7",3,58.89372201452082,,,,,original input order
moving_frame_000125,True,quality_valid_graph,"4,7",2,46.619742100487414,,,,,original input order
moving_frame_000126,True,quality_valid_graph,"4,7",2,39.7914118470586,,,,,original input order
moving_frame_000127,True,quality_valid_graph,"4,7",2,60.921545625359514,,,,,original input order
moving_frame_000128,True,quality_valid_graph,"4,7",2,62.742010851157374,,,,,original input order
moving_frame_000129,True,quality_valid_graph,"4,7",2,67.0935086602482,,,,,original input order
moving_frame_000130,True,quality_valid_graph,"4,6,7",3,94.93361437228926,,,,,original input order
moving_frame_000131,True,quality_valid_graph,"4,6,7",3,95.48026442389806,,,,,original input order
moving_frame_000132,True,quality_valid_graph,"4,6,7",3,91.11269057172366,,,,,original input order
moving_frame_000133,True,quality_valid_graph,"4,6,7",3,111.28493650655847,,,,,original input order
moving_frame_000134,True,quality_valid_graph,"4,6,7,8,20",5,143.21644884306957,,,,,original input order
moving_frame_000135,True,quality_valid_graph,"6,7,8,20",4,81.20876298642362,,,,,original input order
moving_frame_000136,True,quality_valid_graph,"6,7,8,20",4,91.47757829287437,,,,,original input order
moving_frame_000137,True,quality_valid_graph,"5,6,7,8,20",5,126.33933291924205,,,,,original input order
moving_frame_000138,True,quality_valid_graph,"5,6,7,8,20",5,137.3265952670384,,,,,original input order
moving_frame_000139,True,quality_valid_graph,"5,6,7,8,17,20",6,148.58738247371548,,,,,original input order
moving_frame_000140,True,quality_valid_graph,"5,6,8,17,20",5,151.66864646511738,,,,,original input order
moving_frame_000141,True,quality_valid_graph,"5,6,8,17,20",5,145.5786624729336,,,,,original input order
moving_frame_000142,True,quality_valid_graph,"5,8,17,20",4,87.53745040605811,,,,,original input order
moving_frame_000143,True,quality_valid_graph,"5,8,17,20",4,99.52443713689351,,,,,original input order
moving_frame_000144,True,quality_valid_graph,"5,8,17,20",4,119.63035624144109,,,,,original input order
moving_frame_000145,True,quality_valid_graph,"5,8,17,20",4,134.43337680177657,,,,,original input order
moving_frame_000146,True,quality_valid_graph,"5,8,20",3,78.74144170678258,,,,,original input order
moving_frame_000147,True,quality_valid_graph,"5,8,20",3,92.15719765882912,,,,,original input order
moving_frame_000148,True,quality_valid_graph,"5,8,20",3,47.242337379119064,,,,,original input order
moving_frame_000149,True,quality_valid_graph,"8,20",2,46.003578080512966,,,,,original input order
moving_frame_000150,True,quality_valid_graph,8,1,48.52921189500852,,,,,original input order
moving_frame_000151,True,quality_valid_graph,8,1,50.18241947842284,,,,,original input order
moving_frame_000152,True,quality_valid_graph,8,1,69.51348112764342,,,,,original input order
moving_frame_000153,True,quality_valid_graph,8,1,78.26989028939774,,,,,original input order
moving_frame_000154,True,quality_valid_graph,8,1,84.06864489000158,,,,,original input order
moving_frame_000155,True,quality_valid_graph,12,1,29.17029230637687,,,,,original input order
moving_frame_000156,True,quality_valid_graph,"12,13",2,55.65501097973702,,,,,original input order
moving_frame_000157,True,quality_valid_graph,12,1,41.683764560116416,,,,,original input order
