frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok,message_counter,image_sha256
29,3,3.142857142857143,0.0,2.2,0.0,0.2142857142857143,-3.4666243737142857,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0029.png,True,215,54a0861d918c8c60050ebe6acec17e08dddbc52e407a6ee83a5c7269d89f2794
30,3,3.0,0.0,2.2,0.0,0.2,-3.5207963270000002,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0030.png,True,222,7832d58c63c58ebe0d8e04a69a893b50fc379a3b74baf406f99f0a96f50b8041
31,3,2.857142857142857,0.0,2.2,0.0,0.18571428571428572,-3.5749682802857143,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0031.png,True,228,95abfcb63520c397ad8ec1adf47fa1bcf5fe40db208670bac61c80a98647c2f4
32,3,2.7142857142857144,0.0,2.2,0.0,0.17142857142857143,-3.6291402335714285,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0032.png,True,235,5fece99100d6a76554aaf357fe627851beff04de2c71b0a99f11ea03ef57f794
33,3,2.571428571428571,0.0,2.2,0.0,0.15714285714285714,-3.683312186857143,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0033.png,True,242,76a544b948262a9bff9c8d9b47a366cab2c654a828802ffe01cb0537c4b88b2c
34,3,2.428571428571429,0.0,2.2,0.0,0.14285714285714285,-3.737484140142857,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0034.png,True,248,b1eb4b71315d4f4899345ea1327fbfb0959deb3f02502fedd2c2443a2fab520f
35,3,2.2857142857142856,0.0,2.2,0.0,0.1285714285714286,-3.7916560934285712,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0035.png,True,255,6324b6ca7720314bd74df304813182012f5b82bc12f5fd74a1c21a85284076b7
36,3,2.142857142857143,0.0,2.2,0.0,0.1142857142857143,-3.845828046714286,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0036.png,True,262,67e2f22065dee9930906e43c6fc0d8d6faa6219873a04e7d6bc7200d7112b171
37,4,2.0,0.0,2.2,0.0,0.1,-3.9,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0037.png,True,269,9937aca795ab36e3a5b6dd64b65dac81d6480729e4f705c5daa65eff3c97e800
38,4,1.9583333333333333,0.0,2.2,0.0,0.15833333333333333,-3.8680678910833333,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0038.png,True,276,7d49ec0d76f09f9cfde9d1e631422565ee37f98a66d0bec9865516541dd74f03
39,4,1.9166666666666667,0.0,2.2,0.0,0.21666666666666667,-3.8361357821666666,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0039.png,True,283,29d17c300f3a5dcb6710ac6abc8212ff3f64d1a801560e42af87bbcf8648ac57
40,4,1.875,0.0,2.2,0.0,0.275,-3.80420367325,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0040.png,True,290,7f4d6bc088aeae57911b1c2245357d4127ae643972c6edcdfcf958a706ed610d
41,4,1.8333333333333333,0.0,2.2,0.0,0.33333333333333337,-3.7722715643333333,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0041.png,True,297,250e47cc53e6d442bc279aff1d0121c4db7e137429322bcae971cf65cbc675d4
42,4,1.7916666666666667,0.0,2.2,0.0,0.3916666666666667,-3.7403394554166667,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0042.png,True,304,7e2bda256c703a8e9cb29176846627c184bfaf4b241dd67f0e4b7818d3a3b6cd
43,4,1.75,0.0,2.2,0.0,0.45000000000000007,-3.7084073465,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0043.png,True,311,2f273b915094271b768e9903176df5cd5d5705e26179cc6ca0b7b3ccc1a18f71
44,4,1.7083333333333333,0.0,2.2,0.0,0.5083333333333334,-3.6764752375833334,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0044.png,True,318,fddd1f822f9852d0f63cf9c75e7098628b579118d88cb4bfffe13f0eabb34344
45,4,1.6666666666666667,0.0,2.2,0.0,0.5666666666666667,-3.6445431286666667,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0045.png,True,325,1b7aa486a1ae2312397ead40fa3cc01e5e83ae6fe6f49c8b566e5b08e8cbef01
46,4,1.625,0.0,2.2,0.0,0.625,-3.61261101975,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0046.png,True,332,4ac675ac4b47177daff982f5a9e518550a5b2f56f55e60c4e95201b719c8b174
47,4,1.5833333333333333,0.0,2.2,0.0,0.6833333333333333,-3.5806789108333335,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0047.png,True,339,0405eaf446e2c709138c3b385e069e44c4e5d4fefe0222170404ae3692b8f9be
48,4,1.5416666666666667,0.0,2.2,0.0,0.7416666666666667,-3.548746801916667,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0048.png,True,346,061f897cda7dbe5dcd7bb664707bf6f9d1c5ecfafa5d44f169a508085fe08bf8
49,5,1.5,0.0,2.2,0.0,0.8,-3.516814693,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0049.png,True,353,e3d8c5d557ba04798c9b48fa3d63435a3da6958073c84e5e5d3d9554736586f7
50,5,1.48,0.0,2.2,0.0,0.75,-3.4417702852,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0050.png,True,360,be38d27eac55431778388597560f61c2caf893d1347b126876b73d7730c65913
51,5,1.46,0.0,2.2,0.0,0.7000000000000001,-3.3667258774,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0051.png,True,367,d27bf0b21af7e4c343921d9344d6a7db9075b4bd6f13b54ca4c447fb0d3ee7fd
52,5,1.44,0.0,2.2,0.0,0.65,-3.2916814696000003,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0052.png,True,374,8745896df2106f77624bb0fe6a335f4279813b08433f78f14377dc310d43974b
53,5,1.42,0.0,2.2,0.0,0.6000000000000001,-3.2166370618,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0053.png,True,381,88d71b4321c406cfebf0e4ad7c50f9c040ee7a84d0cc45849dd90ba88005afbf
54,6,1.4,0.0,2.2,0.0,0.55,-3.141592654,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0054.png,True,388,ea33245f8c8d01901b5cf934f15a5dcf609774e1ec8033a8fc1f19456c1d7ca0
55,6,1.2999999999999998,0.0,2.2,0.0,0.525,-3.141592654,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0055.png,True,394,c4f4738e56ca78829362e4b1e58e9ae4013e3aa7223e90f086a62966682e22af
56,7,1.2,0.0,2.2,0.0,0.5,-3.141592654,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0056.png,True,401,ee86130d9c4ee719bc36a7e3dd2fa1d3de50ff31b24bbd225a1a6aa78dd374c5
57,7,1.16,0.0,2.2,0.0,0.5,-3.0532741232,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0057.png,True,408,c84e1a293c303a198a83d7c32708f3bdf4bdd5749c4c08837f58678b446f2629
58,7,1.1199999999999999,0.0,2.2,0.0,0.5,-2.9649555924,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0058.png,True,415,6efbecc1d46101708b23020912d3ff0e6109bffc996f64e60764afc0ca4c4da3
59,7,1.08,0.0,2.2,0.0,0.5,-2.8766370616000003,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0059.png,True,422,b3cc56ade14062a2296e10e2c656372669956089f4b606b681c9e5fb794bc887
60,7,1.04,0.0,2.2,0.0,0.5,-2.7883185308000003,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0060.png,True,429,4913f64a6a027654edf27e3badc0cd09f321e62ab688186006908164d71fc688
61,8,1.0,0.0,2.2,0.0,0.5,-2.7,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0061.png,True,436,1418430c8f11798a2427acf748eb5ce591136c6f5e7b62ee37cb086fae66f183
62,8,0.9,0.0,2.2,0.0,0.5,-2.8000000000000003,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0062.png,True,443,2bd15aa06d19963b8a987b115dc4ac80dca3ec063987c2dd3c982e3c11d28dbb
63,8,0.8,0.0,2.2,0.0,0.5,-2.9000000000000004,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0063.png,True,450,5d8baadfb8c76c0b6486d99085d381192536ad89bcfbeba49fefd46dbbe3f84e
64,8,0.7,0.0,2.2,0.0,0.5,-3.0,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0064.png,True,457,ba285c5b8f7dd9d2afd5ca8547bbe43ff6d2c8f3499b67ada62bb6be337393f2
65,8,0.6,0.0,2.2,0.0,0.5,-3.1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0065.png,True,464,47f769316bc8cae1263be88f317cfb8150faa2eedb676ad6aab096f2767a12c6
66,8,0.5,0.0,2.2,0.0,0.5,-3.2,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0066.png,True,470,a7f3f4658ec1db3a2450c751616e54353311fe5007620fe9c0ab19653acccd13
67,8,0.4,0.0,2.2,0.0,0.5,-3.3000000000000003,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0067.png,True,477,87b3008d1c96986fe5013e2ece88271f5d04c958ec734b8af81895ac76bb22e9
68,8,0.30000000000000004,0.0,2.2,0.0,0.5,-3.4000000000000004,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0068.png,True,484,3dc6f0a1a6444d0a82095a2851e895c2ac035999470dd4f84579001b8868adba
