group,variant,parameter,method,camera,status,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m
moving_cam/fov,fov_140deg_extreme,140 deg,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,21.164376105226257,0.7944749590239627,6.051551433293824,0.41107936740959716,2.0776354413078257,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/fov,fov_140deg_extreme,140 deg,AP03,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4.725220076109041,0.6145379440465857,0.6219217370254231,-1.7659839938401913,2.078314234905651,0.58780793,-1.734555260428118,2.087328299644237
moving_cam/fov,fov_140deg_extreme,140 deg,AP03,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,14.466501050924032,0.353825714007695,-4.1182809487663,0.4806387208936417,2.142874057230925,-3.97416732,0.47508649956281324,2.131542680097442
moving_cam/fov,fov_140deg_extreme,140 deg,AP03,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,11.51887215996155,0.41322244613393583,-3.3113904648061014,-1.6418212543291637,2.059460875444278,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/fov,fov_140deg_extreme,140 deg,AP03,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,22.05072270954968,0.429247988153911,6.052893326546977,0.4529030455504157,2.131194281911666,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP01,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.7444516000875225,1.1899201983944883,0.6315880761506572,-1.716877011925083,2.039166685557037,0.58780793,-1.734555260428118,2.087328299644237
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP01,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,10.88381225533903,1.1018149151489374,-4.076596631847628,0.45256715434923134,2.1606434032245345,-3.97416732,0.47508649956281324,2.131542680097442
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP01,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4.981288836149489,1.3254164250105556,-3.2315613787885935,-1.5469048652218853,2.1010899017435234,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP01,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.968561048515418,1.6088103039012338,5.9217135844855635,0.3369512410724398,2.110943458967425,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP02,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3.653479996582206,1.193997646972364,0.6126576704194387,-1.7612639292959973,2.0853461248449014,0.58780793,-1.734555260428118,2.087328299644237
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP02,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,12.072796226531185,0.627260249541286,-4.089483106515668,0.4750112630571282,2.1672848763432753,-3.97416732,0.47508649956281324,2.131542680097442
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4.685580677317085,0.8065330315219034,-3.2625534945749406,-1.5939166979201533,2.0504757466081815,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,14.14126603859911,0.6014579137561811,5.984522580671169,0.4059058824337247,2.1087367016961625,5.85885887,0.34841953956133265,2.138761570071462
