group,variant,aligned_est_pitch_deg,aligned_est_roll_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_yaw_deg,aligned_est_z_m,alignment,camera,gt_pitch_deg,gt_roll_deg,gt_x_m,gt_y_m,gt_yaw_deg,gt_z_m,method,rotation_error_deg,source_file,translation_error_cm,status
moving_cam/fov,fov_69deg_baseline,3.514275524,-109.727021281,5.923059849,0.336689233,112.416188596,2.111237425,SE3_all_static_cameras_no_scale,cam_edge_5,4.073179101,-109.270651886,5.858858870,0.348419540,113.876819191,2.138761570,AP01,1.601827,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,7.083039,
moving_cam/fov,fov_69deg_baseline,,,0.6126576421532579,-1.7612639060922317,,2.0853461500552983,SE3_available_static_cameras_no_scale,cam_edge_0,,,0.58780793,-1.734555260428118,,2.087328299644237,AP02,1.1939975483269536,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3.6534762409298387,OK
moving_cam/fov,fov_69deg_baseline,,,-4.089483129666693,0.4750112687314397,,2.1672848920594587,SE3_available_static_cameras_no_scale,cam_edge_1,,,-3.97416732,0.47508649956281324,,2.131542680097442,AP02,0.6272601560183334,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,12.072798902781702,OK
moving_cam/fov,fov_69deg_baseline,,,-3.2625535096910347,-1.593916689775386,,2.050475761794128,SE3_available_static_cameras_no_scale,cam_edge_3,,,-3.22735583,-1.5632142604213257,,2.0542108996793798,AP02,0.8065329745537833,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4.685581158080165,OK
moving_cam/fov,fov_69deg_baseline,,,5.984522647204469,0.40590584541088015,,2.108736645583636,SE3_available_static_cameras_no_scale,cam_edge_5,,,5.85885887,0.34841953956133265,,2.138761570071462,AP02,0.6014584011480503,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,14.141271637311064,OK
moving_cam/fov,fov_69deg_baseline,-1.512544286,-112.894346452,0.596345745,-1.756697446,-0.854902759,2.094201313,SE3_all_static_cameras_no_scale,cam_edge_0,-1.496743718,-112.764861788,0.587807930,-1.734555260,-0.827099911,2.087328300,AP03,0.134082,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,2.470646,
moving_cam/fov,fov_69deg_baseline,0.785841420,-106.362024680,-4.042629871,0.496183173,-114.582266390,2.132546633,SE3_all_static_cameras_no_scale,cam_edge_1,0.768085533,-106.364113762,-3.974167320,0.475086500,-114.559656476,2.131542680,AP03,0.028847,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,7.164634,
moving_cam/fov,fov_69deg_baseline,2.020820185,-109.341087922,-3.274209885,-1.579351764,-59.879500164,2.048210997,SE3_all_static_cameras_no_scale,cam_edge_3,1.967429539,-109.390448856,-3.227355830,-1.563214260,-59.899952457,2.054210900,AP03,0.075067,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4.991713,
moving_cam/fov,fov_69deg_baseline,4.017631576,-109.252481187,5.965637661,0.365602555,113.913207474,2.136884506,SE3_all_static_cameras_no_scale,cam_edge_5,4.073179101,-109.270651886,5.858858870,0.348419540,113.876819191,2.138761570,AP03,0.068165,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,10.816880,
moving_cam/motion_blur,moving_blur_k00_baseline,-1.124146965,-112.001402545,0.631632433,-1.716621771,0.029139687,2.039575287,SE3_all_static_cameras_no_scale,cam_edge_0,-1.496743718,-112.764861788,0.587807930,-1.734555260,-0.827099911,2.087328300,AP01,1.218495,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.724989,
