group,variant,method,evaluation,entity_type,entity_id,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_x_m,est_y_m,est_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,interpretation,status
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,2,5.1668288620146985,1.5948819907856624,-4.318464861947935,-2.490711708913329,1.3576954402778063,-1.1431846486194794,-1.0499071172327057,0.7135769541925473,68.46861708869645,-0.7865101277832947,-90.04951437691071,-1.1,-1.0250000001435724,0.6999999997897692,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,3,2.8798571554954058,1.509643455964987,0.5536948597009372,2.573030251728081,-1.1689801375947217,0.10553694859700938,0.7357303024352394,0.38831019876967626,88.80658213167742,-0.9245834727573471,0.016424091618965242,0.1,0.7099999999179586,0.4000000001456235,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,4,5.9600666970971,3.516618703862357,-1.439844183480754,5.359702384026344,2.1732082541268127,0.6856015581651924,0.763597023512098,1.6217320826868917,86.86175545598043,-1.1815387073827175,-1.0276853737637666,0.7,0.7099999996718346,1.6000000001456236,90.00000001175157,-0.0,0.0,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,5,12.131340713746454,1.2290531292785303,10.448711481542938,-3.36851166882719,5.162071776472132,2.0044871148154293,-1.5136851168318441,0.7516207174611683,67.97037380606487,-0.597776942341264,-89.40171713187674,1.9,-1.4800000001435722,0.699999999696447,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,6,7.858434922656319,1.7954267260771262,5.779811305172289,2.7815334527225386,4.540027793044055,2.027798113051723,0.027815334328275085,1.0154002779304407,66.37542072562285,-0.6108245918912402,-88.46270753444047,1.97,-1.9895030067829111e-10,0.9700000000000002,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,7,6.324906494729941,1.928616321949954,3.0480493736738223,3.644923146695511,4.174730223308676,2.000480493736738,0.47144923126800486,1.011747302322307,67.9234473858302,-1.2516169188579553,-91.21113218953134,1.97,0.43499999980104975,0.9700000000892202,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,8,15.648042761986613,2.7356198874523225,14.031474334727978,-0.499238002526714,6.90867076156223,2.7903147433472797,-1.0299923802324218,1.0790867074053914,69.405647945963,-1.4391002571570994,-89.9153667291285,2.65,-1.0250000002071546,1.009999999789769,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,14,,,,,,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,Marker 14 defines the AP02 coordinate system. Its pose relative to itself is not an estimate.,GAUGE_ANCHOR_NOT_ESTIMATED
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_0,10.940952022188426,2.065852109964462,-2.4936469720741483,1.4979005688481095,10.547153635760642,0.5628714602792585,-1.719576254739637,2.1927998360018432,-114.73218265315514,-1.9570921116753528,-1.2025809596604047,0.58780793,-1.734555260428118,2.087328299644237,-112.76486178785166,-1.4967437175878098,-0.8270999106551793,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_1,17.025902236412353,1.3780791860233805,-15.729301051875533,3.2989050175695533,5.620290123151372,-4.131460330518755,0.5080755497385088,2.1877455813289557,-105.58649622526313,-0.18487045104352692,-115.1772551499432,-3.97416732,0.47508649956281324,2.131542680097442,-106.3641137615459,0.7680855332147687,-114.5596564761897,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_3,8.5084706657627,1.461556232598234,-6.937215698795285,-3.166490948837075,3.77391659810673,-3.296727986987953,-1.5948791699096965,2.091950065660447,-109.26237308597211,0.8371633867781509,-60.814575956093115,-3.22735583,-1.5632142604213257,2.0542108996793798,-109.39044885636157,1.9674295392793395,-59.899952456623105,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_camera,cam_edge_5,26.37653987369871,0.7678592397720261,24.873704112190964,1.9416541458895764,8.558661029959191,6.107595911121909,0.3678360810202284,2.224348180371054,-109.38577256083055,3.5289002488733074,113.33987087197674,5.85885887,0.34841953956133265,2.138761570071462,-109.27065188628556,4.0731791005917914,113.8768191914187,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,aruco_marker,0,12.814874339650698,2.6751886990149734,-12.219633903770122,0.12126922370256817,3.858347492677694,-2.672196339037701,-0.01878730792295503,0.8185834749226749,65.54962590292321,0.0028548471747027802,92.19306441615701,-2.55,-0.020000000159980713,0.779999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,AP02 and GT are each expressed relative to their own marker-14 frame; this evaluates relative geometry only.,OK
