marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_units,scale_m_per_colmap_unit,quality,used_for_scale
9,1,7,6,0.41904739631951265,0.5058350592023201,0.8284269520193642,4721.905335772838,False
9,1,8,7,0.6054412848106945,0.6387302359442864,0.947882612626944,5017.593048464572,False
9,1,9,8,0.7420857340933671,0.7708726228291655,0.9626567504367347,5389.837659892921,False
9,1,10,9,0.6526294591811534,0.9051451576894308,0.7210218754825186,5871.9128058921315,True
9,1,11,10,0.7989959271750452,1.0385164952229233,0.7693627697300429,6542.274833725652,True
9,2,5,3,0.32174578663910935,0.1792328131202125,1.7951276947447818,4321.438417934472,False
9,2,6,4,0.5162230939685818,0.3129929476093653,1.6493122222448935,4418.044250570608,False
9,2,7,5,0.3649987257715534,0.4456778146864478,0.8189744109841874,4618.354144064745,False
9,2,8,6,0.4410957058042216,0.5785730056679166,0.7623855615161507,4907.557437259395,True
9,2,9,7,0.668050429576147,0.7107155761719697,0.9399687469555345,5271.63873951924,False
9,2,10,8,0.5760731837608323,0.8449879253503821,0.6817531546642612,5743.14199719979,True
9,2,11,9,0.7129175325249167,0.9783592674692658,0.7286868497387768,6398.80301306424,True
9,3,6,3,0.424892201748362,0.25255003328815967,1.6824080211605432,4424.892710563726,False
9,3,7,4,0.7010304284171466,0.3852348616889945,1.81974815400559,4625.513106672599,False
9,3,8,5,0.6177715886277402,0.5181291893123643,1.1923118816131868,4915.164697138845,False
9,3,9,6,0.5568834598609185,0.650273386927416,0.8563835935101527,5279.8103659127755,False
9,3,10,7,0.8187125975938708,0.7845446893611138,1.043551258068653,5752.0445060865095,False
9,3,11,8,0.6970669148927805,0.9179161674075883,0.7594015005329537,6408.721869452598,True
9,4,7,3,0.607326310922126,0.32612924066668325,1.8622258760993378,4673.685430150386,False
9,4,8,4,0.5199528314415873,0.4590236973931689,1.1327363584809231,4966.353591922347,False
9,4,9,5,0.4865204888956744,0.5911667449318898,0.8229835204139028,5334.79685648854,False
9,4,10,6,0.7306236474517097,0.7254387666439434,1.0071472342617598,5811.949070664677,False
9,4,11,7,0.6237479314768949,0.8588101981199956,0.7262931120779995,6475.46538868057,True
9,5,8,3,0.27542147414909673,0.39934141754368246,0.6896892284381432,5061.505309688018,True
9,5,9,4,0.40262048981052045,0.5314868356176955,0.7575361473301475,5437.0076788616,True
9,5,10,5,0.5805339970428538,0.6657569280821471,0.8719909212438901,5923.301781945606,False
9,5,11,6,0.5146308892807752,0.799128350301961,0.6439902790162746,6599.530589367701,True
9,6,9,3,0.5726010090219138,0.3977241812405793,1.439693727537158,5558.55208215233,False
9,6,10,4,0.5010736074633986,0.5319950694150898,0.9418764125282434,6055.717298553492,False
9,6,11,5,0.607710752594776,0.6653664116647311,0.9133475058867159,6747.063212983853,False
9,7,10,3,0.2589744210035892,0.39931092943345536,0.6485532999836082,6330.277719026236,True
9,7,11,4,0.5389081038813172,0.5326820558642188,1.0116881129156816,7052.9685948542265,False
9,8,11,3,0.27493598598475355,0.3997877168563635,0.6877049353758237,7494.628476448983,True
11,0,4,4,0.16270282986656406,0.2390554219820995,0.6806071517539027,4121.998908296799,True
11,0,5,5,0.20152845160022276,0.2987381715445716,0.6745989324305508,4454.194652235126,True
11,0,6,6,0.29497715143413317,0.43249937809288713,0.6820290765152995,4625.819386876232,True
11,0,7,7,0.38174212677008124,0.5651843744416374,0.6754293714280685,4863.118855220382,True
11,0,8,8,0.47446053802053206,0.6980781550440396,0.6796667888720853,5194.00940988751,True
11,0,9,9,0.5619706132709308,0.8302216894775986,0.6768922329944671,5590.430439599441,True
11,0,10,10,0.6459826003942594,0.964493692869614,0.6697634263136516,6086.058453547747,True
11,0,11,11,0.736596159740832,1.097865221503771,0.6709349611529725,6710.767467287181,True
11,4,7,3,0.21924814690280528,0.32612924066668325,0.6722738091641571,5839.991438349889,True
11,4,8,4,0.31210626189262364,0.4590236973931689,0.6799349655913175,6237.349196573814,True
