point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
7837,1.3125367368051595,-0.16907320431061007,1.0423418536033593,119,119,120,0.08679495392490877
7836,1.1395743274062806,-0.23328843261561177,1.0183343296876572,4,5,5,0.17658880222722112
7834,1.1365542031622633,-0.2305425874191308,1.0192950001180074,6,6,7,0.692472462431922
7833,1.1019465138780982,-0.2475582055071424,1.0183186745739252,37,48,47,0.02235395688438971
7831,1.110644328603601,-0.24322479586677784,1.0257083222948746,37,48,46,0.024646110349145676
7829,1.1080410181764986,-0.24427776505170642,1.0261204266935375,20,78,31,0.03424922572496885
7827,1.3900102684736355,-0.13686768950572964,1.0714242342212084,12,90,38,0.2040266261836242
7826,1.2566124064727655,-0.1891425243502987,1.0514497609189837,15,27,48,0.08759905131682146
7825,1.267796396549144,-0.18608341103061693,1.054941946849288,57,63,74,0.20534189700173963
7824,1.2710398402709606,-0.18300537594325728,1.0547962124185877,17,27,47,0.3226209761356726
7823,1.1219540555070018,-0.2382975968327093,1.035329144425331,35,44,44,0.07247616588254284
7820,1.1244261404413547,-0.237554624344034,1.0374175411197895,35,45,44,0.029241461108694446
7819,1.1243684460848955,-0.23749486588668073,1.037375246869441,35,45,44,0.031520212970555996
7818,1.3180667012793086,-0.1639884002297562,1.0683007906227147,123,123,123,0.04828925815154958
7817,1.1253915307951246,-0.23677844411832855,1.038231809660486,35,45,44,0.018021376829520465
7816,1.1253915307951246,-0.23677844411832855,1.038231809660486,35,45,44,0.018021376829520465
7814,1.1228691857247208,-0.2378862896493743,1.0387037756995077,18,74,28,0.00682575740345688
7813,1.1258012610750445,-0.2359196563522596,1.0412276973567296,19,75,29,0.04418463192205753
7810,1.1318097637651352,-0.23559112854826866,1.0462245936565888,19,79,31,0.022740170036150746
7806,1.1464346988697094,-0.22693867974196585,1.0561765710235647,36,46,45,0.06021377009541138
7804,1.1447995953098093,-0.22716377535120202,1.057377300923894,18,74,28,0.005319998063837215
7803,1.1460612409706508,-0.226870202162754,1.0584413712236644,18,74,29,0.05712089499098523
7801,1.1448378621344235,-0.21937057789198522,1.0560759188024278,2,5,4,0.9333223003029113
7800,1.1482166559438596,-0.22575732350384292,1.0602912106464026,18,73,28,0.01980554297174149
7796,0.876506373154814,-0.6036448860993866,0.9057726210822301,61,65,75,1.4382552771071457
7795,1.0475867164956292,-0.27161488786538035,1.0126839524000275,43,47,55,0.16807586686032477
7794,1.1099906310536856,-0.22776103950021442,1.0258013926538927,0,0,0,0.7543621167214084
7793,1.109257795531633,-0.24339633723738055,1.0283964399943015,14,27,18,0.06878733931490486
7792,1.1313515375495673,-0.23329354859939727,1.0459269680567425,18,77,29,0.08806626241114417
7791,1.14181348133843,-0.2291559899281766,1.05482331137344,17,71,27,0.07343641019316202
7790,1.0821772199690498,-0.2517186181219729,1.0425324019444637,0,0,0,0.003319913700126117
7789,1.0465662063198726,-0.27140989470516386,0.9494709564386503,79,82,84,0.0950816027404448
7788,1.0375774482499565,-0.2763043916723602,0.9619839023849158,3,89,30,0.09611784449310007
7787,1.0375774482499565,-0.2763043916723602,0.9619839023849158,3,89,30,0.09611784449310007
7786,1.0294763129291422,-0.274983261319772,0.993304307521788,0,1,1,0.6376687388139745
7785,1.1029174027072548,-0.2495657902281911,1.0007899479760545,64,73,73,0.20914085826077503
7784,1.0593419855627497,-0.26831099657949714,0.9617621770651621,18,20,21,0.33679181891241855
7783,1.0711025411373183,-0.2612783313682478,0.9946791408525776,8,9,9,1.048084636640794
7782,1.2657818779721386,-0.19059822215679884,1.0001503221338153,122,122,122,0.18007583508086203
7781,1.0421049879427182,-0.310148807301734,0.6100529041770146,107,107,107,1.2746772530779649
7780,1.03818228059235,-0.29812900306529694,0.7496919134383678,6,19,43,1.1641673457460693
7779,1.1478925894975387,-0.23047588601161956,1.039246800659651,11,12,14,1.5343896916545925
7778,1.1325610455505086,-0.23244169653786323,1.045586041138106,3,6,5,0.11295275760864028
7777,1.0827174933860269,-0.25625703773814423,1.0020109643430313,39,48,48,0.07853129439415342
7776,1.0623471307524643,-0.26117532008742184,1.0256161673473796,43,47,55,0.11097345049549577
7775,1.2974003398500096,-0.18678910211069877,0.953651715064312,124,124,124,0.6581140114326569
