marker_id,entity_id,corner_idx,x_colmap,y_colmap,z_colmap,target_x_ref14_m,target_y_ref14_m,target_z_ref14_m,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,used_for_sim3,registered_x_ref14_m,registered_y_ref14_m,registered_z_ref14_m,corner_fit_error_cm
3,marker_003,2,4.691247947614039,0.5955620798196163,3.003127717378656,0.185,0.7099999999353924,0.31500000014562346,20,13,0.5185550426616466,0.3811696926548678,1.462001111298008,yes,1.8573965307674263,0.19930052192656156,1.0212908496706965,188.58872917235178
3,marker_003,3,4.357605751521266,0.5531094115569067,3.316894650213369,0.015,0.7099999999353924,0.31500000014562346,20,13,0.5606091255642575,0.48943180082427123,1.1819081265250355,yes,1.832658603431779,0.17261858171021305,0.9448702034857559,199.7347756485838
4,marker_004,0,4.280169269459347,-1.6038165253123504,1.3660376179931477,0.615,0.7099999996544007,1.6850000001456236,8,7,1.2502628009797436,1.1030214473023663,2.008102551221717,yes,1.4239331674146243,0.1903888910747672,1.290175357107186,103.93531989912006
4,marker_004,1,4.601555836314728,-1.5394879489940745,1.1829102241566485,0.7849999999999999,0.7099999996544007,1.6850000001456236,8,7,1.6453222332247017,1.9468097007195113,2.476528405536505,yes,1.4542225669352544,0.22242903933726088,1.343365380384303,89.57111693282891
4,marker_004,2,4.59144823311976,-1.2179333400968892,1.2910399025520043,0.7849999999999999,0.7099999996892684,1.5150000001456236,8,7,0.7045241638344556,0.5445320419633205,1.300049076181067,yes,1.5096971594059534,0.20402795995946021,1.3213538435186527,90.48162862237825
4,marker_004,3,4.279217653927293,-1.280253869470771,1.4775522540947572,0.615,0.7099999996892684,1.5150000001456236,8,7,1.371003506232126,1.4158624070786678,2.159002050026971,yes,1.4804828580524914,0.17347253241516603,1.268218155186018,104.77707667824765
5,marker_005,0,4.183686781301069,1.5187955634306096,-2.465500163894086,1.933100559368669,-1.3950000002657206,0.778290184204126,13,8,1.3165632875623556,1.1463406671392384,3.9420998406299885,yes,1.8590441205139405,-0.32010207020334086,1.9047252994092363,155.87642493191146
5,marker_005,1,4.05557842211419,1.6240153194959086,-2.6920623414467304,1.9331005588238015,-1.5650000002657205,0.7782901841692584,13,9,1.6133231237868668,0.9069990162011546,4.27934151627722,yes,1.8625461019305738,-0.3631006714432123,1.9331432676793812,166.83002045508272
5,marker_005,2,4.032069442284648,1.900620851116444,-2.5780791289276275,1.8668994406313308,-1.565000000021424,0.621709815188768,13,7,0.6520789829254097,0.6044111761747106,1.5032857884862492,yes,1.9096332330294934,-0.3797774759060333,1.9096043008539514,175.0785770701251
5,marker_005,3,4.168013181936187,1.806341084740797,-2.35105020525773,1.8668994411761983,-1.395000000021424,0.6217098152236356,13,7,0.6060564580582192,0.5780677625133571,0.892892903095825,yes,1.9085457684501552,-0.33636773461026115,1.8815604180905834,164.61045627447828
6,marker_006,0,5.393512943087241,0.20773569229249575,-0.6636308080282233,2.003100559368669,0.0849999996789014,1.0482901845076793,17,17,1.2943019292278088,0.9924880368534624,3.1838336234331446,yes,1.765581762789712,0.0868846646269481,1.6965647085669815,69.0419140258001
6,marker_006,1,5.302488583191904,0.32591645188001606,-0.8969973683068483,2.0031005588238013,-0.08500000032109861,1.0482901844728116,17,17,0.9535433060204478,0.8235188825805567,2.7284821504445915,yes,1.7738117326630503,0.04814070898905043,1.728638771292057,73.01876566094013
6,marker_006,2,5.395366413587455,0.6263865596806855,-0.7556022121960566,1.936899440631331,-0.085000000076802,0.8917098154923212,17,15,1.7925667714854283,1.5142507285315276,3.182717108135066,yes,1.833954761273411,0.04939978439864723,1.7084550897999167,83.41065592470433
6,marker_006,3,5.594501770765933,0.5472147892550384,-0.5089051347002516,1.9368994411761984,0.08499999992319801,0.8917098155271888,17,17,1.0739563712750786,0.6704146894569195,3.106624629759293,yes,1.8404182176085782,0.10271130102649384,1.6814013966648997,79.57607115255531
7,marker_007,0,5.905682974535547,-0.002742505494857078,-0.041519698507463815,2.003100559368669,0.5199999996789014,1.0482901845968993,17,14,1.0888079220012472,1.148536698720167,2.8232439600745023,yes,1.7807937610299875,0.22367340234972888,1.6291477265050105,68.89305109107985
