method,target_id,target_pattern,square_size_m,group,scenario,res320x240_pose_class,res320x240_detection_success,res320x240_cam1,res320x240_cam2,res320x240_baseline_error_cm,res320x240_rotation_error_deg,res640x480_pose_class,res640x480_detection_success,res640x480_cam1,res640x480_cam2,res640x480_baseline_error_cm,res640x480_rotation_error_deg,class_change,best_resolution_by_error,best_error_cm
charuco,target_charuco_current,,,height,height_0_8m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,pose_outlier,true,charuco/gray,charuco/gray,11.756,6.512,failure -> pose_outlier,,
charuco,target_charuco_current,,,height,height_1_0m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,7.168,6.634,failure -> valid,res640x480,7.168
charuco,target_charuco_current,,,height,height_1_2m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,8.621,5.134,failure -> valid,res640x480,8.621
charuco,target_charuco_current,,,height,height_1_4m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,7.329,3.760,failure -> valid,res640x480,7.329
charuco,target_charuco_current,,,mixed,close_1_4m_yaw_10deg,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,4.246,7.751,failure -> valid,res640x480,4.246
charuco,target_charuco_current,,,mixed,far_2_4m_yaw_20deg,failure,false,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,2.458,0.073,failure -> valid,res640x480,2.458
charuco,target_charuco_current,,,mixed,far_2_4m_yaw_30deg,failure,false,not_enough_charuco_corners/binary_80,not_enough_charuco_corners/adaptive,,,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,mixed,shift_left_0_2m_yaw_20deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/binary_60,,,valid,true,charuco/gray,charuco/gray,2.747,1.104,failure -> valid,res640x480,2.747
charuco,target_charuco_current,,,mixed,shift_right_0_2m_yaw_20deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,4.330,1.372,failure -> valid,res640x480,4.330
charuco,target_charuco_current,,,shift,shift_left_0_2m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,3.761,3.715,failure -> valid,res640x480,3.761
charuco,target_charuco_current,,,shift,shift_left_0_4m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,pose_outlier,true,charuco/gray,charuco/gray,11.960,5.274,failure -> pose_outlier,,
charuco,target_charuco_current,,,shift,shift_left_0_6m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,shift,shift_right_0_2m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,2.837,3.963,failure -> valid,res640x480,2.837
charuco,target_charuco_current,,,shift,shift_right_0_4m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,5.109,3.222,failure -> valid,res640x480,5.109
charuco,target_charuco_current,,,shift,shift_right_0_6m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,failure,false,not_enough_charuco_corners/gray,charuco/gray,,,same,,
charuco,target_charuco_current,,,yaw,yaw_0deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,7.168,6.634,failure -> valid,res640x480,7.168
charuco,target_charuco_current,,,yaw,yaw_10deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,pose_outlier,true,charuco/gray,charuco/gray,23.804,14.046,failure -> pose_outlier,,
charuco,target_charuco_current,,,yaw,yaw_20deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/normalized,,,pose_outlier,true,charuco/gray,charuco/gray,14.017,3.959,failure -> pose_outlier,,
charuco,target_charuco_current,,,yaw,yaw_30deg,failure,false,not_enough_charuco_corners/normalized,not_enough_charuco_corners/normalized,,,valid,true,charuco/gray,charuco/gray,0.582,1.092,failure -> valid,res640x480,0.582
charuco,target_charuco_current,,,yaw,yaw_35deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,yaw,yaw_40deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/binary_60,,,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,yaw,yaw_45deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/binary_80,,,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,yaw,yaw_50deg,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/adaptive,,,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,same,,
