frame_id,image_path,debug_image,detected_marker_count,detected_marker_ids,pnp_success_count,pnp_failure_count,median_pnp_reprojection_rmse_px
267,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000267.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000267.png,1,4,1,0,0.40403218865379603
268,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000268.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000268.png,1,4,1,0,0.5247583732995557
269,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000269.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000269.png,1,4,1,0,1.2116216664925152
270,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000270.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000270.png,1,4,1,0,0.45775883379604787
271,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000271.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000271.png,1,4,1,0,1.5706019680385266
272,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000272.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000272.png,1,4,1,0,2.7106869345417652
273,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000273.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000273.png,0,,0,0,
274,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000274.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000274.png,0,,0,0,
275,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000275.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000275.png,0,,0,0,
276,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000276.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000276.png,1,18,1,0,1.1091245655894746
277,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000277.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000277.png,1,18,1,0,0.7957731593009284
278,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000278.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000278.png,1,18,1,0,0.6686047642595248
279,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/raw_images/moving/frame_000279.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4317_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000279.png,2,18 20,2,0,0.9091204733925602
