marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
8,diag_13,1,3,0.30159075294037824,0.2404163056034262,0.797160732746187,yes,0.008496731054414508
9,side_01,0,1,0.22227358380639528,0.17,0.7648232286031497,yes,0.02384077308862287
9,side_12,1,2,0.22316204207381637,0.17,0.761778295359783,yes,0.0268857063319895
9,side_23,2,3,0.22089298128224227,0.17,0.7696034478469254,yes,0.019060553844847172
9,side_30,3,0,0.22328758082852299,0.17,0.7613500015056996,yes,0.027314000186072884
9,diag_02,0,2,0.31461712627542726,0.2404163056034262,0.7641551763236087,yes,0.02450882536816379
9,diag_13,1,3,0.31436233749718206,0.2404163056034262,0.7647745194844827,yes,0.023889482207289814
10,side_01,0,1,0.22432821371386724,0.17,0.7578181860656931,yes,0.030845815626079465
10,side_12,1,2,0.22268468474332087,0.17,0.7634112790286937,yes,0.025252722663078875
10,side_23,2,3,0.22316902159201188,0.17,0.761754471060893,yes,0.02690953063087953
10,side_30,3,0,0.2227043293973639,0.17,0.7633439388449188,yes,0.02532006284685373
10,diag_02,0,2,0.3186335331537268,0.2404163056034262,0.7545229255184381,yes,0.034141076173334395
10,diag_13,1,3,0.31270131297913095,0.2404163056034262,0.7688368920263251,yes,0.01982710966544743
11,side_01,0,1,0.22451400826942738,0.17,0.7571910604170052,yes,0.031472941274767297
11,side_12,1,2,0.2278408241596397,0.17,0.7461349414751381,yes,0.042529060216634385
11,side_23,2,3,0.22633449896426378,0.17,0.7511006973216289,yes,0.03756330437014366
11,side_30,3,0,0.22338896497461622,0.17,0.7610044659964166,yes,0.027659535695355952
11,diag_02,0,2,0.3198796928712928,0.2404163056034262,0.7515835201835097,yes,0.03708048150826282
11,diag_13,1,3,0.3179557191233441,0.2404163056034262,0.7561314080661712,yes,0.03253259362560135
12,side_01,0,1,0.21214291080071296,0.17,0.8013465986600797,yes,0.012682596968307203
12,side_12,1,2,0.21296536012185835,0.17,0.7982518842628977,yes,0.009587882571125195
12,side_23,2,3,0.20873254060441185,0.17,0.8144393754214997,yes,0.025775373729727158
12,side_30,3,0,0.2113542703185917,0.17,0.8043367174164261,yes,0.015672715724653563
12,diag_02,0,2,0.3043306733572253,0.2404163056034262,0.7899838125131212,yes,0.001319810821348688
12,diag_13,1,3,0.2931903057279389,0.2404163056034262,0.8200008694234131,yes,0.03133686773164057
13,side_01,0,1,0.22211578007966168,0.17,0.7653666026746484,yes,0.023297399017124132
13,side_12,1,2,0.21634978144772044,0.17,0.7857646024064945,yes,0.002899399285278048
13,side_23,2,3,0.22370446570106656,0.17,0.7599311862963383,yes,0.028732815395434264
13,side_30,3,0,0.22192086042640374,0.17,0.7660388467914111,yes,0.022625154900361433
13,diag_02,0,2,0.3199955406665387,0.2404163056034262,0.751311424848759,yes,0.03735257684301352
13,diag_13,1,3,0.3049266678125885,0.2404163056034262,0.7884397495570603,yes,0.00022425213471222172
14,side_01,0,1,0.21499145441390552,0.17,0.790729103458749,yes,0.002065101766976496
