variant,method,status,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,baseline_error_cm,direction_error_deg,gt_baseline_m,est_baseline_m,available_cameras,missing_cameras,source,failure_reason,note,est_pitch_deg,est_roll_deg,est_rvec_x,est_rvec_y,est_rvec_z,est_tx_m,est_ty_m,est_tz_m,est_yaw_deg,gt_pitch_deg,gt_roll_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,gt_tx_m,gt_ty_m,gt_tz_m,gt_yaw_deg
moving_res_1280x720_baseline,AP02,OK,cam1-cam5,cam_edge_1,cam_edge_5,28.545656749545927,1.0734429987227094,24.05681835988993,0.8845562929557859,9.833844654272019,10.074412837870918,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,44.57808938675254,134.28277184317656,0.05150753048906489,2.1756810139811633,0.716812518876301,-4.1807576617538675,-2.445836290215186,8.833625769920928,157.67957498718968,43.91477015093176,133.3021054862451,0.07074491249427345,2.174340618010422,0.7301083985994897,-3.9715362540357773,-2.4903976924727136,8.64461218335215,156.5275178587406
moving_res_1280x720_baseline,AP02,OK,cam3-cam5,cam_edge_3,cam_edge_5,25.29326822722856,1.1747575361266822,17.5515559462605,1.1133326275797115,9.285515073252315,9.46103063271492,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-7.096904441038899,142.18427142093023,-0.1355469826106087,-2.8726955000123446,-0.9891455914699515,2.80798524598159,-3.080142537453183,8.49347051802096,177.03069928435707,-7.866545909544565,141.70501809791045,-0.15963022206593686,-2.858939487432395,-0.9996874983186074,2.8983748134908356,-3.1018777282117975,8.2582424386392,176.3434827013253
moving_res_1280x720_baseline,AP03,OK,cam0-cam1,cam_edge_0,cam_edge_1,9.196236421942011,0.9201607786496367,9.056929421917648,0.17864850114194386,5.069131069576643,5.159700363795819,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,56.78049210789217,117.05294053137602,0.06367949071967711,1.8780098703254984,0.6908752815786318,-4.671152936531973,-1.0137967969188395,1.9429498558224656,139.5010899831992,57.450670973219815,115.90214977992046,0.059735247464964704,1.862313170365479,0.6890226811483594,-4.590674262084118,-0.9808404021811512,1.913047758273379,138.4497834938831
moving_res_1280x720_baseline,AP03,OK,cam0-cam3,cam_edge_0,cam_edge_3,4.7664352275854895,1.094253109554302,4.635014813951077,0.16575440737170208,3.8191529186563207,3.8655030667958314,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,51.26192690655727,22.46674992921543,0.06331296698594806,0.9601509522696831,0.4273284296274445,-3.8633848060596074,-0.10622666892159449,0.07132807669894237,37.42971815796347,50.53923196926396,21.20580374270508,0.05780068377927822,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
moving_res_1280x720_baseline,AP03,OK,cam0-cam5,cam_edge_0,cam_edge_5,9.855982803083975,0.8458037937065594,9.690483476667122,0.180280824358997,5.667927964501032,5.764832799267703,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,-59.22849067382963,119.54233457460151,0.002543261166014225,-1.8783163420103712,-0.6658805396755552,5.329464087689484,-0.7865526120221946,2.0521804818440943,-143.19464796081087,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
moving_res_1280x720_baseline,AP03,OK,cam1-cam3,cam_edge_1,cam_edge_3,7.751765257190595,0.29898230528998504,5.921620304301323,1.3018950351016811,2.172182679705039,2.2313988827480524,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,-52.10329522154772,4.85720057116675,-0.07229642566614189,-0.9123221421032763,-0.2693528485351486,1.5521513928425381,-0.3792058970799628,1.557616742092228,-18.978919867895247,-52.158716168945,5.145378882018552,-0.07152290562849602,-0.9138098031455153,-0.27444766234862317,1.544386529831069,-0.3757221990345856,1.4805676849234315,-19.440987313922378
moving_res_1280x720_baseline,AP03,OK,cam1-cam5,cam_edge_1,cam_edge_5,23.071361454236765,0.795992165760547,16.995023138904486,0.9013513232429204,9.833844654272019,10.003794885661064,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,44.53697107258569,133.79228025753594,0.056133347553811906,2.171680397625881,0.7219211970384377,-4.176722794616276,-2.470074167829202,8.74812165077362,157.22026371122283,43.91477015093176,133.3021054862451,0.07074491249427345,2.174340618010422,0.7301083985994897,-3.9715362540357773,-2.4903976924727136,8.64461218335215,156.5275178587406
moving_res_1280x720_baseline,AP03,OK,cam3-cam5,cam_edge_3,cam_edge_5,23.730537127483164,0.696792765420478,14.290422285076865,1.1601330049872542,9.285515073252315,9.428419296103083,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,,-7.236625462464804,141.70732880785772,-0.1471573537031217,-2.8680880757000717,-1.0017254784435958,2.764236533105519,-3.1360451440434436,8.450994477970937,176.64103139688967,-7.866545909544565,141.70501809791045,-0.15963022206593686,-2.858939487432395,-0.9996874983186074,2.8983748134908356,-3.1018777282117975,8.2582424386392,176.3434827013253
moving_res_160x90_extreme_pixel,AP01,MISSING_CAMERA,cam0-cam1,cam_edge_0,cam_edge_1,,,,,5.069131069576643,,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,missing cam_edge_0,,,,,,,,,,57.450670973219815,115.90214977992046,0.059735247464964704,1.862313170365479,0.6890226811483594,-4.590674262084118,-0.9808404021811512,1.913047758273379,138.4497834938831
moving_res_160x90_extreme_pixel,AP01,MISSING_CAMERA,cam0-cam3,cam_edge_0,cam_edge_3,,,,,3.8191529186563207,,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,missing cam_edge_0,,,,,,,,,,50.53923196926396,21.20580374270508,0.05780068377927822,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
