mode,root_camera,target_camera,root_marker,target_marker,root_frame,target_frame,quality,root_area_px2,target_area_px2,root_distance_m,target_distance_m,root_support_key,target_support_key,translation_deviation_m,rotation_deviation_deg,inlier,pose_support,x_m,y_m,z_m,support_keys
relay,cam_edge_1,cam_edge_0,2,4,110,129,0.6791441849881173,,,,,,,0.06621429078873817,2.2116616866108596,True,True,0.22122674651205498,-1.3270095851025356,4.811985871193556,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,110,130,0.678522309717187,,,,,,,0.059203491809607156,2.1245459470888175,True,True,0.20984148173727346,-1.3400672160450664,4.819760875002675,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,110,131,0.678232543447492,,,,,,,0.05224300314136335,1.8551839687213343,True,True,0.2098627792920318,-1.3464065924327786,4.833521052932621,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,110,132,0.6794241423346961,,,,,,,0.05107193244804917,1.6677398009742388,True,True,0.20732187993372486,-1.3551726174416459,4.845162321980068,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,110,133,0.686209040781491,,,,,,,0.03788103573122831,1.5648177782789978,True,True,0.21765959106240718,-1.3258655544201425,4.846248345327458,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,110,134,0.6822980966680356,,,,,,,0.06512133601118908,2.2100605801694813,True,True,0.21245908219033804,-1.348545577491362,4.818760299864914,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,37,0.6739756911528165,,,,,,,0.0872520976154354,0.38854587906703286,True,True,0.17497624486723473,-1.3177794638553757,4.954504309204241,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,128,0.6665784855362104,,,,,,,0.02534458183377395,0.44713926135017146,True,True,0.20329160776423183,-1.2931774544495855,4.87593597298027,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,129,0.6731200589098056,,,,,,,0.0359819987096683,1.2083360391947218,True,True,0.20973153144813605,-1.296487859675362,4.843878063265143,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,130,0.6725036997798066,,,,,,,0.019192700023889363,1.1916498535931832,True,True,0.1982646683707312,-1.3093297720802384,4.851888868530817,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,131,0.6722165037869107,,,,,,,0.009043305512124653,0.9115002932802017,True,True,0.19815021171126268,-1.3152997074837383,4.865812855538347,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,132,0.6733975329864255,,,,,,,0.014914463961904885,0.9027072082525889,True,True,0.19549263489205526,-1.3237511618351685,4.877658897655268,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,133,0.6801222482135515,,,,,,,0.026537548211705633,0.6319249169014483,True,True,0.20583620145883597,-1.2944288179618517,4.878061937964728,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,111,134,0.6762459948490497,,,,,,,0.021199981319487842,1.2394403195923382,True,True,0.20088690628927097,-1.3178326401131963,4.851140070116766,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,37,0.6860798766954725,,,,,,,0.0850537919860911,1.8734403896248932,True,True,0.14531241422368257,-1.3236417501732702,4.940398224880574,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,128,0.6785498218523203,,,,,,,0.021136818598654378,1.5842480542899957,True,True,0.1759606234927667,-1.2984087110047433,4.862912851404593,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,129,0.6852088778278763,,,,,,,0.039896038352691156,0.8288145085678162,True,True,0.18345720126507015,-1.3014992766391353,4.831063350609762,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,130,0.6845814492700502,,,,,,,0.03497624413092959,0.738481037031326,True,True,0.17183614775998068,-1.3144691885186113,4.838633632330115,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,131,0.6842890954151857,,,,,,,0.025538326353360966,1.0903089177621927,True,True,0.1713178610907249,-1.3205142549851907,4.852515966196501,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,132,0.685491335166876,,,,,,,0.026941295924897572,1.369667266089237,True,True,0.16834389296377206,-1.3290486119573819,4.864226592725053,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,133,0.6923368221101027,,,,,,,0.018119929726971514,1.442785816300982,True,True,0.17844474508218222,-1.2996523913383022,4.865113531749966,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,113,134,0.6883909536384832,,,,,,,0.03559998690457621,0.7130981779975151,True,True,0.17454607368437958,-1.32294809992747,4.837926554995445,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,37,0.6880366081319866,,,,,,,0.08222009176447066,0.567937250622485,True,True,0.17462027734059538,-1.3186583610504583,4.94926709460972,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,128,0.6804850772252873,,,,,,,0.024250098765850586,0.4575228449183005,True,True,0.20352477709263228,-1.293510483634793,4.871087069952745,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,129,0.6871631251354671,,,,,,,0.03966284302117592,0.7699230889677586,True,True,0.21028046698626912,-1.296626317485123,4.839074678467653,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,130,0.6865339071224696,,,,,,,0.023819042802360958,0.6018326849678448,True,True,0.19881216362769005,-1.3095714657900557,4.8469154576058475,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,131,0.6862407194609337,,,,,,,0.012005354394164131,0.2483454485064289,True,True,0.19860206594875873,-1.3156107387667348,4.860808394088577,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,132,0.6874463880558188,,,,,,,0.013013720653160647,0.34024832122852305,True,True,0.19588224078321403,-1.3241353726300458,4.87258768428814,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,133,0.6943113986433835,,,,,,,0.025124568938969964,0.4072380297536514,True,True,0.20605652865597168,-1.2947581307357814,4.873230479749894,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,4,114,134,0.6903542763729791,,,,,,,0.02578231011235522,0.6350163570202174,True,True,0.20148902260833668,-1.3180557647544595,4.846149498969521,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,7,103,127,0.6230551955868646,,,,,,,0.061960674481470815,2.267214678695643,True,True,0.10892542014647916,-1.5106914675589014,5.085300055506668,"[None, None, None, None]"
