canonical_camera,physical_camera,source_topic,frame_index,timestamp_ns,width,height,marker_count,marker_ids,marker_total_area_px2,sharpness,candidate_preview
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,44,1783681581585480529,1280,720,3,15 16 19,14354.5,141.38850041473756,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0044_t1783681581585480529.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,45,1783681581652829324,1280,720,3,15 16 19,14354.5,141.01982411836218,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0045_t1783681581652829324.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,46,1783681581719815601,1280,720,3,15 16 19,14323.5,140.29793618518215,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0046_t1783681581719815601.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,47,1783681581786668985,1280,720,3,15 16 19,14348.5,141.41862195837234,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0047_t1783681581786668985.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,48,1783681581854023173,1280,720,3,15 16 19,14359.0,140.98094935432601,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0048_t1783681581854023173.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,49,1783681581921722964,1280,720,3,15 16 19,14308.5,140.83109697544313,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0049_t1783681581921722964.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,50,1783681581988461450,1280,720,3,15 16 19,14378.0,140.64188583795993,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0050_t1783681581988461450.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,51,1783681582056663110,1280,720,3,15 16 19,14378.0,140.27668185186974,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0051_t1783681582056663110.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,52,1783681582122552954,1280,720,3,15 16 19,14347.0,141.075816970824,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0052_t1783681582122552954.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,53,1783681582192995717,1280,720,3,15 16 19,14323.5,140.98848734650323,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0053_t1783681582192995717.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,54,1783681582259513931,1280,720,3,15 16 19,14354.5,140.6194346022605,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0054_t1783681582259513931.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,55,1783681582322246173,1280,720,3,15 16 19,14319.0,140.68989908043076,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0055_t1783681582322246173.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,56,1783681582391272047,1280,720,3,15 16 19,14347.0,139.61291448379325,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0056_t1783681582391272047.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,57,1783681582449057147,1280,720,3,15 16 19,14382.5,140.136146905912,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0057_t1783681582449057147.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,58,1783681582515464177,1280,720,3,15 16 19,14347.0,140.37435756051804,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0058_t1783681582515464177.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,59,1783681582583303526,1280,720,3,15 16 19,14382.5,140.15482962134914,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0059_t1783681582583303526.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,60,1783681582658754811,1280,720,3,15 16 19,14347.0,139.4812358612614,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0060_t1783681582658754811.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,61,1783681582725647549,1280,720,3,15 16 19,14354.5,139.95986651746844,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0061_t1783681582725647549.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,62,1783681582795489537,1280,720,3,15 16 19,14347.0,140.06850471093446,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0062_t1783681582795489537.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,63,1783681582862544824,1280,720,3,15 16 19,14359.0,140.11564886756707,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0063_t1783681582862544824.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,64,1783681582928699348,1280,720,3,15 16 19,14348.5,139.23569768946967,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0064_t1783681582928699348.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,65,1783681582997993267,1280,720,3,15 16 19,14347.0,139.29595702333324,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0065_t1783681582997993267.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,66,1783681583064248123,1280,720,3,15 16 19,14313.0,139.8513844884755,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0066_t1783681583064248123.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,67,1783681583131903714,1280,720,3,15 16 19,14382.5,139.42414278140598,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0067_t1783681583131903714.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,68,1783681583265877367,1280,720,3,15 16 19,14347.0,139.3957376213497,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0068_t1783681583265877367.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,69,1783681583332805005,1280,720,3,15 16 19,14359.0,139.14575601186758,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0069_t1783681583332805005.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,70,1783681583399813349,1280,720,3,15 16 19,14319.0,139.44671440764535,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0070_t1783681583399813349.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,71,1783681583468105179,1280,720,3,15 16 19,14323.5,138.71850575691388,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0071_t1783681583468105179.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,72,1783681583534722817,1280,720,3,15 16 19,14359.0,138.90601670907924,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0072_t1783681583534722817.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,73,1783681583602051045,1280,720,3,15 16 19,14354.5,138.9502072438829,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0073_t1783681583602051045.jpg
