frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
62,3,-1.3173913043478263,0.0,2.2,0.0,0.7913043478260869,-5.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0062.png,True
63,3,-1.308695652173913,0.0,2.2,0.0,0.7956521739130435,-5.699999999999999,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0063.png,True
64,4,-1.3,0.0,2.2,0.0,0.8,-5.8,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0064.png,True
65,4,-1.2,0.0,2.2,0.0,0.7833333333333333,-5.7,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0065.png,True
66,4,-1.1,0.0,2.2,0.0,0.7666666666666667,-5.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0066.png,True
67,4,-1.0,0.0,2.2,0.0,0.75,-5.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0067.png,True
68,4,-0.9,0.0,2.2,0.0,0.7333333333333333,-5.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0068.png,True
69,4,-0.7999999999999999,0.0,2.2,0.0,0.7166666666666667,-5.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0069.png,True
70,5,-0.7,0.0,2.2,0.0,0.7,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0070.png,True
71,5,-0.6222222222222222,0.0,2.2,0.0,0.6444444444444444,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0071.png,True
72,5,-0.5444444444444444,0.0,2.2,0.0,0.5888888888888889,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0072.png,True
73,5,-0.4666666666666667,0.0,2.2,0.0,0.5333333333333333,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0073.png,True
74,5,-0.3888888888888889,0.0,2.2,0.0,0.47777777777777775,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0074.png,True
75,5,-0.31111111111111106,0.0,2.2,0.0,0.4222222222222222,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0075.png,True
76,5,-0.23333333333333334,0.0,2.2,0.0,0.3666666666666667,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0076.png,True
77,5,-0.15555555555555556,0.0,2.2,0.0,0.3111111111111111,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0077.png,True
78,5,-0.07777777777777783,0.0,2.2,0.0,0.2555555555555556,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0078.png,True
79,6,0.0,0.0,2.2,0.0,0.2,-5.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0079.png,True
80,6,0.08333333333333333,0.0,2.2,0.0,0.23333333333333334,-5.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0080.png,True
81,6,0.16666666666666666,0.0,2.2,0.0,0.26666666666666666,-5.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0081.png,True
82,6,0.25,0.0,2.2,0.0,0.30000000000000004,-5.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0082.png,True
