point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
3467,0.812196775837347,0.14381842714911514,1.142631294867892,19,28,48,0.08621922534929405
1110,2.7704658200211,-0.953046339600012,0.9444191670931161,0,0,0,0.46273228633431673
8553,-0.1472673764151633,0.025876203645080753,0.8302223665047248,67,71,82,1.2838892166716587
3466,1.2371732452220072,0.21673467652793826,0.47754009439642087,0,0,0,0.1721491230784187
3465,0.7876040346550595,0.15030810625061858,0.9313017584130288,123,123,123,0.17466588382533882
1108,2.8254543046275433,-0.9721704142726584,0.9404726933187858,231,231,231,1.0487549516662327
3464,0.7876040346550595,0.15030810625061858,0.9313017584130288,123,123,123,0.17466588382533882
3463,0.7920347400917549,0.149604255468284,0.9416903426645395,124,124,124,0.11298793975551312
1106,2.818719507468434,-0.9694227502211981,0.9653062489188544,231,231,231,1.065432971462566
3462,0.7939586383958485,0.14930459333842788,0.941964802120508,121,121,122,0.1363251332471491
6192,-0.03855499159166165,-0.1377176883894688,0.8443441397627197,0,0,0,0.418801655165978
1105,2.818719507468434,-0.9694227502211981,0.9653062489188544,231,231,231,1.065432971462566
3461,0.7988981205820638,0.14951516720007546,0.9435979330578323,123,123,123,0.22201613888990984
3460,0.8029762705819388,0.14909343892053123,0.9439986323750167,123,123,123,0.13529613189478817
1103,2.2963283021040546,-1.0238839669641306,0.8543653803889961,130,130,130,0.3340918486017597
3459,0.788477953544727,0.14935582686565357,0.962245045070065,111,117,123,0.08703064179617512
1102,2.3582191311314697,-0.9392544793100499,0.9893099344457641,79,83,96,1.4617346716638318
8544,-0.18522667183731123,-0.5903259845414317,0.8227351747067422,92,97,112,0.5410781794307632
3457,0.79623843442115,0.14897211210224331,0.9625729705170014,112,118,124,0.140191754754123
6187,-0.04182105417463933,-0.15256475794987945,0.8391388476915126,0,0,0,1.1905698350645328
1100,2.416168586710975,-1.0942477897260539,1.013089220536069,231,231,231,1.8227036446981077
8543,-0.185226671837315,-0.5903259845414324,0.8227351747067403,92,97,112,0.5410781794307435
3456,0.7883224100709825,0.1491164812936832,0.9648634075498665,110,116,122,0.09661543972967546
1099,2.691707542041211,-0.8721329126888417,0.9860187993090426,59,62,72,1.6965713614758289
8542,-0.1832505633106365,-0.23150329726349186,0.8265696424010298,94,99,114,0.6788257303234354
3455,0.81748082453786,0.14717224672679524,0.9672859246551608,124,124,124,0.08628136741739405
1098,2.6941630535885137,-1.152633942123773,0.9763371153627565,59,62,72,1.7795651067218496
8541,-0.1832505633106365,-0.23150329726349186,0.8265696424010298,94,99,114,0.6788257303234354
3454,0.7887531474910864,0.149107594718145,0.9756867202409314,25,33,51,0.08681849816673992
1097,2.3009328370458295,-1.0408163045246905,0.8696062824210496,0,0,0,0.4439537504572451
3453,0.7887531474910864,0.149107594718145,0.9756867202409314,25,33,51,0.08681849816673992
1096,2.3005124407686397,-1.040375291436123,0.8699442195140804,0,0,0,0.5976962783359623
3452,0.8204911534060477,0.1477817331565789,0.9763787441539085,12,26,45,0.5553324019038668
1095,2.3065389250930606,-0.9850483644132724,0.9044414236502928,0,0,0,0.2245891765302496
3451,0.9303489912526923,0.14223589308466383,0.9798068381209467,13,28,46,0.06935375450210958
1094,2.310031190892106,-1.0718849474307597,0.8964321845019555,0,0,0,0.542984610194681
3450,0.926712594820556,0.1421344738028812,0.9806902658812648,123,123,123,0.18352293623044938
1093,2.310031190892106,-1.0718849474307597,0.8964321845019555,0,0,0,0.542984610194681
3449,0.7865124426520547,0.14745187906435991,1.0308198811904146,85,89,96,0.13135898352040634
1092,2.583296933581291,-1.192191954154894,0.9576209842802936,8,8,8,0.3434360703601733
3448,0.7881085452176952,0.14753136773322478,1.03151750156564,123,123,124,0.04120483176446085
1091,2.583296933581291,-1.192191954154894,0.9576209842802936,8,8,8,0.3434360703601733
8534,-0.03145027430076763,-0.1939816286089477,0.8423616958846502,0,0,0,1.0035450605252996
3447,0.8169202859676676,0.1459602082977443,1.0323371972884017,88,91,97,0.08862780077933953
8533,-0.15864964910004908,-0.22750954090826522,0.8298211665735563,0,0,0,2.330348255437789
3446,0.8169202859676676,0.1459602082977443,1.0323371972884017,88,91,97,0.08862780077933953
3445,0.7881066623241357,0.14697690470102592,1.0422738043468451,27,34,51,0.09451664635789377
3444,0.7897704037280027,0.14694960946550567,1.0433810199402132,123,123,123,0.036088214888149554
3443,0.8242578185044184,0.145838147854849,1.0430876146607155,44,49,62,0.12275196885908154
8529,-3.144493294590269,0.3454356141547615,-0.5482862326909723,99,105,120,1.246718538033711
3442,0.8242578185044184,0.145838147854849,1.0430876146607155,44,49,62,0.12275196885908154
8528,-0.0401580392620986,-0.017134263866678046,0.7570605436789238,108,113,130,0.5196630159044013
3441,0.9005830330790143,0.1412739643210969,1.0435717824707238,124,124,124,0.14373412264439367
3440,0.9119711120753895,0.14168086823051101,1.0436332349931425,122,122,122,0.10564186393762424
1083,2.3366114565122382,-1.1044760799949158,0.9983164565855376,113,119,136,0.6581336481479361
3439,0.9050649926995296,0.1420548310684437,1.0475684228400108,19,29,48,0.04447694542362538
6169,-0.03632697045883426,-0.14843583943216893,0.832452761298895,0,0,0,0.21917434044489353
1082,2.3366114565122382,-1.1044760799949158,0.9983164565855376,113,119,136,0.6581336481479361
3437,0.917888044010051,0.1415795758629827,1.048147528285244,24,31,50,0.04116220458418262
8523,2.3728610205783274,-0.21114583737497444,1.0638972351753975,0,0,0,0.16088665400856375
3436,0.9103414045144458,0.14328294097554578,1.047785237551265,23,31,50,0.08774024275718763
3435,0.7856933333149274,0.1463219116364604,1.061614140435901,14,25,46,0.08094104296368788
8521,2.3721570542925896,-0.21129272621837017,1.0642961793551822,0,0,0,0.26379194339509665
3434,0.8084962052413511,0.1454450647724928,1.0602717385733815,123,123,123,0.14619275664365258
3433,0.7841499313222874,0.14721277391764126,1.062614750280966,112,118,124,0.18827069545679834
3431,0.8092828159759653,0.14573685897139482,1.0618097659731947,14,30,46,0.16282582177284205
3430,0.7992589418351748,0.14807207385047655,1.062302653733614,124,124,124,0.005090259135902698
8515,-0.03770181234433578,-0.14682206332761832,0.8332472833729059,0,0,0,0.32957813833224364
3428,0.8128275499826096,0.14619226601362884,1.062905261304374,123,123,124,0.1135695432419126
1071,2.347408909261276,-1.0657165016900485,1.0378241760985323,106,111,127,0.6483053888286243
3426,0.7930884678356608,0.14537938155985614,1.0738188921540253,110,116,122,0.07091266318704484
8509,-0.041305699230158366,-0.13649284533624706,0.8427459212289731,0,0,0,0.35813483962739884
3422,0.9234374782360946,0.14065539181875858,1.0668309182193851,9,22,45,0.06407765618595367
1065,2.3055350594570383,-1.0158503874084095,0.8882119105233147,130,130,130,0.12270311376636059
3421,0.7951741199327915,0.14600595029869595,1.0758451428819222,12,89,38,0.04230816104693265
1064,2.3462215114723723,-0.7180272982438719,1.0148139828838638,114,120,138,0.2342751668272855
8507,-0.18206027968515182,-0.22608728747481885,0.8306974927630998,92,97,111,1.4019637202808253
3420,0.7849582046890111,0.1462039714542253,1.0780828437787482,11,23,45,0.0580147743514901
1063,2.3500254448623608,-0.7190525191874534,1.0124928667043056,114,120,138,0.3910807896097057
8506,-0.16792903688826888,0.02777479283615958,0.8388298157872501,92,97,111,0.7004903143608591
3419,0.7934083935943466,0.14579073794702452,1.0783213095110544,12,90,38,0.13232259803953667
1062,2.706756660745863,-0.38376635908750556,0.9855800546922366,108,113,130,0.3298896735546291
8505,-0.0482495048384064,0.004183705583155672,0.763698166017145,100,105,121,0.7412590762740683
3418,0.7934032955780512,0.14594480935457127,1.0782476358814814,12,90,38,0.13679691419829404
1061,2.7139391821018632,-0.3841337537678345,0.9880546534850003,85,79,76,0.2961717101930957
3417,0.7912136152197217,0.1463393938733601,1.0794182686972957,9,21,44,0.14136464312299976
1060,2.641361981747652,-0.6842632905470516,0.9805629427674353,110,116,133,0.6049012270368123
8503,-0.4197036046321623,-0.5743366847305544,0.7512510597221433,70,74,85,1.7138332976509034
3416,1.0277280373697943,0.13694269260311448,1.0664108069381146,122,122,122,0.0007463836655213612
1059,2.700543376182824,-0.7482961076355006,0.9833827765257505,59,62,72,0.8105985912150961
8502,-3.0958697527815873,0.3081125115087558,-0.719107004044715,120,126,144,1.2579347299783796
3415,0.8100032490592848,0.14510179309711974,1.0823880294076926,124,124,124,0.06975728656979989
1058,2.815286181880229,-0.9629290185821804,0.9729351397221477,231,231,231,1.2775487170133626
3414,0.7871790514389141,0.1456913734237732,1.0855994969450777,112,119,113,0.07011616880887032
1057,2.8152861818802286,-0.9629290185821802,0.972935139722148,231,231,231,1.2775487170132895
8500,-0.029778165448354876,0.19553664500838658,0.7707494598541513,5,5,5,0.903424808764414
3413,0.7871790514389141,0.1456913734237732,1.0855994969450777,112,119,113,0.07011616880887032
8499,-0.5704495561435454,-0.5647256080837784,0.6216245001717764,84,88,102,1.2406786852685743
3412,0.8113142106808507,0.14524917071604143,1.0840827930319656,11,25,44,0.11323757126353759
3410,0.7921504179934602,0.14551572590288692,1.0858039724750066,107,117,109,0.09624584455206765
3409,1.0664113954131973,0.13518428283797285,1.070942422027674,14,26,46,0.02740248638203541
3408,1.041979418485011,0.13614906353365747,1.0816583131829118,119,119,120,0.09292649558895955
3407,0.9328656515680995,0.14094297843947928,1.0880520079615827,20,29,49,0.03668768382866708
