residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
65302,solver_residual_call,,,1310.8778727249883,4566.798990155756,5.619658548017499,3.771694289401691,51.121179517587144,4.2834061760038046e-08
65303,solver_residual_call,,,1310.8968279429973,4566.798983950085,5.619658547654273,3.771694288760857,51.121179517587144,2.7846465306238577e-08
65304,solver_residual_call,,,1310.9161031099939,4566.79898184075,5.619658550684024,3.771694261474296,51.121179517587144,2.8053243380237045e-08
65305,solver_residual_call,,,1310.9364290789963,4566.798987405864,5.619658548327854,3.771694285178622,51.121179517587144,3.138348886496653e-08
65306,solver_residual_call,,,1310.9581690269988,4566.798980492469,5.619658548065567,3.771694269991884,51.121179517587144,5.5301516236871836e-08
65307,solver_residual_call,,,1310.9786292889912,4566.798988645653,5.6196585513521065,3.7716943283927016,51.121179517587144,5.98452451426221e-08
65308,solver_residual_call,,,1310.997873618995,4566.798984883615,5.619658550289675,3.7716942684322947,51.121179517587144,3.430017883477021e-08
65309,solver_residual_call,,,1311.0173027919955,4566.798980697763,5.619658549104945,3.771694282313003,51.121179517587144,2.1073424255447017e-08
65310,solver_residual_call,,,1311.0365021119942,4566.798983626118,5.619658549933925,3.7716942681595365,51.121179517587144,2.451247165860805e-08
65311,solver_residual_call,,,1311.0559079939994,4566.798983948128,5.619658550024441,3.771694288746361,51.121179517587144,8.938665522997242e-08
65312,solver_residual_call,,,1311.0752246809861,4566.798979811688,5.6196585488549635,3.7716942617802145,51.121179517587144,1.0818199817765808e-07
65313,solver_residual_call,,,1311.0944157119957,4566.799013380428,5.619658253139989,3.7716942663459916,51.121179517587144,6.925796200897223e-08
65314,solver_residual_call,,,1311.113543524989,4566.798989258665,5.619658519440285,3.771694281139432,51.121179517587144,3.0438834540162346e-08
65315,solver_residual_call,,,1311.132690241997,4566.798975697362,5.61965863598861,3.771694267405707,51.121179517587144,2.5077671283021593e-08
65316,solver_residual_call,,,1311.152053339989,4566.7989824781125,5.619658549119203,3.771694275985597,51.121179517587144,3.6090525912217876e-08
65317,solver_residual_call,,,1311.171133094991,4566.798984299092,5.619658484506665,3.7716942655086045,51.121179517587144,6.180984136395576e-08
65318,solver_residual_call,,,1311.190211270994,4566.798973443647,5.619658646346718,3.771694272140386,51.121179517587144,6.366964133592559e-08
65319,solver_residual_call,,,1311.2093288679898,4566.799004760194,5.619658455036583,3.7716942527509274,51.121179517587144,4.218575889547317e-08
65320,solver_residual_call,,,1311.228425053996,4566.798990357417,5.619658580440711,3.771694272272765,51.121179517587144,2.9540396942793148e-08
65321,solver_residual_call,,,1311.2475532339886,4566.798970514234,5.619658507582467,3.771694278726205,51.121179517587144,2.4478909221237814e-08
65322,solver_residual_call,,,1311.2669267259917,4566.798984593397,5.6196585750373105,3.771694273696904,51.121179517587144,3.286039718058561e-08
65323,solver_residual_call,,,1311.286036682999,4566.798980384921,5.619658506155691,3.7716942727371405,51.121179517587144,6.375597146135566e-08
65324,solver_residual_call,,,1311.3051412349887,4566.7989731540965,5.619658562835693,3.7716942810922705,51.121179517587144,6.732445253305106e-08
65325,solver_residual_call,,,1311.3244042779988,4566.7990934963045,5.619658946539424,3.7716942978511225,51.121230215152536,5.157312821053541e-08
65326,solver_residual_call,,,1311.3433584009908,4566.798983469857,5.619658600314526,3.7716942704019867,51.12118471301595,4.136956411810788e-08
65327,solver_residual_call,,,1311.3625429959939,4566.799008310423,5.619658408675968,3.7716942862880387,51.121171674088274,2.344247432893916e-08
65328,solver_residual_call,,,1311.381726099993,4566.798972750525,5.619658620113757,3.771694267501493,51.12118436764927,3.892101355636018e-08
65329,solver_residual_call,,,1311.4009297829907,4566.799000191853,5.619658601459928,3.771694277881028,51.121186555731086,4.611312775340862e-08
65330,solver_residual_call,,,1311.420178839995,4566.798974480334,5.6196583965552405,3.7716942789106884,51.12116629234009,8.173424148894752e-08
65331,solver_residual_call,,,1311.4397292779904,4566.799015240893,5.619658528570321,3.7716942510994715,51.121179517587144,7.961159783208375e-08
65332,solver_residual_call,,,1311.4596136669861,4566.798995870313,5.619658560780714,3.771694276718616,51.121179517587144,2.8611975381204194e-08
65333,solver_residual_call,,,1311.4794446109881,4566.798965394878,5.6196585332617035,3.7716942675825202,51.121179517587144,2.3735530111128738e-08
65334,solver_residual_call,,,1311.4994326799933,4566.798985859176,5.619658557556652,3.7716942756329113,51.121179517587144,3.152743374269781e-08
65335,solver_residual_call,,,1311.5189333939925,4566.798979255643,5.6196585355302515,3.7716942708316137,51.121179517587144,7.122466378136293e-08
65336,solver_residual_call,,,1311.5381224579905,4566.798969429411,5.6196585513935275,3.7716942779131926,51.121179517587144,7.563376254658561e-08
65337,solver_residual_call,,,1311.5573536059965,4566.799017212071,5.619658559427661,3.7716944159545402,51.121179517587144,4.9453298577196945e-08
65338,solver_residual_call,,,1311.5764554469934,4566.798985975787,5.619658550601717,3.7716942871058228,51.121179517587144,3.6979882980296005e-08
65339,solver_residual_call,,,1311.596028931992,4566.798983402461,5.619658549860619,3.7716942691783206,51.121179517587144,2.3885425202496022e-08
65340,solver_residual_call,,,1311.6152315009967,4566.798982100764,5.619658549505647,3.771694270198807,51.121179517587144,3.150441876938535e-08
65341,solver_residual_call,,,1311.6342807219917,4566.798989568842,5.619658551612634,3.771694298391347,51.121179517587144,5.158514261288334e-08
65342,solver_residual_call,,,1311.6534542489971,4566.798971157075,5.619658546401847,3.771694218352181,51.121179517587144,8.333618734607219e-08
65343,solver_residual_call,,,1311.6726142179978,4566.79901145938,5.619658557805431,3.771694424256269,51.121179517587144,7.733891544482024e-08
65344,solver_residual_call,,,1311.6916926749982,4566.798986834923,5.619658550838017,3.7716942962350943,51.121179517587144,3.571722693723516e-08
65345,solver_residual_call,,,1311.7108255739877,4566.798983105213,5.619658549794565,3.771694264033983,51.121179517587144,2.4236730869688564e-08
65346,solver_residual_call,,,1311.7298914699932,4566.798982340925,5.619658549567989,3.7716942710402694,51.121179517587144,3.063134429470991e-08
65347,solver_residual_call,,,1311.7488913119887,4566.798988998861,5.619658551453709,3.771694303698953,51.121179517587144,5.6511927059888634e-08
65348,solver_residual_call,,,1311.7680352279858,4566.798972488259,5.619658546789444,3.7716942101817854,51.121179517587144,8.919354018252924e-08
65349,solver_residual_call,,,1311.7870314589964,4566.7989848831685,5.619658542581344,3.771694274926575,51.121179517587144,7.80942327811161e-08
65350,solver_residual_call,,,1311.8060468589974,4566.798984839722,5.619658547432971,3.771694273196614,51.121179517587144,3.166691037959288e-08
65351,solver_residual_call,,,1311.8250846699957,4566.798980124703,5.619658548866614,3.7716942716055204,51.121179517587144,2.4336897213073184e-08
65352,solver_residual_call,,,1311.8440723159874,4566.798983725869,5.619658550183995,3.7716942731481775,51.121179517587144,2.935927635366494e-08
65353,solver_residual_call,,,1311.8632446849952,4566.798983486003,5.619658549680906,3.771694273041803,51.121179517587144,1.0128286036754758e-07
65354,solver_residual_call,,,1311.8822554759972,4566.798980836612,5.619658551914582,3.7716942715059285,51.121179517587144,1.2331625102051366e-07
65355,solver_residual_call,,,1311.901343679987,4566.799000333289,5.619658554642877,3.771694420377649,51.121179517587144,7.963479136080484e-08
65356,solver_residual_call,,,1311.920284789987,4566.7989873781125,5.6196585509914225,3.7716943093860826,51.121179517587144,3.4041556269759684e-08
65357,solver_residual_call,,,1311.9393721239903,4566.798982277041,5.6196585495517635,3.771694265799405,51.121179517587144,2.5873411164688998e-08
65358,solver_residual_call,,,1311.9585701819888,4566.7989828536965,5.619658549715807,3.7716942703586507,51.121179517587144,2.8190622160288057e-08
65359,solver_residual_call,,,1311.9775293919956,4566.798987186036,5.6196585509367285,3.77169430762301,51.121179517587144,6.320832323809801e-08
65360,solver_residual_call,,,1311.9966168429964,4566.7989753450765,5.619658547598156,3.771694206590032,51.121179517587144,9.554210652256923e-08
65361,solver_residual_call,,,1312.0156155649893,4566.798987676609,5.619658572112226,3.7716942983358344,51.121179517587144,8.003522106000791e-08
65362,solver_residual_call,,,1312.034629361995,4566.798984274547,5.619658565356454,3.7716942609631046,51.121179517587144,3.308643858519778e-08
65363,solver_residual_call,,,1312.0537238829857,4566.798984163132,5.619658572863845,3.7716942525099495,51.121179517587144,2.1073424255447017e-08
65364,solver_residual_call,,,1312.0727821269975,4566.7989827249385,5.6196585378730495,3.7716942826865707,51.121179517587144,3.610528277624031e-08
65365,solver_residual_call,,,1312.0920025079977,4566.798984601033,5.619658558501561,3.771694261313264,51.121179517587144,9.878457627214567e-08
65366,solver_residual_call,,,1312.1110685299936,4566.798982359441,5.619658544012364,3.7716942685849575,51.121179517587144,1.0031332492619742e-07
65367,solver_residual_call,,,1312.1300506969856,4566.798983088603,5.6196585333268745,3.7716943104905196,51.121179517587144,4.8381435173879676e-08
65368,solver_residual_call,,,1312.1490577249933,4566.798982800672,5.619658542521829,3.7716942915929894,51.121179517587144,3.430583604141742e-08
65369,solver_residual_call,,,1312.1679945549986,4566.798982614989,5.619658543225225,3.771694287019234,51.121179517587144,2.1073424255447017e-08
65370,solver_residual_call,,,1312.1869387719926,4566.798983389353,5.619658552549245,3.7716942671297127,51.121179517587144,3.573039445603916e-08
65371,solver_residual_call,,,1312.2059914939891,4566.798982828354,5.619658542567578,3.7716942929001345,51.121179517587144,7.668131166208076e-08
65372,solver_residual_call,,,1312.2250167319871,4566.798983129493,5.619658553169374,3.771694265638445,51.121179517587144,8.122557843467973e-08
65373,solver_residual_call,,,1312.2441568679933,4566.798983238498,5.6196585427767625,3.771694311351739,51.121179517587144,5.226785694670249e-08
