image_name,marker_id,corner_idx,u,v,area_px2
moving_frame_0075.png,7,1,587.0,379.0,20973.0
moving_frame_0075.png,7,2,559.0,533.0,20973.0
moving_frame_0075.png,7,3,427.0,500.0,20973.0
moving_frame_0076.png,6,0,653.0,407.0,27798.0
moving_frame_0076.png,6,1,815.0,434.0,27798.0
moving_frame_0076.png,6,2,789.0,605.0,27798.0
moving_frame_0076.png,6,3,629.0,572.0,27798.0
moving_frame_0076.png,7,0,281.0,343.0,21871.5
moving_frame_0076.png,7,1,419.0,367.0,21871.5
moving_frame_0076.png,7,2,397.0,524.0,21871.5
moving_frame_0076.png,7,3,260.0,496.0,21871.5
moving_frame_0077.png,6,0,489.0,393.0,28220.5
moving_frame_0077.png,6,1,653.0,414.0,28220.5
moving_frame_0077.png,6,2,634.0,586.0,28220.5
moving_frame_0077.png,6,3,471.0,561.0,28220.5
moving_frame_0077.png,7,0,103.0,343.0,23455.5
moving_frame_0077.png,7,1,248.0,362.0,23455.5
moving_frame_0077.png,7,2,232.0,523.0,23455.5
moving_frame_0077.png,7,3,87.0,501.0,23455.5
moving_frame_0078.png,6,0,323.0,386.0,29229.0
moving_frame_0078.png,6,1,491.0,400.0,29229.0
moving_frame_0078.png,6,2,480.0,574.0,29229.0
moving_frame_0078.png,6,3,312.0,558.0,29229.0
moving_frame_0079.png,6,0,153.0,388.0,30911.0
moving_frame_0079.png,6,1,328.0,394.0,30911.0
moving_frame_0079.png,6,2,324.0,572.0,30911.0
moving_frame_0079.png,6,3,150.0,564.0,30911.0
moving_frame_0079.png,8,0,1135.0,145.0,18796.0
moving_frame_0079.png,8,1,1274.0,149.0,18796.0
moving_frame_0079.png,8,2,1267.0,285.0,18796.0
moving_frame_0079.png,8,3,1129.0,280.0,18796.0
static_cam_edge_0.png,3,0,429.0,529.0,2433.0
static_cam_edge_0.png,3,1,483.0,530.0,2433.0
static_cam_edge_0.png,3,2,485.0,575.0,2433.0
static_cam_edge_0.png,3,3,432.0,575.0,2433.0
static_cam_edge_0.png,7,0,1140.0,401.0,2726.5
static_cam_edge_0.png,7,1,1173.0,429.0,2726.5
static_cam_edge_0.png,7,2,1133.0,481.0,2726.5
static_cam_edge_0.png,7,3,1103.0,450.0,2726.5
static_cam_edge_0.png,4,0,633.0,138.0,4069.0
static_cam_edge_0.png,4,1,697.0,140.0,4069.0
static_cam_edge_0.png,4,2,694.0,204.0,4069.0
static_cam_edge_0.png,4,3,631.0,202.0,4069.0
static_cam_edge_1.png,2,0,666.0,463.0,1774.5
static_cam_edge_1.png,2,1,706.0,456.0,1774.5
static_cam_edge_1.png,2,2,713.0,499.0,1774.5
static_cam_edge_1.png,2,3,674.0,507.0,1774.5
static_cam_edge_1.png,1,0,853.0,447.0,1692.5
static_cam_edge_1.png,1,1,905.0,436.0,1692.5
static_cam_edge_1.png,1,2,949.0,458.0,1692.5
static_cam_edge_1.png,1,3,894.0,470.0,1692.5
static_cam_edge_3.png,1,0,654.0,593.0,8694.0
static_cam_edge_3.png,1,1,754.0,623.0,8694.0
static_cam_edge_3.png,1,2,702.0,693.0,8694.0
static_cam_edge_3.png,1,3,595.0,654.0,8694.0
static_cam_edge_3.png,2,0,858.0,532.0,4092.5
static_cam_edge_3.png,2,1,921.0,546.0,4092.5
static_cam_edge_3.png,2,2,911.0,610.0,4092.5
static_cam_edge_3.png,2,3,848.0,593.0,4092.5
static_cam_edge_3.png,5,0,1128.0,284.0,1205.5
static_cam_edge_3.png,5,1,1165.0,287.0,1205.5
static_cam_edge_3.png,5,2,1159.0,320.0,1205.5
static_cam_edge_3.png,5,3,1123.0,316.0,1205.5
