marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_units,scale_m_per_colmap_unit,quality,used_for_scale
9,0,5,5,0.21032197813244102,0.2987381715445716,0.7040344963116342,0.6982706557377714,True
9,0,6,6,0.5518769643314129,0.43249937809288713,1.2760179373318943,0.7054815102602211,False
9,0,7,7,0.513222749637134,0.5651843744416374,0.9080625240996129,0.71721388205911,False
9,0,8,8,0.45289285600388685,0.6980781550440396,0.6487709903704338,0.7542344668145953,True
9,0,9,9,0.6127231501955107,0.8302216894775986,0.7380235399307085,0.7613736137574418,True
9,0,10,10,0.700220250396408,0.964493692869614,0.7259977494648769,0.7524536078625862,True
9,0,11,11,0.713925438946977,1.097865221503771,0.6502851397087678,0.7490238926522365,True
9,1,3,2,0.5052005610847837,0.12060214253209053,4.188984958955907,0.6922278446331627,False
9,1,4,3,0.4439365496692711,0.17970666128418988,2.4703399779222734,0.6921586654733345,False
9,1,5,4,0.4995705468069919,0.2393898493198665,2.086849330605822,0.6933834260978083,False
9,1,6,5,0.24747306947317288,0.3731502017912552,0.6631996131456265,0.7005438115053642,True
9,1,7,6,0.41904739631951265,0.5058350592023201,0.8284269520193642,0.7121940678741809,False
9,1,8,7,0.6054412848106945,0.6387302359442864,0.947882612626944,0.7489555437903945,False
9,1,9,8,0.7420857340933671,0.7708726228291655,0.9626567504367347,0.7560447235031185,False
9,1,10,9,0.6526294591811534,0.9051451576894308,0.7210218754825186,0.7471871491551705,True
9,1,11,10,0.7989959271750452,1.0385164952229233,0.7693627697300429,0.743781438685239,True
9,2,4,2,0.6149519913987713,0.1195495580792649,5.14390852863747,0.6686048617420219,False
9,2,5,3,0.32174578663910935,0.1792328131202125,1.7951276947447818,0.6697879443917689,False
9,2,6,4,0.5162230939685818,0.3129929476093653,1.6493122222448935,0.6767046655631559,False
9,2,7,5,0.3649987257715534,0.4456778146864478,0.8189744109841874,0.6879584696940412,False
9,2,8,6,0.4410957058042216,0.5785730056679166,0.7623855615161507,0.723468971474127,True
9,2,9,7,0.668050429576147,0.7107155761719697,0.9399687469555345,0.7303169100438893,False
9,2,10,8,0.5760731837608323,0.8449879253503821,0.6817531546642612,0.7217607543996781,True
9,2,11,9,0.7129175325249167,0.9783592674692658,0.7286868497387768,0.7184709385070682,True
9,3,5,2,0.5005116738010121,0.11878860945284525,4.213465214437896,0.6830672868415141,False
9,3,6,3,0.424892201748362,0.25255003328815967,1.6824080211605432,0.6901211402348727,False
9,3,7,4,0.7010304284171466,0.3852348616889945,1.81974815400559,0.7015980644146744,False
9,3,8,5,0.6177715886277402,0.5181291893123643,1.1923118816131868,0.737812604118477,False
9,3,9,6,0.5568834598609185,0.650273386927416,0.8563835935101527,0.7447963112133436,False
9,3,10,7,0.8187125975938708,0.7845446893611138,1.043551258068653,0.7360705196092675,False
9,3,11,8,0.6970669148927805,0.9179161674075883,0.7594015005329537,0.7327154792046305,True
9,4,6,2,0.36024547881906444,0.19344411810033033,1.8622715560274732,0.6900521716127185,False
9,4,7,3,0.607326310922126,0.32612924066668325,1.8622258760993378,0.7015279488233853,False
9,4,8,4,0.5199528314415873,0.4590236973931689,1.1327363584809231,0.7377388693554805,False
9,4,9,5,0.4865204888956744,0.5911667449318898,0.8229835204139028,0.7447218785197552,False
9,4,10,6,0.7306236474517097,0.7254387666439434,1.0071472342617598,0.7359969589449348,False
9,4,11,7,0.6237479314768949,0.8588101981199956,0.7262931120779995,0.7326422538329014,True
9,5,7,2,0.45250081981880297,0.26644680100506946,1.698278298376694,0.7027692882034237,False
9,5,8,3,0.27542147414909673,0.39934141754368246,0.6896892284381432,0.739044283219963,True
9,5,9,4,0.40262048981052045,0.5314868356176955,0.7575361473301475,0.7460396486763589,True
9,5,10,5,0.5805339970428538,0.6657569280821471,0.8719909212438901,0.737299290534516,False
9,5,11,6,0.5146308892807752,0.799128350301961,0.6439902790162746,0.733938649340291,True
9,6,8,2,0.4824210709537201,0.2655804950415909,1.8164777909543814,0.7466761961009599,False
9,6,9,3,0.5726010090219138,0.3977241812405793,1.439693727537158,0.7537438008276488,False
