initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_bottleneck,pnp_reprojection_rmse_px,area_px2,distance_m
observer,cam_edge_1,marker,2,2,cam_edge_1,static,15.6329583956338,15.6329583956338,0.20013423151238488,1824.0,3.5976855054744283
observer,moving_frame_000040,marker,4,4,moving_frame_000040,40,42.88785995461215,18.33153824743589,0.20803311865186663,6667.0,1.7019482075987342
observer,moving_frame_000128,marker,4,4,moving_frame_000128,128,41.5735468621491,18.33153824743589,0.08536052257008321,4541.0,1.893307962528781
observer,moving_frame_000032,marker,4,4,moving_frame_000032,32,24.02297711608707,18.33153824743589,0.14015004842112813,2314.0,2.3728028718144243
marker,16,observer,moving_frame_000064,16,moving_frame_000064,64,39.326478967774435,21.962734655692945,0.17276764241800432,5691.0,1.9452282015543216
marker,7,observer,moving_frame_000128,7,moving_frame_000128,128,21.168463989008277,18.33153824743589,0.28853559951427976,3705.0,2.9993271111758673
observer,moving_frame_000056,marker,16,16,moving_frame_000056,56,38.06751956781426,21.962734655692945,0.048163015066317476,4221.0,2.4131863909291535
observer,moving_frame_000016,marker,16,16,moving_frame_000016,16,10.578245145704956,10.578245145704956,0.1642419334968751,1134.0,5.515855107976408
observer,moving_frame_000136,marker,7,7,moving_frame_000136,136,25.53548151792881,18.33153824743589,0.21453305042939452,3682.0,2.5951252943777137
marker,10,observer,moving_frame_000016,10,moving_frame_000016,16,31.33381253032835,10.578245145704956,0.2154424317231071,4487.0,2.094073944917007
marker,6,observer,moving_frame_000136,6,moving_frame_000136,136,33.455807119613155,18.33153824743589,0.10387429753500098,4086.0,2.4585375926811137
marker,8,observer,moving_frame_000136,8,moving_frame_000136,136,21.65856053178237,18.33153824743589,0.21287531534197338,3137.5,3.0907218812802824
marker,20,observer,moving_frame_000136,20,moving_frame_000136,136,10.827729123550036,10.827729123550036,0.032044020130136144,814.0,6.1200751169330365
observer,moving_frame_000008,marker,10,10,moving_frame_000008,8,23.287766141849428,10.578245145704956,0.2770371468800338,3795.0,2.631128121690417
observer,moving_frame_000152,marker,8,8,moving_frame_000152,152,69.51348112764342,18.33153824743589,0.12363252874647067,11485.0,1.4910620276517037
observer,moving_frame_000144,marker,8,8,moving_frame_000144,144,31.478923576935752,18.33153824743589,0.11505415937412414,3907.5,2.5507940311382162
observer,moving_frame_000168,marker,20,20,moving_frame_000168,168,31.394791539301643,10.827729123550036,0.3510330010305883,6603.0,2.0107693656203747
marker,11,observer,moving_frame_000008,11,moving_frame_000008,8,45.882339082954516,10.578245145704956,0.2965016075939812,7859.5,1.3213308643062864
marker,9,observer,moving_frame_000008,9,moving_frame_000008,8,44.823758593663044,10.578245145704956,0.07369718053500945,5748.0,2.152647741040434
marker,17,observer,moving_frame_000144,17,moving_frame_000144,144,51.45347554596645,18.33153824743589,0.17003621653340273,8521.0,1.7173701693927481
marker,5,observer,moving_frame_000144,5,moving_frame_000144,144,30.13634307225042,18.33153824743589,0.25879960712871075,4942.5,2.1674005574294406
observer,moving_frame_000000,marker,9,9,moving_frame_000000,0,32.011043454915686,10.578245145704956,0.15105970566439048,4686.0,2.6050209348448146
observer,moving_frame_000024,marker,17,17,moving_frame_000024,24,23.544170315129325,18.33153824743589,0.1474837730609086,2565.0,2.668912753523597
marker,13,observer,moving_frame_000000,13,moving_frame_000000,0,29.307406831413246,10.578245145704956,0.4794745736414143,7110.5,1.7278869783035826
marker,12,observer,moving_frame_000000,12,moving_frame_000000,0,25.514055701722974,10.578245145704956,0.33061584242964276,4583.5,2.24609167135832
observer,cam_edge_5,marker,13,13,cam_edge_5,static,31.712814033467865,10.578245145704956,0.1485601840087693,3914.5,2.23661744504178
observer,moving_frame_000160,marker,12,12,moving_frame_000160,160,31.83806450061617,10.578245145704956,0.34410692629519424,5929.0,1.7920612851635092
