point3d_id,x_ref_aruco_m,y_ref_aruco_m,z_ref_aruco_m,r,g,b,colmap_reprojection_error
9012,-2.6322630341320608,0.24122001340317406,0.6638769473031805,100,105,121,0.5580140265602953
9013,-0.9622694447123767,0.6036971567984264,1.1768352570354776,124,124,124,0.4299230315976732
9014,-2.3073533295747617,-1.7327571431902262,0.5398940626764115,231,231,231,1.2824172910264267
9015,-1.018412677667439,-1.658006900592155,1.0004906668343767,231,231,231,0.5698188706591574
9016,-0.9902818559099387,0.6000732512907245,0.994156429654165,12,90,38,0.18267073806282533
9018,-0.9821150016848001,-1.3451223742255825,0.863088098519271,87,92,106,1.108338513647933
9020,-1.132742825784959,-0.8363560082471606,0.5220618170277032,60,64,74,0.6211413720486499
9021,-1.097500785499746,-0.8803721481888702,0.4992098946895758,92,97,112,0.9620844192767893
9022,-1.0984806876885045,-0.8816263499627197,0.4985181009123516,92,97,112,1.115080356352525
9023,-2.8209905933406936,0.7252513956209585,0.893785524822716,231,231,231,1.3350068848269216
9024,-2.865617510268735,0.7908139320239667,0.889295831134698,14,25,45,0.7037135372984958
9025,-2.5987250206551944,-0.02016873277196657,0.7588875158671422,228,228,228,1.011471048252123
9026,-2.5987250206551944,-0.02016873277196657,0.7588875158671422,228,228,228,1.011471048252123
9027,-1.0009432976995265,0.6021159062250561,1.1880532079989932,11,79,39,0.522003477249029
9028,-1.0009432976995265,0.6021159062250561,1.1880532079989932,11,79,39,0.522003477249029
9030,-1.1005339932030809,-1.3481928209785883,0.500203387741676,92,97,112,0.6373860394075876
9032,-2.2472330888309444,0.6491030807905529,0.6646354836745116,5,5,5,2.251336859321084
9033,-0.9926566365593401,0.6025049664912385,0.9767267833995777,80,105,85,0.8506911644500688
9034,-1.1269387096661179,-0.8525822141795163,0.5549414094397906,117,123,141,1.0727147364251735
9035,-1.081461654491982,-1.3028912257501004,0.5805819867724729,117,123,141,1.1173397776204752
9036,-2.573092312052757,-0.09829737305082964,0.6757248369698465,228,228,228,0.44126794411798526
9037,-2.571905252750639,0.034208180324783954,0.6749900044405686,228,228,228,0.44209313442163856
9039,-2.324521997232454,0.6764586913833905,0.6498606200080674,5,5,5,0.9285160382687523
9040,-1.0007304714637653,-1.4188759210621584,1.0138053284685946,231,231,231,1.1446685332429454
9041,-1.0762192770900434,-1.498629168077087,0.4722813870840139,231,231,231,0.5600465427356287
9042,-1.0762192770900434,-1.498629168077087,0.4722813870840139,231,231,231,0.5600465427356287
9043,-0.9960060312039669,-1.6632292300080453,1.0295836203300852,59,62,72,1.1807943708080488
9044,-2.0413129775012173,0.6358426855409154,0.34653289648471364,106,106,106,0.8892643985078043
9045,-2.0404464524839088,0.6355456986372923,0.3470741811211031,106,106,106,1.087547652105473
9046,-1.0119113390125618,-1.2217914926960909,0.7371553711481349,65,68,79,0.679318659423011
9047,-0.7441006883467358,0.6036939321331662,1.3357024613053978,123,123,123,0.6209909301024163
9048,-1.4325899176960717,0.6107252223910205,1.3387162313421597,4,4,5,0.9802659386112045
