initialization_algorithm,initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_length,path_bottleneck_score,pnp_reprojection_rmse_px,area_px2,distance_m
unweighted_first_hit_bfs_diagnostic,marker,20,observer,cam_edge_3,20,cam_edge_3,static,0.40912772248236495,2,0.40912772248236495,0.2051228820864619,472.5,9.103943480185158
unweighted_first_hit_bfs_diagnostic,marker,0,observer,moving_frame_000028,0,moving_frame_000028,28,0.5437401768779412,2,0.46820057956466393,0.2114938077334276,691.5,6.050888532465241
unweighted_first_hit_bfs_diagnostic,marker,16,observer,moving_frame_000028,16,moving_frame_000028,28,0.6047392569831719,2,0.46820057956466393,0.09818126622707495,1545.0,4.452909413803334
unweighted_first_hit_bfs_diagnostic,marker,4,observer,moving_frame_000028,4,moving_frame_000028,28,0.5413182710482188,2,0.46820057956466393,0.23223343515224726,1376.0,2.8763296829787692
unweighted_first_hit_bfs_diagnostic,marker,3,observer,moving_frame_000044,3,moving_frame_000044,44,0.5905015600400803,2,0.5687310674140513,0.3475785066511628,2120.0,2.4543569656679853
unweighted_first_hit_bfs_diagnostic,marker,18,observer,moving_frame_000113,18,moving_frame_000113,113,0.5052670488648581,2,0.5052670488648581,0.2751183843798062,2275.0,2.7884052004317166
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000103,marker,2,2,moving_frame_000103,103,0.7032468635471628,3,0.4681452516093435,0.2253619378222619,8168.0,2.008482865187278
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000105,marker,2,2,moving_frame_000105,105,0.7260719552085507,3,0.4681452516093435,0.052347412576120855,6639.5,2.094509393862937
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000106,marker,2,2,moving_frame_000106,106,0.7011382043424006,3,0.4681452516093435,0.12349708177795916,6087.0,2.129757018118423
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000138,marker,5,5,moving_frame_000138,138,0.6875864812982677,3,0.4681452516093435,0.13030125373287946,4692.0,2.5523549300103396
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000139,marker,5,5,moving_frame_000139,139,0.6788478242692724,3,0.4681452516093435,0.19247169936666172,4336.5,2.533267502372373
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000140,marker,5,5,moving_frame_000140,140,0.7157694328803013,3,0.4681452516093435,0.06385038236392382,4088.5,2.496200579925087
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000141,marker,5,5,moving_frame_000141,141,0.7210626223886535,3,0.4681452516093435,0.07973595075890434,3998.0,2.4405381708527973
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000143,marker,5,5,moving_frame_000143,143,0.7044225869123842,3,0.4681452516093435,0.2049477664247894,4400.0,2.298834150915972
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000144,marker,5,5,moving_frame_000144,144,0.6971282887748101,3,0.4681452516093435,0.25879960712871075,4942.5,2.1674005574294406
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000145,marker,5,5,moving_frame_000145,145,0.7226654922901969,3,0.4681452516093435,0.15272605324163435,5623.5,2.0550864230041204
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000147,marker,5,5,moving_frame_000147,147,0.737542086381975,3,0.4681452516093435,0.11330401688943319,7552.5,1.8687710300420572
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000148,marker,5,5,moving_frame_000148,148,0.7210395204891739,3,0.4681452516093435,0.19555457311450322,8937.0,1.772212103343939
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000130,marker,6,6,moving_frame_000130,130,0.6531782393989436,3,0.4681452516093435,0.16969644323201116,5353.5,2.7071000756454495
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000131,marker,6,6,moving_frame_000131,131,0.6464870093347704,3,0.4681452516093435,0.2863995997685444,4866.0,2.656681042796115
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000132,marker,6,6,moving_frame_000132,132,0.6697552628327597,3,0.4681452516093435,0.1993942043621541,4540.0,2.601024912525905
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000133,marker,6,6,moving_frame_000133,133,0.6847788223384009,3,0.4681452516093435,0.16227514129931384,4296.5,2.572265664973637
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000134,marker,6,6,moving_frame_000134,134,0.6801218625578511,3,0.4681452516093435,0.21169259424446907,4068.5,2.5345538100692124
unweighted_first_hit_bfs_diagnostic,observer,cam_edge_0,marker,7,7,cam_edge_0,static,0.5614239834482522,3,0.4681452516093435,0.27642109079268934,2813.0,2.852544085963125
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000121,marker,7,7,moving_frame_000121,121,0.5637145802717636,3,0.4681452516093435,0.07882954109228373,2379.0,3.920543404834782
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000122,marker,7,7,moving_frame_000122,122,0.5575341154891211,3,0.4681452516093435,0.26199659735209274,2420.0,3.836525005590347
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000124,marker,7,7,moving_frame_000124,124,0.5894159122718376,3,0.4681452516093435,0.19527097770073418,2669.5,3.5096720968378627
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000128,marker,7,7,moving_frame_000128,128,0.6218629410321685,3,0.4681452516093435,0.28853559951427976,3705.0,2.9993271111758673
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000129,marker,7,7,moving_frame_000129,129,0.6182018439516873,3,0.4681452516093435,0.2385290631721178,4145.0,2.879336394921374
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000149,marker,8,8,moving_frame_000149,149,0.8340914863129997,3,0.4681452516093435,0.18603840693557414,6988.5,1.8645050528175062
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000150,marker,8,8,moving_frame_000150,150,0.8502270817879594,3,0.4681452516093435,0.18725942122718603,8111.5,1.7334535050625683
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000151,marker,8,8,moving_frame_000151,151,0.8462961852674168,3,0.4681452516093435,0.23877982784295654,9558.0,1.6117116101296267
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000152,marker,8,8,moving_frame_000152,152,0.8481069453771705,3,0.4681452516093435,0.12363252874647067,11485.0,1.4910620276517037
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000153,marker,8,8,moving_frame_000153,153,0.8156709146050467,3,0.4681452516093435,0.13832624648068795,14131.5,1.3738262636414855
