stage,key,legacy_rows,wizard_rows,legacy_cols,wizard_cols,count_equal,blob_equal,legacy_blob_sha256,wizard_blob_sha256,detail
descriptors,frame_0019.png,1026,1026,128,128,True,True,472af54e1a0efb88d6faa40ccf4f2d24c75502b7caa75656e453aa93d6a860d9,472af54e1a0efb88d6faa40ccf4f2d24c75502b7caa75656e453aa93d6a860d9,per-image SQLite feature record compared by semantic image name
keypoints,frame_0020.png,1179,1179,6,6,True,True,8c0f33247f3c62db8f8693754c1c35c50fe16585b8d416d9315e07222f27b9d5,8c0f33247f3c62db8f8693754c1c35c50fe16585b8d416d9315e07222f27b9d5,per-image SQLite feature record compared by semantic image name
descriptors,frame_0020.png,1179,1179,128,128,True,True,7aa4ac8fa470c26bf92887b991c2ffd8d0ece17fb6d653348d5790454d6ff34f,7aa4ac8fa470c26bf92887b991c2ffd8d0ece17fb6d653348d5790454d6ff34f,per-image SQLite feature record compared by semantic image name
keypoints,frame_0021.png,1243,1243,6,6,True,True,d43993d9635ab381b9ffd3f71de06f1142cc949e50564564b57b54f50974a05f,d43993d9635ab381b9ffd3f71de06f1142cc949e50564564b57b54f50974a05f,per-image SQLite feature record compared by semantic image name
descriptors,frame_0021.png,1243,1243,128,128,True,False,07f03a153230db0dea4e80a08af6f59812d8e5a9d41d4e5df74ce5a26ddea94b,949d1342de086ed9ddcca7123d45748fcb861981062abbf3950e1b8d07e5100c,per-image SQLite feature record compared by semantic image name
keypoints,frame_0022.png,1151,1151,6,6,True,True,fe4a64961e462e4e19fe2731154ee2a43fe0842ae103d0c374e5e99dd6138eb4,fe4a64961e462e4e19fe2731154ee2a43fe0842ae103d0c374e5e99dd6138eb4,per-image SQLite feature record compared by semantic image name
descriptors,frame_0022.png,1151,1151,128,128,True,False,1964cec532489ce101b241a2a1463cd5ea55572ff1ed331c896facde660beb13,1d0eb303f793a23b5a6763632a9adbd190820fb5c650f216f10d0f6d546a8ba1,per-image SQLite feature record compared by semantic image name
keypoints,frame_0023.png,1222,1222,6,6,True,True,18fb8582ab1a65b2119259798d68fa78d2a6185e6997e83ecedbb6a1829cc406,18fb8582ab1a65b2119259798d68fa78d2a6185e6997e83ecedbb6a1829cc406,per-image SQLite feature record compared by semantic image name
descriptors,frame_0023.png,1222,1222,128,128,True,True,8f4b6ab219a22c1751ad4c875dd6cbb60749b753a950a3b20f4748119d2aba0d,8f4b6ab219a22c1751ad4c875dd6cbb60749b753a950a3b20f4748119d2aba0d,per-image SQLite feature record compared by semantic image name
keypoints,frame_0024.png,1153,1153,6,6,True,True,2dc3b64cb687d5d7bfed25ebfbc1a246d08da43a9a6c5a37a833e1b33c5e9840,2dc3b64cb687d5d7bfed25ebfbc1a246d08da43a9a6c5a37a833e1b33c5e9840,per-image SQLite feature record compared by semantic image name
descriptors,frame_0024.png,1153,1153,128,128,True,False,32b736aaae3502cbe3832c53253e14c978a385e90505bbcc0670f930dc73c6b1,86de9bc6ad34bd7c632b0b622262b137431b37d81f9ca5602a09ad132a459f6c,per-image SQLite feature record compared by semantic image name
keypoints,frame_0025.png,1320,1320,6,6,True,True,9ebc4a1888af7b07ea1796ebf4fb64f973958cfcf7158a657e991ef4bc200f98,9ebc4a1888af7b07ea1796ebf4fb64f973958cfcf7158a657e991ef4bc200f98,per-image SQLite feature record compared by semantic image name
