image_name,legacy_x,legacy_y,legacy_z,wizard_x,wizard_y,wizard_z,direct_translation_error,aligned_legacy_x,aligned_legacy_y,aligned_legacy_z,sim3_translation_residual,direct_rotation_error_degrees,sim3_rotation_residual_degrees
frame_0056.png,0.19674874053752728,-0.16690904533745674,0.4433599627045479,0.04313531781381596,0.023041574659529076,5.2488210522144696e-05,0.506161869978769,0.04354358919413912,0.02357625534840241,0.0001284182334754802,0.0006770039345755214,13.510992621826597,0.08413266159589375
frame_0057.png,0.19004107773616805,-0.14351776407951267,0.38909694073135065,0.049662128020153684,0.04112916738760443,-0.05273867458854182,0.49901848641979335,0.049654743921641924,0.04161480443320588,-0.05219081187927899,0.0007321553203877897,13.505659482039286,0.09070895346395115
frame_0058.png,0.1842646334322752,-0.1183300386977135,0.33541701011471214,0.05721688352346118,0.06349698349360192,-0.10279578811564029,0.49115440880514266,0.05667651849710017,0.061294731315520004,-0.10390703474909585,0.002525228325903815,13.509699106627046,0.09563067322823303
frame_0059.png,0.1764709458731551,-0.09551297203645855,0.28133264806730607,0.061519836747735285,0.07851749690249193,-0.1564034441283647,0.48488477808548697,0.06170928298139957,0.07889989336260556,-0.1562362403728374,0.00045833832920610967,13.514078170323607,0.09599349064757691
frame_0060.png,0.1702087481577886,-0.07034732051277023,0.2284610091092807,0.06863595396747993,0.09765105143374404,-0.2078206783915902,0.47841634205461014,0.06813591344328171,0.09866110822523677,-0.2073050570549973,0.0012394033284733738,13.501307412734862,0.10521360002157525
frame_0061.png,0.16654753908885842,-0.04903842342738898,0.17234373181376494,0.08085695436814737,0.11264934717543236,-0.26259691274646657,0.47186775240819073,0.07717641480223847,0.11437659778932768,-0.260610367215253,0.004525055726397995,13.473177301234333,0.150522493442524
frame_0062.png,0.1474369792187138,0.015510117663615465,0.04086513961594586,0.09337073565813016,0.16530039399788327,-0.38952812423514716,0.45891028223983527,0.09011214283003466,0.16562865216362213,-0.3884025631895054,0.003463100967363766,13.479420870016215,0.1327203101509377
frame_0063.png,0.13369951167715194,0.07337749703174981,-0.09711334718098395,0.10942112552638496,0.2098894975481314,-0.5212181781769192,0.4461948834233323,0.10853018131132164,0.20973461191649048,-0.5207052505785665,0.0010396469950879536,13.503917109143888,0.09462467233705922
frame_0064.png,0.1162025899382281,0.13284360048627827,-0.23423625125207173,0.1235466029638653,0.25666614338599814,-0.6524616492592668,0.4362320944127683,0.12350742758149993,0.25569275453678736,-0.6530424408670868,0.001134169058855692,13.516383344195097,0.097237615779737
frame_0065.png,0.10568431300594613,0.19616369698371677,-0.3695515256395806,0.14486850372161983,0.30456752855847796,-0.7825271153673066,0.4287605732959766,0.14488261814702408,0.3048193038353605,-0.7826226744432891,0.0002696693235360834,13.510060917481788,0.0922498546162416
frame_0066.png,0.09183942081800008,0.25758181194902496,-0.5044657014486047,0.16304395777400227,0.3514263288548836,-0.9124126795796957,0.4246146681436023,0.16296821811532763,0.35247390079584134,-0.9123584650006581,0.0010517046581423493,13.507579551918209,0.08712946888015623
frame_0067.png,0.07651304148200636,0.3182319092136664,-0.6399925190330606,0.1793715776291059,0.39884416512881665,-1.0429563300494888,0.4236248897915909,0.17974267090878052,0.3994846081424258,-1.0428918743659077,0.0007429885672379836,13.514989168942277,0.09128891171131419
frame_0068.png,0.06012816751266223,0.3786832634928989,-0.7752638755994095,0.19559717689659598,0.44564534042487236,-1.1734419270026941,0.4258891086536784,0.19548484236408667,0.4464147678599858,-1.1733824527262804,0.0007798556370600007,13.50791704299993,0.09460826481133659
frame_0069.png,0.047483699994379625,0.4401882144055399,-0.910028513002846,0.21452039811670215,0.4933137029796698,-1.3028383011414475,0.43014312235968727,0.21464685773370232,0.49406623113878034,-1.3027567717085569,0.0007674227735828442,13.51260486441436,0.09490602596196379
frame_0070.png,0.030381082346948862,0.4999814116111031,-1.0462353035467018,0.22991588708099864,0.5394382598393488,-1.4344626863175116,0.4382824225376088,0.22984519547754154,0.5403686236017764,-1.4342004654725717,0.0009691923466261885,13.506689384667162,0.092429341545513
frame_0071.png,0.01541779124446252,0.5600788837283149,-1.1824026143398536,0.24699343446699656,0.5855705716363718,-1.5655440494015394,0.44841327360757294,0.24701788669156158,0.5867866869395828,-1.5652165990134796,0.0012596658678516882,13.508291039820987,0.08625056694481974
