group,variant,alignment,camera_count,max_rotation_error_deg,max_translation_error_cm,mean_rotation_error_deg,mean_translation_error_cm,median_rotation_error_deg,median_translation_error_cm,method,source_file,status,available_cameras,missing_cameras,failure_reason
moving_cam/res,moving_res_160x90_extreme_pixel,SE3_available_static_cameras_no_scale,3,0.4088366673300109,8.886425681992264,0.36919460719065644,7.323389251040379,0.3845412507802762,7.324049003893491,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,PARTIAL_3_OF_4,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,
moving_cam/res,moving_res_160x90_extreme_pixel,NOT_RUN_INSUFFICIENT_CAMERAS,0,,,,,,,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,FAILED_NO_STATIC_CAMERAS,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,
moving_cam/res,moving_res_2560x1440_upscaled,SE3_all_static_cameras_no_scale,4,1.775607,11.402500,1.306068,7.573174,1.183207,7.042228,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK,,,
moving_cam/res,moving_res_2560x1440_upscaled,SE3_available_static_cameras_no_scale,4,1.336077800095068,8.964243856408755,0.8541268405113898,6.124364485161374,0.7859532802743422,6.626572369025333,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
moving_cam/res,moving_res_2560x1440_upscaled,SE3_all_static_cameras_no_scale,4,0.243889,6.652343,0.162177,4.034720,0.152791,3.965850,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK,,,
moving_cam/res,moving_res_320x180_low,SE3_all_static_cameras_no_scale,4,18.001752,161.481658,9.070175,83.230265,6.863117,64.684203,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK,,,
moving_cam/res,moving_res_320x180_low,SE3_available_static_cameras_no_scale,4,1.4975199001069688,25.129643274518315,0.8427425314506256,13.596596716813474,0.7832040102754406,13.494714170870342,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
moving_cam/res,moving_res_320x180_low,SE3_all_static_cameras_no_scale,4,1.839226,29.523019,1.116620,24.264052,0.918442,23.417043,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK,,,
world/lighting,ceiling_bright,SE3_available_static_cameras_no_scale,4,1.4968381555420056,11.452292158942212,1.2913589597518131,7.877145281173072,1.3096448081941379,7.425172287944079,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_bright,SE3_available_static_cameras_no_scale,4,0.743949017939765,13.393703041397643,0.42742916601903685,8.859259854902547,0.37204917308829855,8.588076584070642,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_bright,SE3_available_static_cameras_no_scale,4,0.1101541674512491,11.42727422607109,0.0700868644700424,6.8690969180881165,0.07199360512966141,6.592539079011316,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_dark_extreme,SE3_available_static_cameras_no_scale,4,1.8497894210143233,13.833240964405869,1.4138050977340177,10.499270287303041,1.52305152457085,10.750260717392958,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_dark_extreme,SE3_available_static_cameras_no_scale,4,1.1798883038277563,11.928171948357372,0.6155237977912313,9.565411032520279,0.4987642248804669,9.468965461123723,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_dark_extreme,SE3_available_static_cameras_no_scale,4,0.4189082201084474,10.496313712630519,0.2249729732873494,6.645225257892344,0.19762978988368654,6.046096394820516,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_low,SE3_available_static_cameras_no_scale,4,1.5195747994890783,11.693505256698456,1.2967540737016996,8.156193672776324,1.2905814403635727,7.722707953094065,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_low,SE3_available_static_cameras_no_scale,4,0.7815952648344673,13.233009904113658,0.43325533601293414,8.746636079738535,0.3689472238484949,8.476813052263743,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_low,SE3_available_static_cameras_no_scale,4,12.065841675406677,71.65548389178504,6.020827595329525,40.12261849823892,4.108802227957778,39.27535046186085,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_normal,SE3_available_static_cameras_no_scale,4,1.5754813928779954,11.48155763106885,1.2802635632418118,7.834029100131286,1.2215805060376672,7.419585794465066,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_normal,SE3_available_static_cameras_no_scale,4,0.7396967326075492,12.897056141743876,0.41489011871986226,8.578783733012253,0.35528769277547134,8.315046507684558,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
world/lighting,ceiling_normal,SE3_available_static_cameras_no_scale,4,0.29904541030055215,13.217840244040236,0.19516552653506464,7.61934733561313,0.17850578824542343,7.167900920104659,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
