method,target_id,target_pattern,square_size_m,resolution,group,scenario,detection_success,pose_class,camera_1_status,camera_2_status,camera_1_points,camera_2_points,estimated_baseline_m,baseline_error_cm,rotation_error_deg,failure_reason,camera_1_image,camera_2_image,source_csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,height,height_1_2m,true,valid,SB,SB,54,54,0.705424,0.542,0.248,,results/checkerboard/target_9x6_square0_12/res320x240/height/debug_images/height_1_2m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/height/debug_images/height_1_2m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/height/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,height,height_1_4m,true,valid,SB,SB,54,54,0.693767,0.623,0.139,,results/checkerboard/target_9x6_square0_12/res320x240/height/debug_images/height_1_4m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/height/debug_images/height_1_4m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/height/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,mixed,far_2_4m_yaw_20deg,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/far_2_4m_yaw_20deg_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/far_2_4m_yaw_20deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,mixed,far_2_4m_yaw_30deg,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/far_2_4m_yaw_30deg_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/far_2_4m_yaw_30deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,mixed,close_1_4m_yaw_10deg,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/close_1_4m_yaw_10deg_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/close_1_4m_yaw_10deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,mixed,shift_left_0_2m_yaw_20deg,true,valid,SB,SB,54,54,0.707055,0.705,0.279,,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/shift_left_0_2m_yaw_20deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/shift_left_0_2m_yaw_20deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res320x240,mixed,shift_right_0_2m_yaw_20deg,false,failure,checkerboard_not_found,SB,0,54,,,,camera_1:checkerboard_not_found;camera_2:SB,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/shift_right_0_2m_yaw_20deg_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/debug_images/shift_right_0_2m_yaw_20deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res320x240/mixed/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_1_2m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_2m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_2m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_1_4m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_4m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_4m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_1_6m,true,valid,SB,SB,54,54,0.701592,0.159,0.072,,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_6m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_6m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_1_8m,true,valid,SB,SB,54,54,0.702422,0.242,0.086,,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_8m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_1_8m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_2_0m,true,valid,SB,SB,54,54,0.700946,0.095,0.030,,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_0m_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_0m_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_2_2m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_2m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_2m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_2_4m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_4m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_4m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_2_6m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_6m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_6m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,distance,dist_2_8m,false,failure,checkerboard_not_found,checkerboard_not_found,0,0,,,,camera_1:checkerboard_not_found;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_8m_camera_1_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/debug_images/dist_2_8m_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/distance/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_0deg,true,valid,SB,SB,54,54,0.702422,0.242,0.086,,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_0deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_0deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_10deg,true,valid,SB,SB,54,54,0.708560,0.856,0.263,,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_10deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_10deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_20deg,true,valid,SB,SB,54,54,0.687510,1.249,0.395,,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_20deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_20deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_30deg,true,valid,SB,SB,54,54,0.699164,0.084,0.038,,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_30deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_30deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_35deg,true,valid,SB,SB,54,54,0.703079,0.308,0.133,,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_35deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_35deg_camera_2_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_40deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_40deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_40deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_45deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_45deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_45deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
checkerboard,target_9x6_square0_12,9x6,0.12,res640x480,yaw,yaw_50deg,false,failure,SB,checkerboard_not_found,54,0,,,,camera_1:SB;camera_2:checkerboard_not_found,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_50deg_camera_1_SB.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/debug_images/yaw_50deg_camera_2_checkerboard_not_found.png,results/checkerboard/target_9x6_square0_12/res640x480/yaw/summary.csv
