pair,method,root_cam,target_cam,root_marker,target_marker,root_frame,target_frame,translation_error_m,rotation_error_deg,est_x,est_y,est_z,gt_x,gt_y,gt_z,root_static_dist_m,target_static_dist_m,root_moving_dist_m,target_moving_dist_m,root_moving_score,target_moving_score
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,3,10,62,105,0.34086028133551344,5.911910667515027,2.756844952248615,-3.1227368952572627,8.567628806986374,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,3.643505041653401,1.8860038014353508,1.3493353796493701,1862.89543253,5575.92229152
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,3,11,62,97,0.4436759934020416,9.962402161400144,3.166492316746103,-2.899375357316618,8.547990918102478,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,2.326032331262132,1.8860038014353508,1.4752101326321596,1862.89543253,2757.24610995
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,7,12,75,111,0.4486248011153287,19.689792739190167,2.8891357131261612,-2.9583897361175637,8.683201315855555,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,2.858260077066848,1.9488898825884073,1.1940098058862572,2893.22450695,11073.9924127
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,5,10,86,105,0.49527149188527425,11.82879932259056,3.232081147441911,-3.3374266518107483,7.978152028331076,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,3.643505041653401,1.6863012363611714,1.3493353796493701,3312.13489912,5575.92229152
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,5,12,86,111,0.5100925846988213,17.638384103106997,3.369062968181638,-2.9530768842040835,8.386715839859388,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,2.858260077066848,1.6863012363611714,1.1940098058862572,3312.13489912,11073.9924127
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,8,12,91,111,0.5416769987987999,16.08483776276843,3.1933175332383015,-2.7544828149086316,8.551055582652117,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,2.858260077066848,1.2628187589997084,1.1940098058862572,9016.70499648,11073.9924127
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,8,11,91,97,0.6190273895538658,13.254461315119622,3.471048227970766,-2.901277985390001,8.135768716781815,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,2.326032331262132,1.2628187589997084,1.4752101326321596,9016.70499648,2757.24610995
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,5,11,86,97,0.7865261746646584,14.998715421904043,3.621603724628744,-3.0813901745860592,7.949788834877909,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,2.326032331262132,1.6863012363611714,1.4752101326321596,3312.13489912,2757.24610995
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,3,12,62,111,0.7934086659361821,15.980301483677566,2.8922720791734715,-2.7100790081039943,8.948136510753443,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,2.858260077066848,1.8860038014353508,1.1940098058862572,1862.89543253,11073.9924127
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,6,0,76,38,1.7783216800058792,40.67005742589555,2.8972618490620254,-4.439431608496709,7.0863310186829445,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,8.769124557170892,1.7324977562827302,1.3549964820651028,4237.81331492,6866.1756522
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,7,0,75,38,1.9552671357760067,17.99915118530307,4.379407254104939,-1.865376275549512,7.94094661506379,2.898374813490835,-3.101877728211797,8.2582424386392,5.713580653871969,8.769124557170892,1.9488898825884073,1.3549964820651028,2893.22450695,6866.1756522
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,3,0,62,38,2.134152707517289,15.153085715577747,4.437991631529447,-1.625091942024794,8.315614682207599,2.898374813490835,-3.101877728211797,8.2582424386392,4.420643217084601,8.769124557170892,1.8860038014353508,1.3549964820651028,1862.89543253,6866.1756522
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,8,0,91,38,2.3638140600836053,18.86390390542904,4.598433854508398,-1.4967119756631675,7.910594521130157,2.898374813490835,-3.101877728211797,8.2582424386392,6.0565977063003755,8.769124557170892,1.2628187589997084,1.3549964820651028,9016.70499648,6866.1756522
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,5,0,86,38,2.400226269778878,18.612868712094713,4.774693123488115,-1.693945125336009,7.750067732986719,2.898374813490835,-3.101877728211797,8.2582424386392,5.376474499708661,8.769124557170892,1.6863012363611714,1.3549964820651028,3312.13489912,6866.1756522
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,6,11,76,97,3.254723414710692,47.21204860545838,1.570149795851386,-5.031853861143151,5.9989870446879,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,2.326032331262132,1.7324977562827302,1.4752101326321596,4237.81331492,2757.24610995
cam3_to_cam5,GT_motion,cam_edge_3,cam_edge_5,6,12,76,111,3.267735716141738,43.826447933698674,1.1777869603109234,-5.105050599440888,6.333411901160668,2.898374813490835,-3.101877728211797,8.2582424386392,5.616000810218128,2.858260077066848,1.7324977562827302,1.1940098058862572,4237.81331492,11073.9924127
