residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
571,solver_residual_call,,,39.320495095002116,65961.1834375767,18.798529305606696,10.674410904995337,179.16553791617164,3.806760152112037e-08
572,solver_residual_call,,,39.40160266900057,65961.1832311619,18.798529287092407,10.674410881070399,179.16553791617164,3.220271008401653e-08
573,solver_residual_call,,,39.46922153000196,65961.18381048249,18.798529313725194,10.674410944097222,179.16553791617164,3.948505956614966e-08
574,solver_residual_call,,,39.53420649100008,65961.18415137952,18.798529392362752,10.67441099934549,179.16553791617164,3.269112518480312e-08
575,solver_residual_call,,,39.6166220160012,65961.18359028472,18.79852934492592,10.674410947824802,179.16553791617164,2.3380638863412228e-08
576,solver_residual_call,,,39.718280529006734,65961.18340131296,18.798529299845256,10.674410898599092,179.16553791617164,3.6916020084364056e-08
577,solver_residual_call,,,39.84299223100243,65961.18354189451,18.798529321214133,10.674410925098481,179.16553791617164,3.6916020084364056e-08
578,solver_residual_call,,,39.94955839200702,65961.18321447776,18.798529291236594,10.674410883606436,179.16553791617164,3.1976554553659664e-08
579,solver_residual_call,,,40.026077189002535,65961.18364832738,18.798529315884817,10.674410911210234,179.16553791617164,3.9998536398319875e-08
580,solver_residual_call,,,40.09457748400018,65961.18387678095,18.79852935437514,10.674410960075209,179.16553791617164,3.288563384480212e-08
581,solver_residual_call,,,40.15925813400099,65961.18357732057,18.798529324271517,10.67441094392904,179.16553791617164,2.2451771433226553e-08
582,solver_residual_call,,,40.222199117000855,65961.18332746401,18.7985292945029,10.674410886014781,179.16553791617164,3.5648202556030994e-08
583,solver_residual_call,,,40.28798919900146,65961.18351725223,18.798529314162664,10.674410920927492,179.16553791617164,3.5648202556030994e-08
584,solver_residual_call,,,40.355372165002336,65961.18330333187,18.798529292800218,10.67441089910648,179.16553791617164,3.1903866011552235e-08
585,solver_residual_call,,,40.42247180000413,65961.18363611367,18.79852930846562,10.674410967815009,179.16553791617164,4.0632685568981815e-08
586,solver_residual_call,,,40.5113255010001,65961.18344165469,18.79852930173015,10.674410920661646,179.16553791617164,3.3099889210513455e-08
587,solver_residual_call,,,40.59636939600023,65961.18329304332,18.79852929665246,10.67441088123158,179.16553791617164,2.1504515704465428e-08
588,solver_residual_call,,,40.689198451000266,65961.18347845756,18.79852930271649,10.674410921551278,179.16553791617164,3.426469854821926e-08
589,solver_residual_call,,,40.788678916003846,65961.18338466134,18.79852929969747,10.674410902470061,179.16553791617164,3.426469854821926e-08
590,solver_residual_call,,,40.864921761000005,65961.18329267153,18.798529296399725,10.674410874686794,179.16553791617164,3.183394965193508e-08
591,solver_residual_call,,,40.93329975800589,65961.18321115125,18.798529293509567,10.674410859256655,179.16553791617164,4.1241322802748737e-08
592,solver_residual_call,,,40.996647285006475,65961.18335144021,18.79852929839014,10.674410890303303,179.16553791617164,3.36383050394732e-08
593,solver_residual_call,,,41.059864032002224,65961.18353268412,18.798529304785973,10.674410925567173,179.16553791617164,2.1073424255447017e-08
594,solver_residual_call,,,41.124373169004684,65961.18328502437,18.79852929612817,10.674410880307565,179.16553791617164,3.3045189766372726e-08
595,solver_residual_call,,,41.19437840600585,65961.1834093256,18.798529300458313,10.674410902454063,179.16553791617164,3.3045189766372726e-08
596,solver_residual_call,,,41.2798913640072,65961.18348674888,18.798529303212717,10.674410919975049,179.16553791617164,3.174481321240052e-08
597,solver_residual_call,,,41.38025299300352,65961.18363206912,18.798529321112568,10.674410928806422,179.16553791617164,4.073535892957745e-08
598,solver_residual_call,,,41.489666819004924,65961.18361495124,18.79852933405938,10.674410923284434,179.16553791617164,3.310174483439459e-08
599,solver_residual_call,,,41.574514903004456,65961.18339242792,18.798529310641705,10.674410894412933,179.16553791617164,2.1073424255447017e-08
600,solver_residual_call,,,41.643398083004286,65961.18340728346,18.798529297631696,10.674410907682354,179.16553791617164,3.1143714006940375e-08
601,solver_residual_call,,,41.709510547007085,65961.18343886596,18.79852930931288,10.674410903392733,179.16553791617164,3.1143714006940375e-08
602,solver_residual_call,,,41.772119637003925,65961.18329181598,18.798529291360094,10.674410887285196,179.16553791617164,3.1706955782753353e-08
603,solver_residual_call,,,41.840363058006915,65961.18353705511,18.798529315702254,10.674410904289712,179.16553791617164,4.0149561501819125e-08
604,solver_residual_call,,,41.90949196100701,65961.1835738651,18.798529334447412,10.674410914950412,179.16553791617164,3.241520405039805e-08
605,solver_residual_call,,,41.987015780003276,65961.18338703009,18.79852931457229,10.674410896114496,179.16553791617164,2.1073424255447017e-08
606,solver_residual_call,,,42.07614681200357,65961.18340267873,18.79852929679274,10.67441090505876,179.16553791617164,2.938527092006464e-08
607,solver_residual_call,,,42.17821555600676,65961.18342262084,18.798529310065383,10.674410900612983,179.16553791617164,2.938527092006464e-08
608,solver_residual_call,,,42.271491021005204,65961.18332225326,18.798529293172198,10.67441089591501,179.16553791617164,3.150867013093545e-08
609,solver_residual_call,,,42.341929363006784,65961.18357875741,18.79852931388169,10.674410907419732,179.16553791617164,3.9517909604330636e-08
610,solver_residual_call,,,42.411011467003846,65961.18364918284,18.798529344945678,10.67441093246191,179.16553791617164,3.182700262239607e-08
611,solver_residual_call,,,42.47527035400708,65961.18352930971,18.798529330407032,10.674410933885765,179.16553791617164,2.1073424255447017e-08
612,solver_residual_call,,,42.53829171300458,65961.18333302921,18.798529292338603,10.674410886627893,179.16553791617164,2.774867612706768e-08
613,solver_residual_call,,,42.604063753002265,65961.18348280583,18.798529316257614,10.674410915624303,179.16553791617164,2.774867612706768e-08
614,solver_residual_call,,,42.668044375001045,65961.18332405263,18.798529294824128,10.674410899685427,179.16553791617164,3.147115628493887e-08
615,solver_residual_call,,,42.7316752120023,65961.1831719707,18.798529284740663,10.674410862637153,179.16553791617164,3.9062683321778134e-08
616,solver_residual_call,,,42.79721227900154,65961.18336325354,18.798529316482572,10.674410897670576,179.16553791617164,3.129774369242196e-08
617,solver_residual_call,,,42.8610830730031,65961.18351033685,18.798529326217707,10.67441092157229,179.16553791617164,2.1073424255447017e-08
618,solver_residual_call,,,42.9241441080012,65961.18338768555,18.798529295342952,10.674410898777051,179.16553791617164,2.6263593117553607e-08
