method,label,camera,alignment,translation_error_cm,rotation_error_deg,aligned_estimated_x_m,aligned_estimated_y_m,aligned_estimated_z_m,aligned_estimated_roll_deg,aligned_estimated_pitch_deg,aligned_estimated_yaw_deg,aligned_estimated_rvec_x,aligned_estimated_rvec_y,aligned_estimated_rvec_z,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z
ap02,ap02_configured_defaults_nonbaseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,5.942700919610128,0.22260140957633828,5.916714211136197,0.361865073164626,2.1368783882818265,-109.3567481637028,3.886537328543116,113.95651425193842,-1.2283330152395968,-1.7940010708874867,1.331610697582224,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap02,baseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,1.763547886749579,0.4668394592648442,0.5914949123082913,-1.7376645372234087,2.104291451961945,-113.21694741684227,-1.4690344890459375,-0.9290960321441462,-1.9760419531210345,-0.000677215812385279,-0.03589236943579066,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap02,baseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,3.7572736904718345,0.14635521514129624,-4.01169357333849,0.47658607705940337,2.13042817847656,-106.44270285887491,0.8860344499826662,-114.52428067980618,-1.1232497277796483,1.7695012969248438,-1.3090667248476697,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap02,baseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,3.0197573522503283,0.1194638677253369,-3.251371900106,-1.5750501199614522,2.040245423349396,-109.29023280909682,2.0319942258814825,-59.90494235802014,-1.6900580130891154,1.0024195511227385,-0.6658072658240971,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap02,baseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,5.942700919610357,0.22260140957306368,5.916714211136199,0.3618650731646286,2.1368783882818274,-109.35674816370282,3.886537328543113,113.95651425193843,-1.2283330152395968,-1.7940010708874865,1.3316106975822228,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap03_multi,baseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,0.8295816136143516,0.08860209863361329,0.5871795199560161,-1.7428131716049906,2.086845932959939,-112.77364333586195,-1.5151324122931569,-0.9130962827508546,-1.9683023486420625,-0.001616161588416721,-0.036449725946219036,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap03_multi,baseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,2.3681810300051556,0.04087758368522919,-3.996250555041637,0.48341947408055963,2.129613874042043,-106.34705350412054,0.7335162739421477,-114.57303173189568,-1.1239559532480912,1.7684197448992622,-1.3129084321124391,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap03_multi,baseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,2.003452361570206,0.053955147324600876,-3.2441844375144133,-1.5740651347033172,2.0548732896532433,-109.408042943539,1.9770779105755685,-59.85046923051588,-1.6927140142235773,1.0020690207665812,-0.6652425596929621,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap03_multi,baseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,4.101959876781912,0.06917276109043044,5.898399122600034,0.3591953252669195,2.140510345414504,-109.29077688946293,4.0294972604047015,113.92513456632517,-1.2302233545711314,-1.7921877074419537,1.3341624528404896,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
ap03_single,baseline,cam_edge_0,best_fit_SE3_all_static_cameras_no_scale,0.9566466491664751,0.08860209865006728,0.5880710600821208,-1.7441049873454533,2.086827416111226,-112.77364333586195,-1.5151324122931595,-0.9130962827508503,-1.9683023486420619,-0.0016161615884170242,-0.03644972594621921,0.58780793,-1.7345552666901032,2.087328294440571,-112.76486161592356,-1.4967437151065959,-0.8270999151459641,-1.968138710582115,-0.002885916482515835,-0.03515086080410998
ap03_single,baseline,cam_edge_1,best_fit_SE3_all_static_cameras_no_scale,2.820972844365657,0.0408775837030612,-4.000625602741217,0.4846857097463705,2.1296444996726835,-106.34705350412054,0.7335162739421526,-114.57303173189568,-1.1239559532480914,1.7684197448992616,-1.312908432112439,-3.97416732,0.4750864931681852,2.131542681522701,-106.36411383299566,0.7680856895512889,-114.55965647714748,-1.1237817078863135,1.7685660185089578,-1.3120742015830142
ap03_single,baseline,cam_edge_3,best_fit_SE3_all_static_cameras_no_scale,2.3597395543433897,0.053955147324600876,-3.2476953240521844,-1.5751630506040941,2.0548180346561917,-109.408042943539,1.9770779105755705,-59.850469230515856,-1.692714014223577,1.002069020766581,-0.665242559692962,-3.22735583,-1.5632142665839586,2.0542108949897364,-109.39044877010727,1.9674296879878441,-59.89995245366187,-1.6921873357007629,1.002617044155977,-0.6660823946504665
ap03_single,baseline,cam_edge_5,best_fit_SE3_all_static_cameras_no_scale,4.806534490556377,0.06917276110096825,5.90539351671128,0.36031882124234804,2.1405534916296274,-109.29077688946293,4.029497260404702,113.9251345663252,-1.2302233545711316,-1.7921877074419537,1.3341624528404894,5.85885887,0.3484195331450478,2.1387615711167207,-109.27065195603686,4.073178943414948,113.87681918646423,-1.2313021595012166,-1.791064683632414,1.334565666123626
