marker_id,corner_idx,status,x_colmap,y_colmap,z_colmap,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,note
12,2,OK,1.5324316654962225,-0.543474275025705,4.7043067923165305,19,19,0.6414439295280304,0.6190914739819102,1.156365298198527,
12,3,OK,1.5315793524456938,-0.6405471849978042,4.936066767801694,19,19,0.8565921166324756,0.8383292240567344,1.8960078175771222,
13,0,OK,-0.8017331778085207,-0.45281827487957643,4.751761317445858,11,11,0.5482726914495745,0.42149634479131154,1.335110822687287,
13,1,OK,-1.0513708389865146,-0.4529931722858189,4.750898311062891,11,11,0.7627388484593827,0.7070196165320805,1.3123848858570684,
13,2,OK,-1.0521595456880688,-0.5485012680914616,4.9857055836845365,11,11,0.4124717793044512,0.4365014109632723,0.6099099368977096,
13,3,OK,-0.8020145250067378,-0.5480045700013558,4.985209347385468,11,11,0.5753240526237918,0.4620046419596798,1.0452438320735689,
14,0,OK,-0.7116307382207187,2.9849878236701093,-0.26123775120187664,30,30,0.538191685987208,0.5236162284315022,1.6634463208591275,
14,1,OK,-0.7121499436190022,2.889627726745378,-0.0315103305708304,30,30,0.6698052282126385,0.5994017015637312,1.3938861182335895,
14,2,OK,-0.4649612051886799,2.8898699408307937,-0.03115376070888505,30,30,0.7838355859749445,0.737949267032399,1.4790803815460205,
14,3,OK,-0.46508324766588194,2.9847852715906713,-0.2618299615377114,30,30,0.54390666115894,0.4392440095146134,1.1777739961027676,
