marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
3,diag_02,0,2,0.3514102703512085,0.2404163056034262,0.6841470665133035,yes,0.0009332776662313025
3,diag_13,1,3,0.34545520730171253,0.2404163056034262,0.6959406039389998,yes,0.01086025975946503
4,side_01,0,1,0.25053140877856467,0.17,0.6785576340659811,yes,0.006522710113553654
4,side_12,1,2,0.24742386327893692,0.17,0.6870800485737627,yes,0.001999704394227919
4,side_23,2,3,0.24962627048164407,0.17,0.6810180662155136,yes,0.004062277964021144
4,side_30,3,0,0.2471739635551805,0.17,0.6877747055346639,yes,0.0026943613551291268
4,diag_02,0,2,0.3519789188307876,0.2404163056034262,0.6830417753484985,yes,0.002038568831036258
4,diag_13,1,3,0.3514294692416726,0.2404163056034262,0.6841096909778378,yes,0.0009706532016969804
5,side_01,0,1,0.24431956816195022,0.17,0.6958100052277165,yes,0.010729661048181738
5,side_12,1,2,0.24558225286125215,0.17,0.6922324313721715,yes,0.0071520871926367136
5,side_23,2,3,0.24377446921600954,0.17,0.6973658912958696,yes,0.012285547116334783
5,side_30,3,0,0.24673093496094173,0.17,0.6890096696910403,yes,0.003929325511505488
5,diag_02,0,2,0.34485121103570504,0.2404163056034262,0.6971595224542624,yes,0.012079178274727598
5,diag_13,1,3,0.34839596545625845,0.2404163056034262,0.6900662735533623,yes,0.004985929373827469
6,side_01,0,1,0.24623347943691343,0.17,0.6904016480161671,yes,0.005321303836632318
6,side_12,1,2,0.2480455443357031,0.17,0.68535800735821,yes,0.0002776631786751693
6,side_23,2,3,0.2459224620513172,0.17,0.6912747968688021,yes,0.006194452689267327
6,side_30,3,0,0.24815505289968057,0.17,0.6850555651136566,yes,2.4779065878166584e-05
6,diag_02,0,2,0.3501229808773132,0.2404163056034262,0.686662455006547,yes,0.0015821108270122064
6,diag_13,1,3,0.3487495116032599,0.2404163056034262,0.6893667162376578,yes,0.004286372058122989
7,side_01,0,1,0.2475017975402821,0.17,0.6868636983225614,yes,0.0017833541430266608
7,side_12,1,2,0.24640089358579,0.17,0.6899325628492929,yes,0.004852218669758157
7,side_23,2,3,0.24831574456711694,0.17,0.6846122475896849,yes,0.0004680965898499201
7,side_30,3,0,0.24549038668051085,0.17,0.6924914751193232,yes,0.007411130939788402
7,diag_02,0,2,0.3493042860533153,0.2404163056034262,0.688271845501291,yes,0.0031915013217561627
7,diag_13,1,3,0.34910793454374783,0.2404163056034262,0.6886589556253665,yes,0.003578611445831714
8,side_01,0,1,0.24457108007039538,0.17,0.6950944484158494,yes,0.010014104236314658
8,side_12,1,2,0.24537243103501624,0.17,0.6928243702151686,yes,0.007744026035633844
8,side_23,2,3,0.24268270419463878,0.17,0.7005031551966511,yes,0.015422811017116289
8,side_30,3,0,0.24680529269150944,0.17,0.6888020842101185,yes,0.0037217400305836756
8,diag_02,0,2,0.3447899456462821,0.2404163056034262,0.6972834000503826,yes,0.012203055870847801
8,diag_13,1,3,0.3476897520662206,0.2404163056034262,0.6914679083139522,yes,0.006387564134417434
9,side_01,0,1,0.24828063517097193,0.17,0.6847090586945453,yes,0.0003712854849894365
9,side_12,1,2,0.24935809052132907,0.17,0.6817504884023762,yes,0.003329855777158608
9,side_23,2,3,0.24672333689360174,0.17,0.6890308883642884,yes,0.003950544184753602
9,side_30,3,0,0.24943457517929551,0.17,0.6815414417901074,yes,0.003538902389427334
9,diag_02,0,2,0.35139938299900375,0.2404163056034262,0.6841682633350207,yes,0.0009120808445141071
9,diag_13,1,3,0.35124255147198413,0.2404163056034262,0.6844737478300726,yes,0.0006065963494621407
10,side_01,0,1,0.24963248426926835,0.17,0.6810011144888819,yes,0.004079229690652886
10,side_12,1,2,0.24798545097153052,0.17,0.6855240875381698,yes,0.00044374335863506253
10,side_23,2,3,0.24830150163174738,0.17,0.6846515179441997,yes,0.00042882623533513353
10,side_30,3,0,0.24796828823248152,0.17,0.6855715350207092,yes,0.0004911908411744381
10,diag_02,0,2,0.3540211770213928,0.2404163056034262,0.6791014809515147,yes,0.005978863228020104
10,diag_13,1,3,0.34873835682231696,0.2404163056034262,0.6893887663923326,yes,0.004308422212797813
11,side_01,0,1,0.2512733609391099,0.17,0.6765540102008484,yes,0.008526333978686407
11,side_12,1,2,0.25364612451022966,0.17,0.6702251032940337,yes,0.014855240885501053
11,side_23,2,3,0.25090040737311353,0.17,0.6775596810697614,yes,0.007520663109773396
11,side_30,3,0,0.2536363105051956,0.17,0.670251036460009,yes,0.01482930771952573
11,diag_02,0,2,0.35843028577427866,0.2404163056034262,0.670747744108957,yes,0.014332600070577795
11,diag_13,1,3,0.35536523569325223,0.2404163056034262,0.6765329904440939,yes,0.00854735373544091
12,side_01,0,1,0.25151506943514496,0.17,0.6759038350337724,yes,0.009176509145762402
12,side_12,1,2,0.24932390093431567,0.17,0.6818439763012792,yes,0.0032363678782555416
12,side_23,2,3,0.25126989975894604,0.17,0.6765633295635024,yes,0.008517014616032381
12,side_30,3,0,0.24881438799072894,0.17,0.6832402312937561,yes,0.0018401128857786775
12,diag_02,0,2,0.35410534621338585,0.2404163056034262,0.6789400616915566,yes,0.006140282487978155
12,diag_13,1,3,0.35366114403944504,0.2404163056034262,0.6797928176599795,yes,0.00528752651955533
13,side_01,0,1,0.2496392141622358,0.17,0.680982755736125,yes,0.004097588443409794
13,side_12,1,2,0.2534893956336173,0.17,0.6706394939128371,yes,0.014440850266697725
13,side_23,2,3,0.2501460060267219,0.17,0.6796030954091657,yes,0.0054772487703690365
13,side_30,3,0,0.2521080970892079,0.17,0.6743139231257848,yes,0.01076642105375003
13,diag_02,0,2,0.3558068585978663,0.2404163056034262,0.6756932863825013,yes,0.009387057797033527
13,diag_13,1,3,0.35511603562779437,0.2404163056034262,0.67700774249297,yes,0.008072601686564762
14,side_01,0,1,0.2487338043964539,0.17,0.68346158421249,yes,0.0016187599670447472
14,side_12,1,2,0.24718911427589993,0.17,0.6877325504320334,yes,0.0026522062524986234
14,side_23,2,3,0.24944026246066256,0.17,0.6815259025267001,yes,0.0035544416528346945
14,side_30,3,0,0.2465482850058261,0.17,0.6895201075764238,yes,0.004439763396889007
14,diag_02,0,2,0.3504738404549716,0.2404163056034262,0.6859750367996853,yes,0.0008946926201505168
14,diag_13,1,3,0.3509188552912137,0.2404163056034262,0.685105123245413,yes,2.4779065878166584e-05
