station_name,group,target_static_camera,candidate_name,board_pose,moving_pose,radius,angle_deg,reason
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_094,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.543289 -0.558987 2.200000 0.000000 0.485227 -0.174533,1.1,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_095,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.543289 -0.558987 2.350000 0.000000 0.585902 -0.174533,1.1,170,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_096,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.493662 -1.126222 1.800000 0.000000 0.162199 0.349066,1.1,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_097,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.493662 -1.126222 2.000000 0.000000 0.332620 0.349066,1.1,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_098,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.493662 -1.126222 2.200000 0.000000 0.485227 0.349066,1.1,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_099,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.493662 -1.126222 2.350000 0.000000 0.585902 0.349066,1.1,-160,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_100,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.167066 -1.592649 1.800000 0.000000 0.162199 0.872665,1.1,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_101,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.167066 -1.592649 2.000000 0.000000 0.332620 0.872665,1.1,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_102,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.167066 -1.592649 2.200000 0.000000 0.485227 0.872665,1.1,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_103,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-3.167066 -1.592649 2.350000 0.000000 0.585902 0.872665,1.1,-130,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_104,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.651013 -1.833289 1.800000 0.000000 0.162199 1.396263,1.1,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_105,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.651013 -1.833289 2.000000 0.000000 0.332620 1.396263,1.1,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_106,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.651013 -1.833289 2.200000 0.000000 0.485227 1.396263,1.1,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_107,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-2.651013 -1.833289 2.350000 0.000000 0.585902 1.396263,1.1,-100,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_108,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.144430 -0.271172 1.800000 0.000000 0.127870 -2.792527,1.4,20,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_109,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.144430 -0.271172 2.000000 0.000000 0.265043 -2.792527,1.4,20,orbit_look_at_board
F4_front_right_table_or_box,front,front_static_camera,F4_front_right_table_or_box_orbit_110,-2.46 -0.75 1.62 1.57079633 1.57079633 0,-1.144430 -0.271172 2.200000 0.000000 0.392761 -2.792527,1.4,20,orbit_look_at_board
