frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
10,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0010.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0010_debug.png,-3.1,0.0,2.2,0.0,0.3,-0.4
11,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0011.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0011_debug.png,-3.0483870967741935,0.0,2.2,0.0,0.3129032258064516,-0.5
12,5,1;2;5;6;7,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0012.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0012_debug.png,-2.9967741935483874,0.0,2.2,0.0,0.3258064516129032,-0.6000000000000001
13,3,1;2;5,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0013.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0013_debug.png,-2.945161290322581,0.0,2.2,0.0,0.3387096774193548,-0.7
14,4,1;2;5;8,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0014.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0014_debug.png,-2.893548387096774,0.0,2.2,0.0,0.3516129032258064,-0.8
15,3,1;2;5,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0015.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0015_debug.png,-2.8419354838709676,0.0,2.2,0.0,0.36451612903225805,-0.9
16,2,1;2,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0016.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0016_debug.png,-2.7903225806451615,0.0,2.2,0.0,0.37741935483870964,-1.0
17,2,1;2,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0017.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0017_debug.png,-2.738709677419355,0.0,2.2,0.0,0.3903225806451613,-1.1
18,1,1,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0018.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0018_debug.png,-2.6870967741935483,0.0,2.2,0.0,0.4032258064516129,-1.2000000000000002
19,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0019.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0019_debug.png,-2.635483870967742,0.0,2.2,0.0,0.4161290322580645,-1.3000000000000003
20,0,,results/bus_real_data/04_moving_camera_sequence_run2/images/frame_0020.png,results/bus_real_data/04_moving_camera_sequence_run2/debug_images/frame_0020_debug.png,-2.5838709677419356,0.0,2.2,0.0,0.4290322580645161,-1.4
