image_name,colmap_eval_aligned_x,colmap_eval_aligned_y,colmap_eval_aligned_z,gt_x,gt_y,gt_z,err_x_m,err_y_m,err_z_m,err_norm_m
moving_0069.jpg,-2.63095871,0.08454737,2.25239412,-2.72466100,0.06662700,2.19090900,0.09370229,0.01792037,0.06148512,0.11349748
moving_0070.jpg,-2.62444154,0.07852146,2.22998132,-2.71849600,0.06247000,2.16818200,0.09405446,0.01605146,0.06179932,0.11367958
moving_0071.jpg,-2.61843194,0.07385503,2.20715801,-2.71233100,0.05831300,2.14545500,0.09389906,0.01554203,0.06170301,0.11342772
moving_0072.jpg,-2.61252838,0.06987023,2.18395997,-2.70616500,0.05415700,2.12272700,0.09363662,0.01571323,0.06123297,0.11297876
moving_0073.jpg,-2.60654158,0.06581113,2.16109784,-2.70000000,0.05000000,2.10000000,0.09345842,0.01581113,0.06109784,0.11277152
moving_0074.jpg,-2.59989553,0.06042049,2.13939366,-2.70000000,0.05000000,2.10000000,0.10010447,0.01042049,0.03939366,0.10808030
moving_0075.jpg,-2.59421276,0.05677835,2.11669656,-2.70000000,0.05000000,2.10000000,0.10578724,0.00677835,0.01669656,0.10731105
moving_0076.jpg,-2.58853712,0.05292884,2.09577406,-2.70000000,0.05000000,2.10000000,0.11146288,0.00292884,-0.00422594,0.11158141
moving_0077.jpg,-2.58853712,0.05292884,2.09577406,-2.67500000,0.04750000,2.07916700,0.08646288,0.00542884,0.01660706,0.08821052
moving_0078.jpg,-2.58853712,0.05292884,2.09577406,-2.65000000,0.04500000,2.05833300,0.06146288,0.00792884,0.03744106,0.07240432
moving_0079.jpg,-2.58853712,0.05292884,2.09577406,-2.62500000,0.04250000,2.03750000,0.03646288,0.01042884,0.05827406,0.06952819
moving_0080.jpg,-2.56314522,0.04830814,2.07396162,-2.60000000,0.04000000,2.01666700,0.03685478,0.00830814,0.05729462,0.06862925
moving_0081.jpg,-2.53969768,0.05138254,2.05441904,-2.57500000,0.03750000,1.99583300,0.03530232,0.01388254,0.05858604,0.06979472
moving_0082.jpg,-2.53969768,0.05138254,2.05441904,-2.55000000,0.03500000,1.97500000,0.01030232,0.01638254,0.07941904,0.08174295
moving_0083.jpg,-2.48846085,0.03954426,2.01387157,-2.52500000,0.03250000,1.95416700,0.03653915,0.00704426,0.05970457,0.07035173
moving_0084.jpg,-2.48846085,0.03954426,2.01387157,-2.50000000,0.03000000,1.93333300,0.01153915,0.00954426,0.08053857,0.08191890
moving_0085.jpg,-2.46524759,0.04125031,1.99506412,-2.47500000,0.02750000,1.91250000,0.00975241,0.01375031,0.08256412,0.08426751
moving_0086.jpg,-2.44120384,0.03524868,1.97285493,-2.45000000,0.02500000,1.89166700,0.00879616,0.01024868,0.08118793,0.08230363
moving_0087.jpg,-2.41705539,0.03240211,1.95221359,-2.42500000,0.02250000,1.87083300,0.00794461,0.00990211,0.08138059,0.08236486
moving_0088.jpg,-2.36788921,0.02748098,1.90938335,-2.40000000,0.02000000,1.85000000,0.03211079,0.00748098,0.05938335,0.06792239
moving_0089.jpg,-2.36788921,0.02748098,1.90938335,-2.40000000,0.02000000,1.85000000,0.03211079,0.00748098,0.05938335,0.06792239
moving_0090.jpg,-2.31871050,0.02069119,1.87009345,-2.40000000,0.02000000,1.85000000,0.08128950,0.00069119,0.02009345,0.08373892
moving_0091.jpg,-2.31871050,0.02069119,1.87009345,-2.40000000,0.02000000,1.85000000,0.08128950,0.00069119,0.02009345,0.08373892
moving_0092.jpg,-2.29216956,0.02125373,1.85032047,-2.36363600,0.01818200,1.83181800,0.07146644,0.00307173,0.01850247,0.07388659
moving_0093.jpg,-2.29216956,0.02125373,1.85032047,-2.32727300,0.01636400,1.81363600,0.03510344,0.00488973,0.03668447,0.05100893
moving_0094.jpg,-2.29216956,0.02125373,1.85032047,-2.29090900,0.01454500,1.79545500,-0.00126056,0.00670873,0.05486547,0.05528848
moving_0095.jpg,-2.25766582,0.01508540,1.83205823,-2.25454500,0.01272700,1.77727300,-0.00312082,0.00235840,0.05478523,0.05492470
moving_0096.jpg,-2.25766582,0.01508540,1.83205823,-2.21818200,0.01090900,1.75909100,-0.03948382,0.00417640,0.07296723,0.08307004
moving_0097.jpg,-2.18417847,0.01277856,1.79720455,-2.18181800,0.00909100,1.74090900,-0.00236047,0.00368756,0.05629555,0.05646556
moving_0098.jpg,-2.18417847,0.01277856,1.79720455,-2.14545500,0.00727300,1.72272700,-0.03872347,0.00550556,0.07447755,0.08412327
moving_0099.jpg,-2.14906486,0.01026329,1.77706339,-2.10909100,0.00545500,1.70454500,-0.03997386,0.00480829,0.07251839,0.08294544
moving_0100.jpg,-2.11327328,0.00589704,1.75862060,-2.07272700,0.00363600,1.68636400,-0.04054628,0.00226104,0.07225660,0.08288624
moving_0101.jpg,-2.07629064,0.00637379,1.74188633,-2.03636400,0.00181800,1.66818200,-0.03992664,0.00455579,0.07370433,0.08394772
moving_0102.jpg,-2.00358403,0.00269417,1.70609313,-2.00000000,0.00000000,1.65000000,-0.00358403,0.00269417,0.05609313,0.05627204
moving_0103.jpg,-2.00358403,0.00269417,1.70609313,-2.00000000,0.00000000,1.65000000,-0.00358403,0.00269417,0.05609313,0.05627204
moving_0104.jpg,-1.96681595,-0.00079586,1.68965757,-2.00000000,0.00000000,1.65000000,0.03318405,-0.00079586,0.03965757,0.05171594
moving_0105.jpg,-1.93104715,-0.00299805,1.67184365,-2.00000000,0.00000000,1.65000000,0.06895285,-0.00299805,0.02184365,0.07239219
moving_0106.jpg,-1.89501676,-0.00373742,1.65331472,-1.92727300,0.00000000,1.65000000,0.03225624,-0.00373742,0.00331472,0.03264078
moving_0107.jpg,-1.89501676,-0.00373742,1.65331472,-1.85454500,0.00000000,1.65000000,-0.04047176,-0.00373742,0.00331472,0.04077891
moving_0108.jpg,-1.89501676,-0.00373742,1.65331472,-1.78181800,0.00000000,1.65000000,-0.11319876,-0.00373742,0.00331472,0.11330894
moving_0109.jpg,-1.89501676,-0.00373742,1.65331472,-1.70909100,0.00000000,1.65000000,-0.18592576,-0.00373742,0.00331472,0.18599286
moving_0110.jpg,-1.82334326,-0.00425268,1.65336314,-1.63636400,0.00000000,1.65000000,-0.18697926,-0.00425268,0.00336314,0.18705785
moving_0111.jpg,-1.67899238,-0.00454210,1.65322705,-1.56363600,0.00000000,1.65000000,-0.11535638,-0.00454210,0.00322705,0.11549086
moving_0112.jpg,-1.67899238,-0.00454210,1.65322705,-1.49090900,0.00000000,1.65000000,-0.18808338,-0.00454210,0.00322705,0.18816589
moving_0113.jpg,-1.53497451,-0.00398264,1.65459559,-1.41818200,0.00000000,1.65000000,-0.11679251,-0.00398264,0.00459559,0.11695073
moving_0114.jpg,-1.53497451,-0.00398264,1.65459559,-1.34545500,0.00000000,1.65000000,-0.18951951,-0.00398264,0.00459559,0.18961705
moving_0115.jpg,-1.46306846,-0.00413748,1.65410569,-1.27272700,0.00000000,1.65000000,-0.19034146,-0.00413748,0.00410569,0.19043069
moving_0116.jpg,-1.39071532,-0.00375638,1.65328181,-1.20000000,0.00000000,1.65000000,-0.19071532,-0.00375638,0.00328181,0.19078054
moving_0117.jpg,-1.31857317,-0.00510524,1.65377247,-1.20000000,0.00000000,1.65000000,-0.11857317,-0.00510524,0.00377247,0.11874296
moving_0118.jpg,-1.17491450,-0.00369669,1.65321370,-1.20000000,0.00000000,1.65000000,0.02508550,-0.00369669,0.00321370,0.02555926
moving_0119.jpg,-1.17491450,-0.00369669,1.65321370,-1.20000000,0.00000000,1.65000000,0.02508550,-0.00369669,0.00321370,0.02555926
moving_0120.jpg,-1.10283069,-0.00359204,1.65387905,-1.12727300,0.00000000,1.65000000,0.02444231,-0.00359204,0.00387905,0.02500752
moving_0121.jpg,-1.10283069,-0.00359204,1.65387905,-1.05454500,0.00000000,1.65000000,-0.04828569,-0.00359204,0.00387905,0.04857425
moving_0122.jpg,-1.10283069,-0.00359204,1.65387905,-0.98181800,0.00000000,1.65000000,-0.12101269,-0.00359204,0.00387905,0.12112812
moving_0123.jpg,-1.03080220,-0.00361885,1.65365154,-0.90909100,0.00000000,1.65000000,-0.12171120,-0.00361885,0.00365154,0.12181973
moving_0124.jpg,-1.03080220,-0.00361885,1.65365154,-0.83636400,0.00000000,1.65000000,-0.19443820,-0.00361885,0.00365154,0.19450616
moving_0125.jpg,-0.88725708,-0.00328203,1.65265207,-0.76363600,0.00000000,1.65000000,-0.12362108,-0.00328203,0.00265207,0.12369308
moving_0126.jpg,-0.88725708,-0.00328203,1.65265207,-0.69090900,0.00000000,1.65000000,-0.19634808,-0.00328203,0.00265207,0.19639342
moving_0127.jpg,-0.81488052,-0.00351756,1.65369625,-0.61818200,0.00000000,1.65000000,-0.19669852,-0.00351756,0.00369625,0.19676469
